科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"2,837,837,279.86","3,299,018,009.37","4,028,962,563.00","1,634,566,534.29","3,072,272,154.22","4,826,208,784.86","5,888,279,065.40","2,113,328,618.78","3,766,061,338.53","5,465,707,582.48","6,656,002,315.10","2,406,195,135.83","5,121,797,766.29","7,419,865,338.47","8,557,803,840.57","2,830,816,477.62","4,352,579,289.43","5,761,000,053.59","6,842,111,615.99","2,019,989,053.82","3,272,646,106.20","4,453,225,527.91","5,239,656,335.52","1,279,067,427.38","1,964,033,661.16","2,748,533,604.33","3,350,374,171.89","1,114,473,028.85","1,875,470,008.23","3,050,587,671.15","3,686,483,999.02"
二、营业利润,"110,593,427.10","203,400,056.84","241,981,492.11","96,104,812.25","182,013,247.31","282,116,559.81","336,093,271.30","40,971,355.45","65,458,967.95","75,778,365.13","102,895,518.11","28,279,709.23","43,728,565.17","101,203,806.27","111,955,110.45","114,460,659.96","204,756,711.65","256,863,666.24","257,312,315.47","65,881,334.23","85,667,486.97","99,001,355.52","81,960,167.61","36,349,424.16","46,394,891.62","50,917,979.02","36,405,222.92","26,653,806.93","62,081,723.39","85,128,027.99","124,257,348.00"
减:营业成本,"2,555,326,135.69","2,871,820,665.87","3,527,060,790.13","1,478,594,734.79","2,762,471,738.59","4,299,165,847.12","5,289,596,933.91","1,996,338,270.34","3,564,492,814.78","5,154,674,016.18","6,243,695,049.06","2,281,888,974.27","4,899,390,237.90","7,031,620,302.48","8,083,074,795.45","2,601,898,146.67","3,959,632,681.58","5,255,085,106.29","6,249,833,492.58","1,865,387,432.49","3,035,397,594.15","4,126,202,860.04","4,840,322,469.66","1,174,790,731.71","1,779,704,876.83","2,478,636,309.89","3,006,601,776.90","1,010,186,531.30","1,670,407,913.20","2,770,170,005.44","3,307,702,142.39"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"7,754,644.61","7,725,750.67","12,544,134.16","7,069,011.98","11,842,549.56","16,873,348.15","20,711,243.60","4,893,773.63","12,595,788.90","19,708,896.23","24,607,021.17","5,504,432.88","19,076,037.08","30,079,214.48","40,581,115.41","10,325,570.41","25,979,481.44","31,578,748.24","38,626,534.25","7,979,521.78","11,241,597.66","15,057,268.10","18,495,350.24","3,696,699.62","6,304,852.31","8,149,532.15","13,017,850.88","3,523,476.19","10,587,128.71","13,813,464.27","18,282,831.08"
营业外收入,"3,213,261.03","3,666.45","54,072,507.98",119.35,"484,715.93","754,832.81","8,125,451.48","1,986,055.09","3,443,561.09","4,940,377.48","8,679,146.02","4,428,938.45","6,478,974.19","10,278,037.73","16,218,036.40","5,584,039.06","5,484,289.95","7,624,986.22","13,887,485.70","2,206,056.03","6,099,675.27","7,270,887.68","11,084,439.57","757,969.53","3,867,004.77","9,391,188.64","13,598,336.21","3,079,222.00","724,091.89","901,195.20","1,828,975.71"
销售费用,"64,424,742.49","78,491,312.26","111,249,622.18","26,799,084.90","63,714,549.13","89,988,567.43","133,105,930.58","36,149,210.25","68,109,256.35","103,203,497.74","152,928,341.53","48,160,515.00","97,958,894.44","147,949,912.70","214,271,267.40","42,527,804.58","91,538,869.74","134,734,479.42","189,034,887.74","46,865,161.85","93,866,995.89","135,857,979.20","191,342,244.95","42,857,679.81","85,167,036.00","131,247,567.30","184,268,359.00","50,628,713.17","102,638,971.56","151,980,273.49","207,040,982.47"
减:营业外支出,"6,654,466.39","3,363,993.90","4,063,445.05","1,702,800.91","3,152,704.34","4,929,823.74","6,013,582.69","2,154,265.65","4,759,733.43","6,496,516.72","7,731,678.58","2,442,514.21","5,306,952.06","7,701,964.42","9,149,859.16","2,901,025.21","4,527,023.95","6,294,471.99","7,516,743.17","1,512,340.30","2,807,254.31","3,997,418.13","5,433,834.19","1,327,387.15","1,836,656.71","2,389,295.12","2,541,921.49","228,369.53","894,513.88","894,534.56","1,116,449.46"
管理费用,"29,817,422.11","34,812,198.51","39,652,407.73","12,404,925.74","22,780,921.39","34,698,842.12","46,373,610.34","15,046,655.71","27,094,693.19","39,769,929.61","49,419,352.86","16,268,780.01","32,502,400.12","44,897,694.21","61,204,678.39","12,593,824.63","23,956,758.50","36,387,815.20","52,602,618.92","14,106,045.87","30,636,473.19","44,844,452.90","57,472,504.69","14,015,683.46","29,765,771.40","42,669,504.98","55,114,888.44","11,554,708.26","25,179,281.95","35,234,278.10","51,095,547.75"
其中:非流动资产处置净损失,"2,365,024.05",,,,,,"10,907.31",,,,,,,,"22,502.25",,,,"16,523.05",,,,,,,,,,"15,335.50","15,335.50",
