科目,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
应付职工薪酬,"72,475,894.31","65,363,454.93","62,747,938.55","99,283,983.68","150,045,323.99","126,926,978.40","133,789,958.61","143,765,729.40","227,216,897.07","125,856,810.62","167,663,414.72","145,042,473.71","220,797,906.20","133,053,803.00","177,925,594.52","193,690,083.14","338,822,222.33","214,722,808.24","296,014,651.58","303,882,980.46","426,316,986.14","278,091,975.39","371,468,634.16","355,726,302.43","535,090,833.88","368,325,576.53","479,775,491.11","512,776,487.99","690,846,553.99","482,065,411.86","722,993,525.75","796,235,727.43","1,030,565,162.54","766,177,162.81","1,013,989,731.99","1,025,052,023.10","1,257,620,798.72","870,452,043.52","944,459,004.92"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"13,652,414.06","10,225,340.83","13,937,419.80","21,162,097.05","37,017,930.14","59,357,587.48","28,497,341.14","30,778,730.54","83,086,043.19","72,873,172.67","54,607,184.29","47,025,755.40","84,679,439.61","77,605,433.50","30,547,894.59","40,708,152.54","144,539,742.02","102,479,719.83","49,522,775.40","63,246,549.94","177,909,379.07","140,133,921.37","79,141,074.15","63,378,347.21","207,455,171.17","170,032,658.98","86,736,926.64","102,902,050.99","359,007,165.96","315,742,136.89","181,198,239.33","185,803,363.32","562,721,154.63","458,965,929.16","245,401,870.79","268,740,801.14","775,207,384.32","614,063,730.56","343,555,936.64"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,,,"624,146.26",,"1,654,307.15",,,,,"236,111.11","6,869,712.49","12,543,087.09","19,371,559.72","26,423,171.55","20,926,172.66","11,527,952.99","12,289,705.97","22,923,223.82","26,532,550.56","30,285,432.62","31,839,044.23","39,135,868.51","6,767,812.95","13,703,554.30","17,975,513.27","19,878,790.76"
应收股利,,,,,,,,,,,,,,,,"1,302,967.16","1,121,311.57","1,121,311.57",,,,,,,,,,,,,"8,250,231.69","8,250,231.69",,,,,,,
应付股利,,"4,131,556.94",,,,,"18,437,755.80",,"1,076,400.00","16,878,043.95","2,347,893.98","2,347,893.98","3,414,878.95","7,130,642.22","15,110,904.54","15,110,904.54","8,428,537.44","6,125,948.66","4,866,217.22","4,866,217.22",,,"25,326,538.50","20,373,720.10","20,373,720.10",,"41,432,269.70","7,840,000.00","7,840,000.00","68,977,031.68","30,720,644.76","12,953,600.73","12,585,937.14","8,020,547.05","77,607,962.47","73,603,757.75","4,854,807.91","9,402,677.18","82,587,765.49"
存货,,,,,,,,,,,,,,"506,881.10",,,,,,,,,,,,,,,,,,,,,,,"15,209,771.58","36,006,565.42","27,434,710.69"
其他应付款,"7,704,791.90","4,940,673.82","4,325,205.37","11,705,523.91","7,079,131.80","6,020,407.80","26,502,076.01","23,692,290.39","18,807,806.14","34,810,323.42","54,883,126.34","53,075,438.48","39,229,644.26","54,322,651.78","56,382,045.67","307,022,056.40","268,421,407.45","92,463,312.05","37,552,114.38","43,782,995.00","56,142,864.27","101,038,618.96","115,128,210.04","499,138,946.91","137,824,422.52","149,454,799.59","272,322,790.00","343,670,110.85","474,114,298.42","661,308,720.71","631,993,946.08","1,073,659,344.65","1,075,419,600.70","1,197,707,326.47","1,409,063,269.98","1,553,232,571.05","1,937,674,037.15","2,068,626,967.79","2,200,511,462.45"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,000,000.00","6,000,000.00","15,050,474.32"
其他流动资产,,"1,971,301.43","2,526,006.61",,,,,,,,,,,,,"195,597,466.23","141,692,937.74","127,097,750.19","115,665,069.46","193,675,734.27","233,137,866.54","307,442,984.21","704,719,846.93","1,060,064,487.56","1,646,022,348.17","1,648,767,008.19","1,676,179,493.93","1,671,503,566.08","2,067,594,714.40","1,722,992,372.90","1,553,261,408.48","1,494,482,938.42","1,164,371,487.44","1,401,723,285.78","3,261,186,508.08","4,619,201,991.54","44,830,296.94","63,548,809.59","65,572,115.32"
其他流动负债,,,,,,,,,,,,,,,,"9,784,764.06","3,392,895.28","3,447,296.12","2,493,258.79","106,183.22","139,034.72",,,,"549,786,277.00","795,786,277.00","764,220,427.10","467,149,270.45","858,173,395.90","588,430,111.04","591,282,632.09","507,095,582.20","226,821,637.25","99,743,102.11","574,730,072.36","1,048,768,027.01","1,428,618,400.64","1,836,410,440.67","1,625,864,888.73"
