科目,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"29,954,769.18","77,405,091.28","176,972,884.49","1,190,299,748.25","976,200,450.11","808,163,721.85","723,464,677.01","632,336,775.79","628,887,104.22","579,118,207.30","455,132,505.92","427,757,845.24","259,716,003.08","236,571,519.10","278,671,908.65","310,536,884.43","142,121,662.20","114,396,246.45","128,599,609.46","203,663,381.17","187,638,013.25","182,213,792.74","236,068,465.64","69,997,483.99","61,661,656.16","48,416,384.54","111,114,682.36","279,908,920.84","59,952,129.37","46,170,114.92","157,650,708.90","65,555,500.97","130,280,343.41","76,663,556.57","113,524,367.26","140,138,563.90","149,561,262.21"
短期借款,"35,391,856.01","91,800,000.00","151,800,000.00","106,800,000.00","7,000,000.00","7,000,000.00","170,000,000.00","170,000,000.00","200,000,000.00","180,000,000.00","120,000,000.00","120,000,000.00",,,,,,,,,,,,,,,,,,,,,"2,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","11,800,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,"140,000,000.00","172,000,000.00","110,247.09","110,247.09","110,247.09","110,247.09","165,127.80","235,388.06","229,398.13","169,336.94","211,104.56","165,127.80","166,422.92","174,355.53","186,173.50","178,888.45","164,642.13","165,289.69","130,969.01","130,645.23","121,177.90"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,"81,500.00","81,500.00","81,500.00","81,500.00",,,,,,,,,,,
应收票据,"540,000.00","134,495.00","6,609,337.00","14,762,279.00","45,000,000.00","16,876,800.00","7,201,350.00","105,000.00","155,000.00","1,551,905.00","308,890.00",,"586,510.00","586,510.00","1,690,505.00","1,198,080.00",,,"50,000.00","145,248.00","95,248.00","4,731,812.35","50,000.00","100,000.00",,"29,590.00","1,774,600.00","628,679.98",,"2,000,000.00","1,530,160.70","1,594,750.00","7,550,245.00","300,000.00","5,694,978.10","11,353,639.50","5,002,910.00"
应付票据,,,,,,"91,000,000.00","18,000,000.00",,,,,,,"8,758,266.70","9,758,266.70","1,500,000.00",,,,,,,,,,,,,,,,,,,,,
应收账款,"13,812,837.74","26,401,036.23","31,248,888.84","55,773,777.36","51,458,058.31","66,514,626.12","106,774,929.93","84,831,012.12","78,285,968.87","99,599,315.46","75,133,008.20","82,472,700.97","88,242,261.94","98,064,997.21","84,406,519.16","72,259,246.06","71,885,327.27","62,617,419.57","38,414,499.97","41,487,673.33","40,064,685.08","42,442,378.82","36,027,195.19","47,800,271.66","54,546,887.04","54,893,394.13","42,078,592.01","44,842,117.23","53,967,931.89","51,500,932.09","56,845,246.65","65,017,385.72","56,375,621.40","69,439,194.33","79,494,195.19","70,172,480.43","85,499,122.64"
应付账款,"12,695,763.59","18,704,683.79","114,270,129.35","251,833,556.90","436,308,776.47","157,971,867.67","149,120,027.78","167,739,639.92","139,116,109.83","150,778,287.52","124,289,164.94","105,799,171.99","107,503,484.46","80,585,132.94","57,566,755.48","45,647,160.88","39,790,837.54","35,260,360.79","31,895,306.81","34,198,450.55","37,075,235.11","32,582,741.98","43,644,657.49","46,289,765.77","47,010,039.97","36,698,413.05","34,130,114.84","46,435,491.58","44,645,401.04","42,765,164.34","39,456,606.91","46,516,633.22","47,743,257.03","57,822,105.87","60,096,579.96","44,984,723.11","60,086,084.89"
预付款项,"3,619,259.18","8,842,831.47","48,232,365.56","79,638,804.02","149,156,271.46","171,049,021.61","108,210,716.91","120,022,650.67","71,059,846.91","90,749,871.04","40,873,443.90","46,489,124.61","50,417,253.55","64,601,811.16","19,659,618.41","13,974,025.78","14,886,362.40","13,370,413.66","8,452,744.50","8,324,452.05","7,220,947.00","10,591,077.13","13,276,347.70","12,376,126.77","16,134,863.38","10,821,443.03","12,101,194.11","16,816,610.71","11,511,177.30","15,986,623.21","28,430,475.58","22,239,945.29","20,672,285.24","22,321,830.83","9,155,217.21","15,000,986.32","28,067,072.23"
预收款项,"3,606,044.65","11,158,419.89","24,324,985.97","68,142,909.20","63,736,300.02","104,661,497.52","45,633,532.13","16,826,839.12","36,499,738.67","41,567,886.65","45,716,839.49","38,816,233.69","37,926,982.16","41,374,310.71","24,001,049.12","23,436,418.46","28,592,546.06","34,045,519.45","30,070,302.15","22,404,349.20","17,900,398.39","23,065,121.50","18,468,186.32","22,166,303.06","21,050,540.22","25,548,004.84","17,866,451.56","21,376,099.45","17,711,759.70","23,291,054.03","22,585,540.44","39,289,680.76","31,516,420.74","29,461,965.00","36,118,215.82","39,637,964.38","57,673,884.65"
