科目,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"-1,183,826.65","-1,309,458.12","-2,363,334.84","-4,162,801.30","91,001.51","1,881,436.66","1,161,437.04","4,903,085.40","1,756,059.81","3,836,367.96","13,109,944.78","26,540,922.02","17,357,959.99","21,535,293.18","15,486,465.90","12,891,484.81","-2,565,557.71","-8,140,026.50","-10,642,077.39","-10,823,616.33","-180,503.93","-653,826.79","-1,191,517.70","42,404,995.15","38,929,472.86","77,173,085.20","116,653,651.36","160,638,364.58","41,790,563.82","83,634,043.06","115,455,422.60","151,705,708.69","31,484,647.30","64,185,644.48"
三、利润总额,"70,392,601.78","152,673,779.31","234,470,123.26","115,634,671.75","124,707,067.13","130,781,084.77","250,506,808.00","266,137,407.67","106,407,670.69","206,340,863.20","351,548,144.82","389,910,176.65","73,825,051.84","179,066,605.41","288,704,437.19","395,359,178.62","114,259,302.42","198,612,971.34","252,004,519.05","345,071,237.24","107,696,336.52","142,966,571.66","201,080,011.03","191,142,138.88","51,736,657.73","131,060,852.55","215,811,922.21","258,417,251.41","64,687,195.95","165,884,646.20","315,345,389.96","373,065,935.51","72,191,323.89","157,936,721.14"
资产减值损失,,,,"2,948,862.91","-30,000,000.00","-29,400,031.74","-29,880,841.68","-29,452,361.61",,"30,342.77","30,342.77","1,112,125.51",,,,"1,452,157.82",,,,"890,033.86",,,"-478,000.00","255,814.02",,,,"340,446.42","-1,787.98","-1,787.98","50,437,895.41","121,464,918.42",,
减:所得税,"17,084,710.41","37,382,574.19","37,795,561.05","44,824,922.42","31,478,117.39","30,659,978.80","53,521,200.60","43,043,196.64","24,875,131.59","49,747,742.34","82,913,229.37","95,849,181.16","18,487,656.97","43,716,728.66","70,777,472.39","99,666,877.67","26,586,342.27","44,658,287.53","54,621,297.97","79,535,770.94","24,777,587.42","30,688,404.29","40,729,850.65","41,075,991.53","10,909,754.55","31,898,354.09","54,595,155.14","65,658,351.97","17,223,065.55","43,267,214.46","94,150,030.68","105,807,441.03","16,462,938.64","37,354,285.72"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,,,"100,000.00","100,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"114,495,718.19",,
四、净利润,"53,307,891.37","115,291,205.12","196,674,562.21","70,809,749.33","93,228,949.74","100,121,105.97","196,985,607.40","223,094,211.03","81,532,539.10","156,593,120.86","268,634,915.45","294,060,995.49","55,337,394.87","135,349,876.75","217,926,964.80","295,692,300.95","87,672,960.15","153,954,683.81","197,383,221.08","265,535,466.30","82,918,749.10","112,278,167.37","160,350,160.38","150,066,147.35","40,826,903.18","99,162,498.46","161,216,767.07","192,758,899.44","47,464,130.40","122,617,431.74","221,195,359.28","267,258,494.48","55,728,385.25","120,582,435.42"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
归属于母公司所有者的净利润,"51,153,194.26","114,513,217.48","191,547,976.90","136,871,947.17","92,661,190.69","94,803,226.21","180,681,501.96","214,389,038.91","78,038,879.73","151,441,142.75","258,056,556.50","287,326,897.07","54,486,745.12","131,960,332.76","213,178,425.72","289,067,383.44","84,509,809.69","146,107,242.64","184,300,109.34","254,466,153.98","79,546,435.23","104,457,245.40","145,882,736.16","139,222,006.29","37,616,811.54","93,929,600.16","154,434,603.32","191,946,756.93","48,729,473.89","124,659,629.63","226,911,059.65","296,686,687.06","53,399,786.10","117,427,793.27"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,"2,154,697.11","777,987.64","5,126,585.31","-66,062,197.84","567,759.05","5,317,879.76","16,304,105.44","8,705,172.12","3,493,659.37","5,151,978.11","10,578,358.95","6,734,098.42","850,649.75","3,389,543.99","4,748,539.08","6,624,917.51","3,163,150.46","7,847,441.17","13,083,111.74","11,069,312.32","3,372,313.87","7,820,921.97","14,467,424.22","10,844,141.06","3,210,091.64","5,232,898.30","6,782,163.75","812,142.51","-1,265,343.49","-2,042,197.89","-5,715,700.37","-29,428,192.58","2,328,599.15","3,154,642.15"
