科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"1,744,749,462.70","2,035,875,551.38","2,331,737,621.19",,"1,302,040,951.02","2,062,309,072.10","2,921,732,631.85","770,641,421.76","1,676,219,759.24","2,682,176,082.53","3,761,346,655.59","959,832,084.27","2,057,180,077.44","3,311,567,244.07","4,641,266,107.84"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"9,341,673.50","16,311,588.18","15,065,714.02",,"6,716,391.36","12,428,868.44","31,382,074.61","8,793,814.72","19,181,179.77","36,343,764.29","54,100,735.25","10,156,036.09","21,302,526.08","31,922,872.79","54,565,858.09"
投资活动现金流出小计,"128,327,890.54","197,292,118.56","258,396,100.61",,"115,457,323.17","193,217,015.56","316,032,358.02","95,483,393.29","198,081,749.76","321,776,906.34","1,193,300,351.46","336,857,809.94","480,847,536.86","565,097,867.48","813,893,315.76"
经营活动现金流入小计,"1,754,091,136.20","2,052,187,139.56","2,346,803,335.21",,"1,308,757,342.38","2,074,737,940.54","2,953,114,706.46","779,435,236.48","1,695,400,939.01","2,718,519,846.82","3,815,447,390.84","969,988,120.36","2,078,482,603.52","3,343,490,116.86","4,695,831,965.93"
投资活动产生的现金流量净额,"-120,618,037.75","-196,799,476.41","-258,168,505.61","-42,683,600.00","-115,097,775.14","-182,795,348.75","-315,453,721.75","-95,466,953.29","-198,005,031.76","-321,562,576.89","-513,617,443.01","-274,750,914.25","-183,857,084.37","-268,349,971.08","-317,851,338.54"
购买商品、接受劳务支付的现金,"868,933,472.60","1,013,526,500.90","1,180,111,812.35",,"641,230,641.00","1,027,099,322.64","1,442,391,762.59","366,994,379.62","807,567,506.00","1,256,518,496.14","1,847,163,958.25","471,278,073.64","991,328,936.95","1,577,895,927.42","2,218,614,549.14"
吸收投资收到的现金,,,,,,,"574,373,376.00",,,,,,,,"721,040,000.00"
支付给职工以及为职工支付的现金,"257,181,951.85","315,281,787.80","386,067,105.25",,"226,761,749.64","350,191,753.15","481,286,173.83","130,858,376.91","277,992,949.69","434,487,649.27","602,268,116.17","174,681,167.15","369,242,485.86","555,687,992.56","748,815,378.93"
取得借款收到的现金,"81,000,000.00","54,250,000.00","20,000,000.00",,"90,000,000.00","90,000,000.00","90,000,000.00",,"20,000,000.00","20,000,000.00","20,000,000.00",,"90,000,000.00","90,000,000.00","90,000,000.00"
支付的各项税费,"227,613,986.95","250,813,015.32","278,796,939.48",,"158,745,302.83","242,465,127.08","344,401,688.20","82,083,840.26","193,601,084.77","309,656,771.57","442,909,720.92","101,391,687.98","224,601,176.42","372,169,886.33","537,165,422.21"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"150,457,965.86","153,761,893.64","182,443,276.87",,"101,505,159.29","169,199,677.98","257,599,575.69","73,842,190.90","163,443,891.44","271,321,530.32","403,613,190.26","111,181,070.02","248,013,353.01","377,771,260.36","538,089,369.22"
筹资活动现金流入小计,"81,000,000.00","54,250,000.00","20,000,000.00",,"90,000,000.00","90,000,000.00","664,373,376.00",,"20,000,000.00","20,000,000.00","20,000,000.00",,"90,000,000.00","90,000,000.00","811,040,000.00"
经营活动现金流出小计,"1,504,187,377.26","1,733,383,197.66","2,027,419,133.95",,"1,128,242,852.76","1,788,955,880.85","2,525,679,200.31","653,778,787.69","1,442,605,431.90","2,271,984,447.30","3,295,954,985.60","858,531,998.79","1,833,185,952.24","2,883,525,066.67","4,042,684,719.50"
偿还债务支付的现金,"122,100,000.00","80,359,933.57","3,890,066.43",,"40,000,000.00","40,000,000.00","60,000,000.00","50,000,000.00","50,000,000.00","70,000,000.00","70,000,000.00",,,"90,000,000.00","90,000,000.00"
经营活动产生的现金流量净额,"249,903,758.94","318,803,941.90","319,384,201.26","68,352,900.00","180,514,489.62","285,782,059.69","427,435,506.15","125,656,448.79","252,795,507.11","446,535,399.52","519,492,405.24","111,456,121.57","245,296,651.28","459,965,050.19","653,147,246.43"
分配股利、利润或偿还利息支付的现金,"41,591,088.89","61,420,458.43","138,941,029.81",,"81,739,691.10","81,985,791.10","83,321,216.09","1,626,538.89","249,343,738.89","249,502,513.89","249,502,513.89",,"135,644,625.00","136,192,725.00","136,192,725.00"
