科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"741,407,569.25","784,334,070.16","979,876,972.36","597,340,774.09","892,935,743.58","1,208,616,959.89","299,019,050.00","663,326,585.11","1,012,767,428.88","1,370,937,659.45","366,947,207.53","827,616,462.89","1,215,553,329.33","1,577,930,459.38","339,042,809.29"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,"190,000,000.00","79,616.00","79,616.00","79,616.00",,,"10,000,000.00","10,000,000.00","29,174,313.60","29,174,313.60","29,174,313.60","36,009,313.60","1,200,000.00"
收到其他与经营活动有关的现金,"124,635,732.09","190,468,768.30","132,043,977.22","37,661,517.25","53,804,823.57","66,235,685.69","9,350,958.73","38,445,409.73","71,956,840.91","82,002,786.02","9,177,566.00","20,415,986.77","33,457,910.84","47,892,243.88","8,888,054.10"
投资活动现金流出小计,"362,093,002.91","869,702,212.47","608,323,011.43","320,837,815.74","391,054,543.68","460,976,008.12","495,180,477.69","918,863,572.07","1,042,252,749.16","1,658,601,819.55","731,548,215.56","1,315,120,864.35","1,346,474,850.12","2,206,220,606.54","985,593,909.05"
经营活动现金流入小计,"866,043,301.34","974,802,838.46","1,111,920,949.58","635,002,291.34","946,740,567.15","1,274,852,645.58","308,370,008.73","701,771,994.84","1,084,724,269.79","1,452,940,445.47","376,124,773.53","848,032,449.66","1,249,011,240.17","1,625,822,703.26","347,930,863.39"
投资活动产生的现金流量净额,"-360,959,106.79","-869,701,255.47","-418,323,011.43","-319,000,137.18","-389,216,865.12","-459,138,329.56","-93,345,957.14","-517,029,051.52","-529,456,584.63","-840,103,682.42","-122,767,511.45","-594,973,886.27","-16,420,515.87","-872,626,272.29","-47,458,593.98"
购买商品、接受劳务支付的现金,"64,608,881.73","60,295,929.70","73,777,811.76","41,344,772.95","63,251,266.98","84,488,791.86","15,352,270.22","39,868,311.72","64,178,754.00","89,771,609.57","17,813,166.22","37,667,174.31","63,694,845.39","244,638,630.84","18,738,232.88"
吸收投资收到的现金,,,,,,"976,664,200.00",,,,,,"75,084,290.00","75,084,290.00","74,105,510.00",
支付给职工以及为职工支付的现金,"41,011,003.24","51,898,119.33","69,129,837.59","44,374,438.35","59,109,440.43","74,726,069.81","34,579,938.87","51,989,792.50","68,001,889.07","84,852,070.23","37,491,203.85","54,979,885.83","70,812,144.99","89,417,217.02","32,854,608.57"
取得借款收到的现金,"130,000,000.00","395,000,000.00","240,000,000.00",,,,,,,,,,,,
支付的各项税费,"115,938,967.42","143,803,689.62","182,567,132.17","136,768,998.25","164,189,902.92","230,428,911.50","49,134,340.21","130,997,802.59","174,339,389.48","251,475,276.88","158,103,001.83","239,901,052.01","298,745,181.71","341,702,924.45","70,814,080.63"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"27,383,890.07","50,271,609.96","72,000,948.27","18,683,157.91","28,176,014.57","46,558,353.62","8,467,668.20","21,118,733.28","37,122,658.68","46,972,959.55","15,599,437.13","32,952,552.25","42,627,780.90","48,491,699.60","14,712,677.02"
筹资活动现金流入小计,"130,000,000.00","395,000,000.00","240,000,000.00",,,"976,664,200.00",,,,,,"75,084,290.00","75,084,290.00","74,105,510.00",
经营活动现金流出小计,"248,942,742.46","306,269,348.61","397,475,729.79","241,171,367.46","314,726,624.90","436,202,126.79","107,534,217.50","243,974,640.09","343,642,691.23","473,071,916.23","229,006,809.03","365,500,664.40","475,879,952.99","724,250,471.91","137,119,599.10"
偿还债务支付的现金,"155,880,000.00","110,380,000.00","314,880,000.00","322,440,000.00","328,660,000.00","723,320,000.00",,,,,,,,,"14,000,000.00"
经营活动产生的现金流量净额,"617,100,558.88","668,533,489.85","714,445,219.79","393,830,923.88","632,013,942.25","838,650,518.79","200,835,791.23","457,797,354.75","741,081,578.56","979,868,529.24","147,117,964.50","482,531,785.26","773,131,287.18","901,572,231.35","210,811,264.29"
分配股利、利润或偿还利息支付的现金,"41,117,860.45","49,309,878.88","95,516,620.62","18,025,429.06","23,739,474.19","28,033,104.63","269,510.42","220,150,340.86","220,820,488.20","221,092,982.65","269,500.00","264,544,988.89","264,738,136.36","469,276,804.05","18,001,147.23"
收回投资收到的现金,,,,,,,"400,000,000.00","400,000,000.00","500,000,000.00","800,000,000.00","600,000,000.00","710,000,000.00","1,310,000,000.00","1,310,000,000.00","930,000,000.00"
支付其他与筹资活动有关的现金,,,,,,"8,330,000.00",,,,,,,,,
取得投资收益收到的现金,,,,,,,"1,834,520.55","1,834,520.55","2,796,164.53","7,910,137.13","8,779,904.11","10,146,178.08","20,053,534.25","20,053,534.25","6,787,671.23"
筹资活动现金流出小计,"196,997,860.45","159,689,878.88","410,396,620.62","340,465,429.06","352,399,474.19","759,683,104.63","269,510.42","220,150,340.86","220,820,488.20","221,092,982.65","269,500.00","264,544,988.89","264,738,136.36","469,276,804.05","32,001,147.23"
处置固定资产、无形资产和其他长期资产收回的现金净额,"1,133,896.12",957.00,,"13,000.00","13,000.00","13,000.00",,,,"588,000.00",800.00,800.00,800.00,800.00,
筹资活动产生的现金流量净额,"-66,997,860.45","235,310,121.12","-170,396,620.62","-340,465,429.06","-352,399,474.19","216,981,095.37","-269,510.42","-220,150,340.86","-220,820,488.20","-221,092,982.65","-269,500.00","-189,460,698.89","-189,653,846.36","-395,171,294.05","-32,001,147.23"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,
