科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"26,491,351.42","22,840,390.95","23,665,073.65","12,342,138.71","14,582,352.30","206,564,053.42","176,556,890.22","170,000,279.29","173,462,462.36","65,634,718.75","61,612,759.80","83,612,029.50"
短期借款,"68,350,000.00","39,800,000.00","10,000,000.00",,,,,,"1,000,000.00","1,000,000.00","1,000,000.00","2,000,000.00"
交易性金融资产,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,
应收票据,"29,417,875.24","24,727,442.89","28,924,067.22","31,007,462.73","29,404,540.85","46,455,841.01","59,788,752.24","53,959,688.09","77,598,207.90","88,626,824.24","94,026,894.35","114,871,613.91"
应付票据,"14,784,991.28","14,572,467.82","19,550,732.01","5,192,000.00","8,106,016.08","7,564,016.08","4,757,531.07","19,193,800.25","44,374,141.48","50,172,870.49","43,968,958.59","70,170,987.13"
应收账款,"71,053,756.13","69,540,282.26","80,121,281.93","85,623,477.06","104,065,914.05","112,490,454.29","111,908,519.33","126,322,872.03","133,757,775.06","126,469,572.14","130,336,027.35","121,602,098.26"
应付账款,"54,371,569.54","53,953,516.76","61,028,168.94","67,007,206.11","76,641,846.68","85,601,067.01","87,300,510.22","83,973,205.17","82,921,309.13","85,786,735.94","91,108,040.63","76,755,562.44"
预付款项,"1,626,285.15","1,636,795.03","968,620.24","1,759,228.88","3,455,800.29","3,462,027.93","13,644,991.99","3,160,317.13","3,886,779.61","2,324,317.43","1,619,795.14","1,780,454.25"
预收款项,"1,794,087.33","588,645.65","2,071,139.28","1,270,458.71","1,356,747.35","1,171,845.50","1,023,183.43","3,226,704.30","2,540,111.19","1,676,596.18","3,765,586.68","2,324,676.74"
其他应收款,"3,102,658.80","1,890,059.98","3,121,899.96","4,136,368.59","6,229,400.40","4,852,713.18","1,647,990.38","3,725,083.57","6,695,815.36","2,374,484.43","9,396,204.63","4,282,744.73"
