科目,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"214,220,843.17","106,250,004.14","175,453,339.08","504,668,621.71","419,677,661.51","329,061,664.38","310,642,995.24","289,909,356.90","364,713,046.84","434,767,092.90","330,915,326.38","174,526,147.36","134,255,582.13","142,522,711.34","53,661,804.60","128,116,908.11","33,828,704.62","49,539,620.98","62,678,364.00","99,488,451.31","34,069,425.60","48,467,940.79","57,484,265.49","35,881,374.89","36,241,618.92","29,667,114.67","66,547,965.96","66,112,766.08","148,797,203.85","90,539,627.33","116,053,629.04","138,324,933.04","222,291,462.34","154,297,562.51","262,953,838.65","115,191,730.93","143,121,789.15","170,180,653.44","195,329,230.31"
短期借款,"176,000,000.00","46,000,000.00","196,400,000.00","226,000,000.00","208,000,000.00","390,000,000.00","335,000,000.00","386,000,000.00","465,000,000.00","624,000,000.00","664,000,000.00","709,000,000.00","580,180,000.00","323,180,000.00","217,180,000.00","206,000,000.00","222,800,000.00","382,361,245.62","475,189,892.31","438,765,866.69","442,437,958.02","471,003,225.73","401,794,807.29","448,362,051.13","419,358,287.23","433,808,287.23","132,253,464.00","98,506,450.86","102,341,692.34","77,088,035.03","236,820,384.31","139,131,024.92","220,994,537.44","471,582,668.06","520,500,135.63","367,957,152.82","460,637,010.89","671,451,639.54","749,101,180.00"
交易性金融资产,,,,,,,,,,,,,,,,,"161,550.00",,,,,,,,"1,521,500.00",,,,"1,777,600.00",,"7,116,000.00","55,106,202.59","23,118,354.92","37,122,162.15","16,755,854.52","38,560,316.43","15,288,243.38","22,531,413.29","18,984,063.46"
交易性金融负债,,,,,,,,,,,,,,,,,"1,726,000.00","433,975.00",,,,,,,,,,,"2,096,450.00",,,,,,,,,,
应收票据,"35,175,207.75","52,041,677.06","74,193,881.61","39,951,064.27","102,547,405.70","303,061,058.75","261,238,764.89","213,644,469.33","220,318,423.61","140,491,858.23","216,744,442.98","507,487,423.89","570,433,125.28","212,858,414.64","187,836,251.53","58,235,735.35","191,930,788.13","211,741,280.35","196,962,480.65","156,316,441.96","357,981,300.16","399,044,776.38","298,699,151.88","362,109,063.29","285,895,276.81","284,636,083.23","235,620,542.45","183,923,353.80","267,951,096.64","110,828,066.27","261,391,478.79","106,173,840.46","226,840,184.32","326,079,785.11","269,106,068.15","138,637,696.17","152,422,322.51","351,997,134.82","298,781,936.61"
应付票据,"131,228,102.11","45,620,303.89","52,002,131.80","2,544,874.96","2,628,783.39","3,048,802.28","2,392,861.51","2,732,563.34","19,679,894.24","26,414,003.19","13,530,413.91","5,857,501.72","11,959,278.23","6,773,114.37","6,742,997.11","10,501,117.98","8,903,871.42","11,808,817.67","11,052,462.04","10,366,525.60","2,787,129.54","2,046,848.98","2,048,266.60","3,206,883.92","4,223,454.23","3,676,204.42","3,575,175.69","4,702,708.83","6,261,567.84","6,351,736.94","4,482,274.23","105,718,274.05","156,207,673.59","55,617,875.79","11,759,779.24","20,461,967.62","20,889,822.85","16,099,010.28","11,982,628.46"
应收账款,"147,105,462.02","130,470,201.28","201,076,474.66","281,635,175.55","306,534,004.39","341,018,981.05","325,722,121.50","312,452,025.90","306,225,328.53","347,321,010.89","372,715,572.59","294,346,208.98","210,305,610.23","296,921,781.54","276,361,209.38","261,706,266.23","300,449,005.88","334,237,396.07","436,818,688.78","413,060,572.56","336,962,563.97","289,904,389.56","296,056,811.92","258,333,487.06","295,571,231.59","310,654,302.88","261,593,001.88","234,924,360.15","146,556,472.64","323,774,109.05","312,957,617.65","355,823,794.01","441,642,997.37","521,155,880.04","604,088,125.27","691,892,545.15","857,797,961.01","752,905,136.80","861,566,006.08"
应付账款,"58,658,287.25","39,350,090.24","52,910,957.64","69,982,031.96","82,565,046.14","92,588,397.28","91,183,991.28","92,933,521.88","63,536,964.38","85,254,182.66","69,972,214.91","45,896,407.05","60,929,142.22","75,117,037.21","88,342,784.59","73,847,142.05","119,237,869.36","114,233,620.28","102,700,095.34","68,060,443.59","82,746,095.81","72,497,012.97","68,032,709.71","68,799,675.34","54,856,285.36","63,384,691.75","70,598,921.34","17,497,304.69","28,933,715.44","28,775,917.03","22,997,054.00","20,869,308.76","29,566,559.01","17,922,621.77","29,649,408.38","24,062,488.02","45,590,832.83","54,603,547.07","58,134,431.24"
预付款项,"57,861,526.32","16,628,265.40","19,487,512.74","26,579,933.63","17,047,081.20","15,997,555.02","25,262,089.98","68,740,945.76","14,028,181.16","33,181,299.63","33,563,819.30","18,026,637.34","8,724,664.97","17,610,275.94","19,050,246.40","8,335,874.27","24,525,605.68","21,718,967.78","47,114,598.54","41,957,991.52","40,357,497.93","35,113,918.26","26,796,870.98","44,099,468.83","17,736,844.04","16,253,223.90","9,911,570.65","37,101,990.33","10,628,355.33","48,697,971.30","46,802,182.48","46,116,247.74","21,295,386.00","39,270,215.17","20,219,561.55","32,139,306.38","36,338,456.49","45,408,536.36","26,658,984.89"
预收款项,"42,311,079.97","5,762,288.30","11,264,317.50","6,498,276.38","4,146,124.45","5,312,700.07","7,179,939.82","18,652,527.44","8,271,075.76","24,346,021.75","29,330,556.41","26,186,205.79","19,211,101.74","21,184,083.48","11,228,138.95","16,995,064.05","6,932,038.60","11,152,942.71","19,706,307.79","11,544,967.41","3,123,036.98","4,273,383.34","10,961,339.64","9,654,844.05","12,190,843.69","12,242,441.38","11,303,253.08","20,051,757.37","3,366,063.57","7,387,825.72","39,077,241.37","5,597,667.27","10,037,462.78","20,617,415.97","14,504,722.55","6,539,485.78","18,417,454.36","24,371,534.45","12,144,929.88"
