科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
财务费用,"887,939.32","89,243.43","368,772.52","243,293.78","-432,424.83","-958,329.73","-1,682,747.12","-1,994,778.77","-3,726,815.29","-1,115,032.66","-2,059,869.60","-3,007,828.04","-3,767,474.57","-761,219.74","-1,855,045.13","-3,048,605.32","-4,539,758.46","-2,057,662.96","-4,392,774.56","-7,195,560.52","-9,622,359.70","-2,826,777.16","-5,698,857.01","-7,559,427.07","-10,802,776.13","-1,975,908.70","-4,561,222.36","-5,721,613.05","-3,352,626.08","2,329,883.96","4,398,085.01","578,014.77","-5,042,199.00","-3,990,002.12","-7,966,396.27","-10,534,911.18"
三、利润总额,"16,824,938.57","34,007,625.28","25,524,402.70","33,986,391.86","51,715,228.51","12,735,151.96","29,994,650.32","36,320,881.70","64,189,372.03","23,538,261.97","51,402,472.27","64,560,534.46","124,672,225.51","48,893,572.73","84,248,883.14","115,419,222.73","195,376,070.34","70,910,291.86","115,301,402.98","163,400,099.85","281,980,180.41","91,650,380.35","138,138,840.09","202,045,954.69","332,241,812.45","110,648,543.76","165,952,156.24","196,020,937.54","292,011,352.15","75,317,477.92","99,198,077.81","102,987,472.97","132,775,279.13","57,102,705.44","85,846,049.23","85,802,534.56"
资产减值损失,"-312,271.17","723,740.69","156,196.83","156,196.83","4,087,767.58",,"76,395.81","76,395.81","3,250,687.48",,"52,601.82","8,295,832.69","25,509,332.86",,"-7,532,947.91","-7,532,947.90","25,871,757.61",,"-608,592.85","-608,592.85","44,942,974.88",,"20,285,125.04","20,285,125.04","53,358,807.57",,"11,958,469.16","11,997,906.46","57,171,693.94","-7,654.66","-1,850,557.61","-1,852,036.44","57,843,834.12","-932,033.80","-22,167,717.06","-21,193,482.40"
减:所得税,"5,844,152.71","8,497,811.35","6,677,225.75","8,771,926.76","7,681,201.13","2,000,735.17","4,738,320.94","5,844,165.35","10,293,929.80","3,795,976.52","7,867,970.21","10,752,447.65","17,520,447.46","8,245,472.51","25,029,654.81","34,140,748.08","27,071,872.83","11,922,161.56","18,953,203.56","28,508,339.65","40,543,344.79","15,322,558.54","23,690,807.96","34,812,243.92","50,201,443.88","18,168,241.55","46,956,177.80","60,957,209.71","39,148,522.30","13,187,747.37","23,727,170.97","27,593,302.11","20,526,844.32","5,978,799.72","12,050,665.08","12,631,249.00"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,,"-162,377.71",,,,,,,,,,,,,,,,,,,,"579,452.26","1,233,041.46","1,951,066.56","2,876,487.61","361,905.00","403,615.00","583,201.15","206,065.03","729,942.45","13,080.63","6,142,070.16","1,591,637.42","1,229,010.30","13,911,678.82","18,852,296.94"
四、净利润,"10,980,785.86","25,509,813.93","18,847,176.95","25,214,465.10","44,034,027.38","10,734,416.79","25,256,329.38","30,476,716.35","53,895,442.23","19,742,285.45","43,534,502.06","53,808,086.81","107,151,778.05","40,648,100.22","59,219,228.33","81,278,474.65","168,304,197.51","58,988,130.30","96,348,199.42","134,891,760.20","241,436,835.62","76,327,821.81","114,448,032.13","167,233,710.77","282,040,368.57","92,480,302.21","118,995,978.44","135,063,727.83","252,862,829.85","62,129,730.55","75,470,906.84","75,394,170.86","112,248,434.81","51,123,905.72","73,795,384.15","73,171,285.56"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-693,268.39",,,,"-5,741,223.50",,"3,571,552.51","1,702,921.12"
归属于母公司所有者的净利润,"10,959,481.47","25,465,520.41","18,847,176.95","25,214,465.10","44,034,027.38","10,734,416.79","25,256,329.38","30,476,716.35","53,895,442.23","19,742,285.45","43,534,502.06","53,808,086.81","107,151,778.05","40,648,100.22","59,232,475.54","81,336,888.81","168,702,003.17","59,075,771.46","96,618,799.21","141,652,236.13","248,803,837.35","77,699,448.96","122,642,688.33","178,408,743.07","294,289,340.18","94,343,577.72","124,071,612.21","146,513,398.21","263,396,208.91","71,792,808.72","94,397,800.21","100,348,644.08","165,605,053.31","50,210,581.61","79,012,586.23","81,226,825.69"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,"21,304.39","44,293.52",,,,,,,,,,,,,"-13,247.21","-58,414.16","-397,805.66","-87,641.16","-270,599.79","-6,760,475.93","-7,367,001.73","-1,371,627.15","-8,194,656.20","-11,175,032.30","-12,248,971.61","-1,863,275.51","-5,075,633.77","-11,449,670.38","-10,533,379.06","-9,663,078.17","-18,926,893.37","-24,954,473.22","-53,356,618.50","913,324.11","-5,217,202.08","-8,055,540.13"
