科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"1,690,794,150.92","1,787,428,315.70","1,768,795,168.49","372,608,708.10","710,496,335.71","1,103,580,136.85","1,638,712,971.53","346,049,874.09","843,568,653.02","1,334,579,745.63","1,819,252,773.31","395,879,166.27","855,272,950.67","1,299,036,475.63","1,632,264,897.23","408,317,298.45","766,733,584.97","1,095,240,357.28","1,433,741,228.78","403,208,947.30","791,188,324.24","1,129,394,216.31","1,248,350,578.04","302,331,540.38","700,622,774.54","1,060,706,524.79","1,307,915,746.59","276,747,752.57","706,766,548.26","1,064,976,140.80","406,164,180.37","273,074,708.28","613,802,152.12","875,909,457.43"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"27,746,331.62","31,979,002.81","34,509,284.57","3,755,178.64","5,512,926.72","6,179,091.68","11,654,229.85","2,102,881.37","6,148,685.40","7,644,051.91","21,926,356.13","9,451,270.54","17,521,526.02","17,521,526.02","34,676,284.38","64,638.55","141,564.91","1,220,081.51","2,827,137.05","1,692,876.67","5,460,043.12","7,229,603.36","14,006,178.68","12,169,888.47","12,906,574.92","17,815,078.20","23,474,278.22","4,598,401.11","9,177,816.95","13,551,752.42","16,244,285.22","5,322,109.87","10,055,097.86","12,056,824.32"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,"21,321,144.90","227,433.60","227,433.60","227,433.60",,,,,,,,,,,,
收到其他与经营活动有关的现金,"23,628,828.43","69,655,202.57","26,830,043.20","11,606,049.05","21,723,511.93","33,067,758.43","46,646,563.43","13,863,783.50","38,546,813.62","32,469,072.70","52,796,508.91","10,487,659.07","19,273,602.35","41,274,442.55","88,411,476.52","14,888,046.08","12,175,381.11","25,597,948.51","41,493,192.89","9,266,007.22","32,288,122.65","26,530,975.82","16,916,678.53","4,423,632.44","8,832,778.49","32,821,158.80","46,358,995.28","16,427,407.05","23,693,444.66","29,136,274.88","97,394,784.92","2,056,227.32","10,610,247.12","17,371,645.45"
投资活动现金流出小计,"126,914,149.38","340,748,237.79","122,999,335.93","20,249,941.66","39,174,640.49","95,217,650.58","154,738,717.89","227,678,074.28","272,865,397.11","321,933,632.31","353,453,594.58","49,980,820.86","99,569,920.61","145,041,240.18","172,716,703.03","54,103,706.84","134,411,657.31","186,760,934.92","285,548,693.19","112,151,049.54","201,144,936.32","312,152,181.95","394,880,478.08","109,058,021.71","143,469,514.96","222,212,372.08","253,925,502.84","94,918,012.62","83,129,091.16","103,766,296.16","38,984,453.05","2,713,613.22","30,591,189.41","34,897,550.14"
经营活动现金流入小计,"1,742,169,310.97","1,889,062,521.08","1,830,134,496.26","387,969,935.79","737,732,774.36","1,142,826,986.96","1,697,013,764.81","362,016,538.96","888,264,152.04","1,374,692,870.24","1,893,975,638.35","415,818,095.88","892,068,079.04","1,357,832,444.20","1,755,352,658.13","423,269,983.08","779,050,530.99","1,122,058,387.30","1,478,061,558.72","414,167,831.19","828,936,490.01","1,163,154,795.49","1,279,273,435.25","318,925,061.29","722,362,127.95","1,111,342,761.79","1,377,749,020.09","297,773,560.73","739,637,809.87","1,107,664,168.10","519,803,250.51","280,453,045.47","634,467,497.10","905,337,927.20"
投资活动产生的现金流量净额,"-120,325,991.15","-337,068,271.39","-104,356,752.52","-16,013,889.26","-28,874,580.97","-84,917,591.06","-111,918,427.74","-227,521,074.28","-249,180,177.09","-285,054,518.49","-283,214,427.10","-37,730,559.04","-57,030,641.60","-65,227,730.38","-73,001,368.56","-48,626,394.81","-128,727,345.28","-180,832,022.89","-206,412,495.16","-112,055,849.54","-194,660,477.98","-304,948,423.61","-361,109,519.74","-109,058,021.71","-137,617,199.17","-216,239,069.95","-247,929,500.71","-92,918,012.62","-80,946,191.16","-101,583,396.16","88,774,078.27","21,286,386.78","-6,591,189.41","-10,897,550.14"
购买商品、接受劳务支付的现金,"1,175,798,931.28","1,319,633,383.26","1,375,740,729.28","265,173,423.12","560,057,155.34","879,866,671.32","1,348,274,596.44","336,841,608.17","739,597,096.55","1,244,360,188.91","1,698,358,028.32","317,532,518.27","688,531,795.75","1,059,863,913.26","1,387,673,802.19","439,278,419.58","650,341,472.35","892,102,580.94","1,185,657,686.74","390,768,695.03","691,773,419.66","946,278,169.41","909,083,229.38","302,431,083.72","557,977,311.84","885,370,474.39","1,168,653,335.38","258,876,024.67","631,841,890.60","938,563,899.28","392,808,229.54","189,173,774.37","508,308,123.93","749,761,298.72"
吸收投资收到的现金,"145,880,000.00",,,,"683,617,300.00","683,617,300.00","683,617,300.00",,,,,,,,,,,,,,,,"295,000,000.00",,,,,,,,,,,
