科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"77,743,199.64","217,995,164.99","371,980,425.47","573,474,051.08","119,850,900.99","280,550,638.43","421,447,136.89","1,338,772,915.47","187,196,048.69","424,455,023.03","619,792,380.57","1,269,045,412.58","128,006,860.42","282,297,948.61","423,078,854.64","1,364,760,313.46","87,719,873.51","347,625,703.61","862,948,813.88","1,135,663,157.28","18,138,372.37","29,795,985.39","41,599,723.87","135,446,702.83","15,908,627.94","23,943,688.19","30,423,629.48","110,825,757.63","5,567,018.33","10,085,004.28","13,629,709.16","195,034,744.98","19,685,295.04","54,915,681.76","76,466,066.58","310,337,979.54","3,096,204.14","712,196,589.16","2,264,294,976.90","4,232,988,543.77","1,315,418,962.30","2,509,452,532.13","3,768,129,840.99","6,474,445,474.46","1,132,669,560.64","2,775,321,967.43","4,020,778,326.62","6,759,565,820.36","365,421,564.46"
二、营业利润,"-12,651,978.49","-27,519,585.18","-6,941,040.10","-3,268,516.85","-25,480,724.79","-29,806,816.68","-43,432,066.73","57,914,386.86","-1,597,723.00","-3,231,283.75","-44,319,964.40","68,479,440.89","-30,556,483.00","-58,939,848.60","-87,262,096.10","83,899,772.77","-23,137,848.15","-9,281,675.32","114,577,847.10","178,104,391.26","-13,722,928.64","-7,858,489.66","-21,395,022.78","-76,155,846.12","-18,332,271.55","-29,742,042.24","-41,767,318.85","-18,599,024.90","-13,315,276.82","-56,503,358.21","-78,106,884.02","-74,004,815.75","-20,227,751.30","-31,955,325.63","-48,890,603.05","148,595,286.50","35,855,394.16","91,409,001.37","130,361,360.04","188,195,555.26","-780,919.85","55,198,079.15","83,988,645.06","216,599,734.71","-35,576,320.65","129,178,961.16","157,364,928.41","-212,381,266.66","-46,570,265.42"
减:营业成本,"63,864,672.07","177,998,150.00","309,498,336.72","469,102,728.49","100,692,629.57","237,295,233.75","354,924,713.30","1,038,540,750.33","135,323,634.13","316,960,056.91","493,135,835.13","964,691,404.81","113,186,739.00","243,659,384.21","363,069,404.92","939,415,236.35","70,566,224.23","251,938,605.11","546,209,078.34","733,162,795.26","9,139,685.49","15,728,260.77","23,097,412.40","114,397,235.63","10,171,049.82","14,288,733.67","19,240,147.54","93,758,800.81","2,438,041.51","5,835,150.52","8,516,235.31","121,604,081.38","13,156,189.55","35,641,989.43","50,960,647.49","234,640,024.35","1,048,714.18","661,576,839.28","2,104,962,898.25","3,904,290,410.99","1,217,905,112.15","2,262,417,859.44","3,404,976,257.42","5,855,139,934.01","1,053,098,506.60","2,483,758,460.48","3,604,633,898.48","6,116,617,137.51","340,758,108.72"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"82,303.24","447,980.73","1,352,652.24","1,808,557.13","356,934.66","1,022,486.39","1,486,533.18","52,940,466.73","14,359,100.24","20,929,941.99","21,827,444.79","58,502,759.03","918,117.11","1,982,947.93","12,877,291.05","136,870,856.59","844,321.04","15,675,411.17","66,164,527.25","73,740,508.18","1,704,590.07","2,527,101.46","2,967,112.87","3,339,673.19","1,394,666.23","1,947,927.20","2,277,175.13","3,222,794.53","233,356.75","354,686.42","423,998.90","19,281,924.75","1,440,743.58","3,724,021.82","5,435,087.58","18,454,287.68","99,546.08","716,301.02","4,713,780.94","18,962,509.71","5,078,334.70","11,333,261.47","16,646,972.15","26,585,328.59","4,801,163.59","9,838,678.16","12,511,939.21","21,277,357.49","2,418,704.96"
营业外收入,"2,378,609.86","7,821,466.31","13,823,715.67","78,969,081.76","470,904.18","15,935,924.47","28,768,548.09","136,114,288.64","1,081,590.25","52,760,271.69","60,020,226.29","152,977,840.90","1,972,720.16","8,902,342.51","10,820,321.21","32,772,934.35","873,693.19","2,405,614.14","21,254,115.88","46,560,267.48","119,750.00","137,513.80","152,743.80","10,672,194.74","180,698.12","245,840.13","549,907.26","12,961,384.05","8,701.00","12,351,838.41","12,673,823.80","12,698,900.80","3,319.85","23,228.83","246,903.54","453,617.61",868.74,"381,772.32","10,237,063.99","18,645,234.97","2,386,459.99","4,019,437.30","13,260,805.99","1,886,807.36","63,491.90","88,263.39","913,916.21","513,651.81","5,127.75"
销售费用,"15,617,071.46","26,739,208.83","40,489,730.82","58,525,727.87","12,161,281.71","28,238,849.52","42,578,370.53","75,075,160.45","18,435,535.77","38,987,195.88","58,323,087.69","71,259,903.63","20,221,712.36","38,171,395.27","53,229,148.86","70,564,905.26","16,501,974.92","36,594,026.00","54,554,999.85","80,037,800.50","748,077.52","2,431,548.88","5,191,836.49","12,222,316.41","1,939,600.92","3,602,319.81","4,720,290.85","6,359,096.49","438,075.96","7,054,226.09","8,755,238.98","19,821,971.17","4,666,762.64","11,946,135.62","15,278,342.03","25,881,440.92",,"1,801,789.40","9,244,050.30","17,288,362.75","8,684,521.60","17,388,232.86","24,769,076.76","34,089,420.65","11,195,866.76","20,608,511.10","30,073,041.82","44,574,538.14","9,159,317.51"
减:营业外支出,"38,696.43","107,105.37","-5,446,659.48","9,990,141.71","129,535.28","273,136.96","349,933.52","23,034,484.22","227,047.84","22,482,962.37","25,860,051.02","26,496,025.71","198,532.33","778,129.11","972,299.60","1,023,072.44","311,492.45","775,901.26","919,094.67","941,347.79","165,067.28","189,131.70","1,177,960.47","1,240,461.98","3,198.12","663,440.93","2,071,115.93","8,479,308.59","2,227,400.00","5,916,345.42","7,172,739.44","8,727,618.65","787,548.76","2,306,867.40","3,194,725.90","4,756,605.41",,"12,357.91","140,747.57","714,845.81","145,881.58","398,698.10","1,092,538.42","5,998,746.79","69,986.68","91,251.97","82,171.58","1,113,558.09","212,166.32"
管理费用,"11,144,490.78","22,603,969.47","34,801,501.30","52,579,807.46","13,803,955.29","30,383,355.53","44,019,345.54","70,225,397.54","14,552,061.53","37,251,078.98","67,679,231.12","92,929,953.70","21,282,194.04","50,598,604.95","72,531,745.79","106,727,580.77","22,000,109.29","49,490,517.19","74,721,610.74","121,979,996.74","11,736,174.47","23,847,739.32","35,730,440.85","49,137,363.19","9,937,900.04","20,427,709.78","30,747,692.47","35,561,149.80","8,519,767.13","19,346,673.29","28,892,392.08","43,611,151.70","10,027,061.41","18,269,740.80","28,657,709.57","44,615,709.22","6,753,407.80","22,997,269.56","66,997,288.57","139,045,408.16","64,871,497.85","128,736,913.41","194,610,961.20","272,603,101.50","68,376,038.80","136,548,471.20","111,911,849.48","151,242,477.76","28,066,874.26"
其中:非流动资产处置净损失,,"-10,858.69",,"24,807.91",,"98,670.80","192,619.96","44,978.79","1,478.34","20,131,211.10","20,514,275.97","21,117,532.77","22,144.70","10,337.57","10,337.57","63,667.05",,,,"24,924.38","158,711.87","163,362.58","163,362.58","163,362.58",,,,,,,,,,"4,765.96","34,886.23","59,294.66",,"12,351.06","61,337.61","258,099.96","46,195.97","193,611.91","225,949.37",,,,,,
