科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"388,597,817.59","325,146,753.35","396,859,056.91","1,142,450,453.34","963,421,374.10","600,675,849.99","552,673,222.63","745,160,611.30","797,431,625.88","591,623,478.68","604,751,576.84","573,090,325.72","517,051,007.60","368,757,711.75","351,334,378.09","233,331,179.85","663,288,152.50","512,450,318.44","360,971,792.99","326,356,259.20","222,993,190.68","149,024,288.55","229,840,814.77","98,202,257.40","76,874,422.98","176,912,229.83","144,423,488.70","166,244,110.49","108,384,643.01","154,434,801.21","270,181,117.98","167,924,544.07","188,179,920.44","160,122,132.97","206,744,497.82","158,189,598.51","194,315,779.22","218,715,456.75","264,865,628.91","246,723,845.40","189,617,288.48","266,268,658.17","233,324,115.93","298,747,941.35","320,800,100.45","417,143,634.18","603,433,848.86","577,832,554.07"
短期借款,"403,450,000.00","480,000,000.00","532,760,000.00","956,342,000.00","541,000,000.00","310,000,000.00","240,000,000.00","50,000,000.00",,,"100,000,000.00",,,,,"600,000,000.00","415,000,000.00","315,000,000.00","315,000,000.00","305,000,000.00","250,000,000.00","250,000,000.00","370,000,000.00","285,000,000.00","265,000,000.00","425,323,100.00","354,924,000.00","329,977,300.00","269,986,400.00","367,651,250.00","427,748,500.00","461,550,400.00","522,862,400.00","537,645,500.00","607,276,000.00","606,142,000.00","618,113,280.00","554,716,320.00","559,921,000.00","501,676,900.00","478,555,200.00","474,017,700.00","419,293,100.00","405,498,950.00","325,189,700.00","322,617,600.00","421,169,600.00","281,269,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"5,351,612.06","2,990,000.00","5,277,766.00","17,952,000.00","3,837,607.80","1,550,000.00","23,869,000.00",,,"7,800,000.00","1,300,000.00",,,,,,,"852,233.32","5,852,233.32","10,005,000.00","5,605,000.00","30,600,000.00",,"1,060,000.00","1,060,000.00",,,,,,,,,,,,,,,,,,,,,,"59,437,858.82","31,837,858.82"
应付票据,"310,300,000.00","111,850,000.00","112,330,000.00","133,770,000.00","170,858,000.00",,,,,,,,,,,,,,,,,"30,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"81,211,718.84","81,950,653.27","85,016,981.96","74,141,688.32","65,803,689.73","57,435,317.34","59,711,779.88","44,551,015.73","14,531,609.49","6,195,545.18","52,066,893.70","28,842,062.66","62,776,592.09","45,848,232.64","54,664,787.81","65,333,757.74","97,844,624.55","37,019,954.69","94,495,149.39","55,230,999.89","65,544,411.56","93,709,225.82","60,349,165.50","78,538,771.62","75,645,301.67","98,708,151.50","121,644,071.22","77,758,195.67","103,113,268.70","94,918,967.49","75,401,443.55","105,580,924.75","65,908,504.94","63,039,711.60","29,860,648.87","19,975,539.37","31,724,766.09","27,758,363.34","102,924,440.40","83,337,228.68","91,765,623.18","141,376,490.53","136,359,192.57","168,977,146.77","158,563,029.11","197,861,490.38","333,284,517.70","402,801,896.28"
应付账款,"53,587,818.41","59,857,830.29","55,136,654.57","169,218,495.65","116,037,724.28","109,654,565.21","461,210,196.90","409,499,401.96","390,077,507.24","377,383,425.91","369,780,809.83","379,918,785.64","335,214,634.37","341,029,094.18","326,975,288.29","310,352,670.05","245,718,564.91","254,346,224.95","215,437,724.47","168,889,189.02","217,926,709.84","145,018,363.30","163,163,035.91","148,829,496.20","120,717,435.65","129,709,410.14","125,441,731.85","70,939,289.01","79,249,672.52","72,421,907.79","90,785,525.82","75,431,933.09","51,856,135.70","50,162,440.83","87,617,224.26","50,208,326.60","55,586,170.34","38,557,370.49","114,395,217.71","120,998,594.39","106,636,932.96","121,574,799.20","128,678,508.60","131,638,655.93","147,747,083.60",,"304,128,168.06",
预付款项,"74,681,779.02","78,486,872.96","95,308,768.03","79,013,467.74","140,833,285.49","358,510,384.59","390,230,763.58","945,327.94","1,613,298.00","6,733,519.54","16,022,315.18","1,002,646.23","2,896,495.96","20,900,701.60","2,295,026.24","5,888,446.96","10,462,099.42","33,225,190.40","9,059,640.48","2,454,993.06","8,129,541.67","4,900,750.19","6,383,068.73","3,408,672.28","6,981,241.04","5,093,019.11","3,636,379.80","1,801,485.49","4,432,509.60","5,107,892.36","543,646.71","5,272,361.15","5,616,020.87","4,085,190.50","2,805,741.87","7,871,354.41","6,018,978.05","7,204,058.33","3,393,565.72","10,285,480.49","5,841,534.93","3,924,320.00","4,371,917.46","8,474,017.41","4,886,438.53","8,544,553.86","2,894,240.21","8,455,588.50"
预收款项,"31,213,191.66","42,464,261.47","48,807,815.21","80,408,600.99","81,633,337.57","96,080,999.66","104,489,935.00","37,070,516.19","37,608,631.85","15,965,224.60",,"1,100,000.00",,,"11,322,611.13","43,468,466.06","2,303,305.35","19,978,305.67","20,689,138.11","3,770,251.07","725,503.54","19,431,062.32","2,607,349.66","7,715,565.56","2,575,654.04","2,879,907.82","6,746,405.52","3,359,214.73","743,281.78","1,519,711.05","758,022.88","573,706.40","3,861,705.74","600,000.00","2,084,457.97","4,034,391.08","1,119,584.33","1,119,584.33","1,126,221.13","7,611,037.97","5,123,167.56","15,076,025.62","356,775.80","8,722,075.69","4,330,991.51","12,724,959.57","3,334,989.24","494,473.97"
