科目,2010年度,2011年度,2012年1-9月,2012年度,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"6,464,756,819.25","7,194,588,384.62","5,734,541,186.92","9,132,615,975.63","3,760,879,141.08","6,088,054,256.08","9,905,851,760.59","1,929,105,267.62","4,404,915,075.91","7,095,479,339.40","11,791,152,786.28","2,031,194,304.05","4,835,224,341.22","7,756,691,853.48","12,318,711,621.39","3,091,127,004.27","6,385,268,828.09","9,776,680,401.06","15,261,371,037.48","3,452,687,017.03","7,578,504,829.67","11,851,891,069.01","17,952,750,617.50","3,787,941,840.10"
取得子公司及其他营业单位支付的现金净额,"14,631,398.12",,,,,,,,,,,,,,,,,,,"14,660,593.28",,"26,660,593.27",,"12,771,000.00"
收到的税费返还,"904,339.13",,,,,,,,,,,,,,"2,707,698.12","1,364,684.46","2,335,267.52","2,335,267.52","3,629,283.81",,,,"1,910,033.70",
支付其他与投资活动有关的现金,,,,,,,,,"79,810,605.00",,"1,000,000.00",,,,"1,500,000.00",,,,,,"26,660,593.27",,"26,660,593.27",
收到其他与经营活动有关的现金,"31,506,616.78","17,919,809.66","10,506,333.04","12,299,067.38","4,262,269.49","5,078,466.98","20,201,558.33","862,188.24","16,338,663.43","16,985,093.01","83,349,436.70","8,671,657.20","9,490,001.69","10,793,387.46","26,492,284.89","1,269,801.85","3,778,740.94","11,565,907.04","17,241,046.94","6,849,315.64","29,415,766.94","42,981,143.55","67,273,735.83","86,947,024.64"
投资活动现金流出小计,"2,067,651,512.19","599,970,436.27","352,685,694.88","629,026,859.40","413,445,921.75","744,336,357.93","1,013,655,627.57","179,850,482.65","1,974,046,259.94","2,495,578,793.59","2,715,606,869.11","189,403,229.76","1,560,690,356.99","2,041,315,869.37","3,145,781,217.14","972,328,818.93","4,298,439,264.69","5,273,501,583.81","5,958,895,052.81","1,688,525,247.92","4,121,114,405.47","5,759,677,576.67","7,697,688,514.03","2,875,020,897.57"
经营活动现金流入小计,"6,497,167,775.16","7,212,508,194.28","5,745,047,519.96","9,144,915,043.01","3,765,141,410.57","6,093,132,723.06","9,926,053,318.92","1,929,967,455.86","4,421,253,739.34","7,112,464,432.41","11,874,502,222.98","2,039,865,961.25","4,844,714,342.91","7,767,485,240.94","12,347,911,604.40","3,093,761,490.58","6,391,382,836.55","9,790,581,575.62","15,282,241,368.23","3,459,536,332.67","7,607,920,596.61","11,894,872,212.56","18,021,934,387.03","3,874,888,864.74"
投资活动产生的现金流量净额,"-82,542,606.30","-517,255,841.15","-341,934,245.96","-614,039,107.61","-93,223,005.08","-420,560,978.51","-666,939,617.50","-106,378,143.37","-1,888,925,587.55","-2,403,036,475.63","-2,605,328,797.72","1,032,504,231.67","313,989,452.80","-142,058,191.80","-317,736,985.21","-441,806,686.83","-1,135,629,679.21","-1,585,124,011.43","-1,757,827,443.15","-32,029,427.80","-1,456,071,299.41","-2,482,932,934.03","-2,459,547,723.15","-289,130,064.22"
购买商品、接受劳务支付的现金,"4,351,762,383.02","4,605,788,458.83","3,841,002,191.06","5,246,921,544.54","2,970,635,006.75","4,306,220,602.02","5,866,112,968.88","1,635,118,070.86","3,043,965,738.66","4,663,709,219.69","6,664,461,888.48","1,817,083,574.69","3,286,223,660.85","5,026,561,202.28","7,242,036,735.72","1,933,863,597.57","3,606,884,334.32","5,531,201,527.86","7,866,788,789.40","2,405,366,668.89","4,556,515,505.19","6,765,416,972.94","9,194,542,730.44","2,152,721,445.06"
吸收投资收到的现金,"248,850,000.00",,,,,,,"1,855,109,375.00","1,856,109,375.00","1,856,109,375.00","1,856,109,375.00",,,,,,,,,,,,,
