科目,2013-12-31,2014-12-31,2015-12-31,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"121,742,058.77","115,649,628.59","164,678,503.52","100,242,036.58","647,118,332.65","402,629,311.80","234,983,741.24","196,091,845.44","317,338,812.91","302,932,735.59","314,397,919.11","458,041,661.75","534,310,394.33","550,062,352.90"
短期借款,"590,487,210.00","587,000,000.00","433,540,241.00","171,000,000.00","34,685,000.00",,"30,000,000.00",,"20,000,000.00","50,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","165,840,000.00"
交易性金融资产,,,,,"62,854.80",,,,,,,,,"260,000,000.00"
交易性金融负债,,,,,,,,,"379,196.29","379,196.29",,,,
应收票据,"84,372,860.98","111,544,073.65","197,562,064.40","99,938,374.87","73,885,470.63","66,366,304.26","190,407,261.66","160,746,373.37","162,903,109.01","81,262,954.45","113,238,984.97","76,237,334.21","165,153,791.94","161,661,601.28"
应付票据,"3,000,000.00","40,600,000.00","25,689,279.94","94,311,332.85","120,929,376.23","104,425,653.03","144,045,812.22","139,363,024.49","164,886,662.05","145,052,739.31","204,093,445.79",,"246,235,050.13",
应收账款,"336,582,346.29","414,671,823.35","349,633,050.04","471,064,635.03","420,624,532.65","441,709,147.36","453,402,157.93","437,485,719.53","372,071,597.05","425,509,097.22","434,245,825.38","443,074,700.96","402,465,708.72","587,329,429.63"
应付账款,"85,105,844.03","172,404,136.61","118,610,137.64","136,550,780.60","119,876,261.83","137,513,970.94","174,236,898.97","205,833,513.45","214,580,254.27","237,685,030.24","183,935,072.91",,"194,910,436.51",
预付款项,"39,227,611.84","16,676,606.91","19,432,827.50","20,693,272.55","37,321,198.78","51,341,208.79","48,363,234.19","100,758,680.71","14,279,311.21","57,060,628.18","45,244,862.44","42,603,234.20","14,285,791.94","18,645,321.72"
预收款项,"60,340,899.56","72,735,046.24","74,199,809.53","35,114,137.72","42,006,938.88","85,201,549.65","102,489,113.35","72,848,793.53","81,496,787.92","138,327,431.56","93,900,393.79","145,754,197.81","108,932,704.29","171,457,690.33"
其他应收款,"8,799,752.98","9,788,194.70","7,157,169.47","8,271,681.16","6,318,561.12","5,661,740.80","9,520,315.34","3,400,574.15","7,761,249.40","11,006,836.04","10,301,061.77","13,023,515.13","13,447,895.59","15,123,246.74"
应付职工薪酬,"6,094,053.85","4,001,097.00","13,278,895.31","14,451,699.95","12,891,013.02","48,756.81","1,442,273.47",,"10,002,181.42","9,588,531.61","13,308,724.91","13,161,500.23","15,186,944.36","18,031,268.33"
应收关联公司款,,,,,,,,,,,,,,
应交税费,"8,868,840.85","5,180,649.11","6,903,798.43","13,462,911.54","5,844,651.61","668,757.96","8,957,671.75","3,541,299.38","5,079,498.92","3,783,849.11","11,057,340.54","3,529,900.44","15,249,989.30","29,857,751.65"
应收利息,,,,,,,,,"2,788,767.12","2,630,912.38",,,"1,345,467.39",
应付利息,"1,053,573.02","1,037,066.67","578,558.47","203,841.67","16,768.74",,"36,250.00",,"26,583.33",,"96,666.67","96,666.67","106,333.33",
应收股利,,,,,,,,,,,,,,
应付股利,,"2,834,920.27",,,,,,,,,,,,
存货,"571,206,918.49","692,719,641.40","515,115,574.60","468,658,920.42","493,018,850.02","581,593,814.27","640,374,412.46","678,780,636.70","742,173,633.51","812,687,977.86","828,608,851.81","887,171,396.08","902,688,556.97","844,929,961.88"
