科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"82,146,225.16","91,174,127.44","131,455,128.97","30,565,561.17","74,896,831.73","112,841,068.09","150,206,180.57","26,751,154.62","64,163,923.25","96,392,643.84","143,346,256.11","30,331,185.45","71,229,429.34","104,696,067.50","208,821,711.41","55,000,328.97","153,859,121.83","261,442,894.90","376,170,290.32","64,825,805.30","172,853,990.77","270,926,986.40","368,480,223.05","85,351,636.15","191,792,115.44","312,784,588.39","413,835,292.76","110,703,846.18","231,636,676.80","363,564,204.38"
二、营业利润,"19,755,580.85","29,055,719.47","37,742,305.13","7,763,367.68","21,209,628.55","29,821,746.17","37,332,072.51","2,498,009.64","8,031,017.40","15,738,875.62","23,809,773.87","6,701,876.45","10,996,196.35","10,998,529.22","29,832,222.90","10,366,083.61","35,859,578.01","56,213,245.59","76,244,336.08","8,227,152.32","27,993,064.48","44,754,619.30","44,811,617.95","17,032,366.55","31,395,904.66","46,023,775.52","52,959,728.83","18,719,636.12","40,722,671.22","67,389,502.01"
减:营业成本,"39,533,045.14","39,584,771.98","61,890,841.07","15,711,077.42","37,717,548.48","55,886,546.71","75,194,545.85","13,200,100.21","31,607,212.90","46,658,524.61","67,898,717.68","14,947,686.50","34,183,981.09","50,816,023.72","109,893,903.35","30,942,139.40","88,623,752.89","153,368,190.30","218,491,265.31","40,981,550.03","105,210,318.29","160,963,887.30","215,939,459.55","48,240,025.05","107,218,006.77","176,408,783.63","233,040,527.52","66,814,384.85","140,454,376.41","219,296,256.22"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"22,200.00","22,200.00","61,013.46","133,103.99","346,154.94","499,081.20","664,743.77","100,734.13","275,115.51","403,851.64","642,918.54","101,066.59","207,715.90","207,987.90","873,214.36","185,183.25","738,095.90","1,283,780.01","2,150,445.36","1,227,687.10","4,431,778.22","7,404,651.00","11,050,069.23","2,625,688.46","5,560,811.81","9,185,437.99","13,041,039.70",,"5,815,006.55","8,342,077.76"
营业外收入,"193,000.57","70,205.00","2,936,385.21",,"22,525.00","1,292,675.00","7,039,840.12","6,011,218.75","12,198,632.76","15,569,764.03","20,283,263.07","1,661,936.59","9,318,361.32","14,939,457.62","20,907,387.73","153,981.06","427,086.74","1,146,687.96","3,109,255.93","135,000.00","332,202.64","433,207.92","4,692,375.54","850,604.71","2,167,849.09","3,181,171.92","7,194,580.72","2,368,209.56","84,018.15","751,967.66"
销售费用,"5,124,241.67","4,778,659.21","6,194,986.61","1,463,976.40","3,152,946.83","4,855,109.63","6,687,830.98","1,316,084.65","3,400,221.45","5,049,935.14","6,731,441.42","1,390,838.98","3,449,762.68","5,379,785.79","11,423,332.23","4,059,895.05","8,847,625.69","15,522,207.52","25,758,852.24","4,777,355.08","11,034,129.21","17,394,516.64","27,189,126.35","6,034,518.49","14,101,083.09","20,769,568.60","29,498,066.67","7,290,078.68","14,304,222.95","22,111,324.36"
减:营业外支出,"32,672.69","23,552.71","24,533.89",,,"11,135.76","16,688.76",174.45,"12,537.25","18,921.37","87,145.23","9,627.35","162,591.39","162,591.39","162,591.39","56,344.00","111,848.57","89,583.44","66,602.44",,"507,076.01","1,007,564.88","1,008,669.84","6,275.31",310.00,310.00,"515,919.80","16,245.42","17,850.12","243,330.21"
管理费用,"16,770,792.66","16,685,519.75","24,281,540.01","5,400,410.99","12,009,214.25","21,261,143.00","30,212,163.69","11,045,319.55","23,458,065.00","34,955,862.02","51,145,004.46","8,830,767.09","26,556,092.86","42,672,867.36","61,907,769.49","11,677,826.91","24,013,370.72","37,490,273.83","53,482,122.52","11,749,298.69","24,052,310.00","38,111,573.08","59,936,440.61","13,611,166.76","32,320,837.19","48,678,904.30","73,079,572.60","15,924,067.55","32,748,306.54","51,232,340.69"
其中:非流动资产处置净损失,"10,643.91","18,179.43","24,433.89",,,"8,767.93","16,688.76",174.45,"12,537.25","18,921.37","70,760.39","1,200.00","22,591.39","22,591.39","22,591.39",344.00,"55,848.57","25,776.57",,,,488.87,488.87,"6,275.31",,,"135,609.80","16,245.42","17,850.12","23,270.06"
