科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"2,453,992,461.99","2,855,104,900.74","3,149,875,201.33","1,381,662,638.82","2,034,755,516.96","2,738,011,404.04","721,237,866.02","1,482,147,122.20","2,067,532,324.72","2,797,607,221.71","926,832,061.24","1,734,946,630.94","2,480,420,073.15","3,219,279,125.21","709,234,239.03","1,312,386,979.54","2,081,225,235.48","2,983,760,658.38","731,611,987.72"
二、营业利润,"101,675,054.24","134,262,636.09","159,896,899.36","78,365,551.83","102,551,339.12","130,997,771.46","22,761,109.66","40,261,328.65","49,425,289.55","77,416,027.82","10,537,566.12","20,379,152.37","21,375,581.60","48,291,544.60","3,263,922.78","12,291,332.25","18,649,305.72","62,113,301.41","10,729,689.25"
减:营业成本,"1,812,248,261.67","2,098,799,904.62","2,323,603,505.31","999,960,059.06","1,469,842,057.87","1,974,939,546.71","536,955,206.04","1,099,958,462.23","1,512,755,681.57","2,046,085,924.06","735,060,333.10","1,365,208,033.87","1,956,313,439.04","2,537,390,051.42","550,366,617.55","994,571,659.28","1,605,796,723.67","2,305,787,848.77","550,332,274.85"
加:补贴收入,,,,,,,,,,,,,,,,,,,
营业税金及附加,"18,658,379.95","19,003,597.72","24,702,071.04","5,783,856.30","9,782,625.20","13,653,910.12","3,059,550.75","5,178,139.88","7,934,359.99","10,562,821.66","3,584,429.70","5,959,907.80","7,512,140.07","12,308,775.16","1,160,496.81","6,000,114.67","9,613,843.19","14,347,717.34","4,137,078.66"
营业外收入,"7,892,209.22","6,152,632.93","26,290,704.12","3,914,524.58","9,102,384.75","23,955,365.92","861,470.17","3,598,277.07","6,812,220.56","10,215,379.06","1,647,093.23","7,560,944.11","14,780,035.06","18,297,794.64","2,894,235.62","2,639,239.45","3,961,050.41","4,494,079.26","722,736.92"
销售费用,"419,525,245.39","500,243,061.50","554,351,326.01","266,964,589.47","403,655,334.70","547,182,336.61","140,193,842.31","292,705,312.98","435,885,504.41","564,074,872.89","153,050,229.35","300,824,234.08","433,060,479.16","561,449,421.02","132,098,304.71","261,565,357.15","391,230,066.07","526,287,009.90","137,183,270.33"
减:营业外支出,"373,770.49","306,187.07","111,806.99","7,973.05","8,230.11","36,795.11","48,064.17","48,246.12","71,253.34","632,226.17","253,789.03","527,109.73","2,947,017.22","2,447,319.91","2,366.44","142,308.99","306,350.36","148,884.31","51,759.81"
管理费用,"109,191,855.68","106,224,691.89","104,098,804.10","41,973,792.75","66,596,795.87","94,840,431.42","23,605,083.54","55,627,802.02","80,011,678.96","123,507,742.79","32,152,120.89","58,291,286.08","84,931,284.35","118,376,376.07","29,230,867.92","55,306,548.04","82,608,927.46","113,688,385.54","40,852,136.71"
其中:非流动资产处置净损失,"181,007.37",,,"7,773.05","7,773.05","7,773.05",,,,"211,377.65",,"126,577.18","1,645,497.33","1,880,060.13",,"86,572.77","215,392.95",,
