科目,2007年度,2008年度,2009年度,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"3,858,358,149.82","4,814,416,363.34","5,251,400,334.83","4,311,219,215.13","5,739,786,795.76","1,749,518,314.34","2,990,693,202.24","4,402,086,840.00","5,928,458,149.89","1,726,861,159.72","2,987,298,792.11","4,477,904,286.80","5,744,513,848.54","1,547,969,728.78","2,666,191,148.89","3,982,401,589.22","5,310,644,257.46","1,422,531,296.59","2,491,266,560.26","3,715,508,281.15","4,874,450,637.73","1,439,632,197.26","2,462,560,974.44","3,685,826,419.30","4,764,654,462.01","1,382,677,908.85","2,354,761,514.68","3,491,738,926.91","4,692,831,749.07","1,181,660,310.30","2,074,340,100.16","3,126,850,782.53","4,301,020,445.85","1,291,709,619.47","2,311,051,293.22","3,469,980,730.64","4,871,364,292.53","1,299,068,440.49"
取得子公司及其他营业单位支付的现金净额,"21,454,673.26",,,,,,,,,,,,,,,,,,,,,,,,,,"3,251,767.71","3,251,767.71",,"10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00",,,,,
收到的税费返还,,,"657,691.73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,251,767.71",,,,,,,,,
收到其他与经营活动有关的现金,"68,936,981.46","44,099,988.32","71,975,902.54","28,724,306.88","49,973,357.22","12,335,350.34","27,498,526.42","32,212,668.78","78,392,472.47","16,807,740.62","36,611,226.73","32,464,438.26","72,272,995.20","15,480,576.22","45,513,273.57","66,684,004.97","116,783,689.37","22,186,882.15","44,208,081.07","64,739,311.96","73,607,252.91","18,510,515.65","53,824,595.88","59,893,358.72","74,008,568.37","26,834,223.51","46,569,400.12","85,479,294.89","102,598,167.67","24,690,282.16","64,843,475.48","96,641,023.55","123,728,452.63","17,644,382.20","40,204,379.91","59,254,808.85","97,248,868.63","20,932,845.96"
投资活动现金流出小计,"213,268,240.80","131,065,122.35","87,458,914.24","91,813,211.97","100,425,932.32","2,773,014.09","26,998,899.16","45,580,745.07","116,084,099.16","12,192,456.42","40,055,504.59","56,057,509.26","94,568,840.45","7,358,809.56","20,039,253.27","39,379,384.04","96,201,209.87","59,845,192.65","86,643,879.33","142,941,821.88","330,524,215.61","222,195,979.16","253,940,780.26","288,081,259.71","506,684,665.12","39,398,396.48","112,612,938.45","125,521,347.73","130,759,024.98","28,980,080.43","39,845,000.51","66,830,829.46","97,900,118.35","21,779,233.70","54,107,608.34","68,986,782.60","100,592,400.12","27,477,545.42"
经营活动现金流入小计,"3,927,295,131.28","4,858,516,351.66","5,324,033,929.10","4,339,943,522.01","5,789,760,152.98","1,761,853,664.68","3,018,191,728.66","4,434,299,508.78","6,006,850,622.36","1,743,668,900.34","3,023,910,018.84","4,510,368,725.06","5,816,786,843.74","1,563,450,305.00","2,711,704,422.46","4,049,085,594.19","5,427,427,946.83","1,444,718,178.74","2,535,474,641.33","3,780,247,593.11","4,948,057,890.64","1,458,142,712.91","2,516,385,570.32","3,745,719,778.02","4,838,663,030.38","1,409,512,132.36","2,401,330,914.80","3,577,218,221.80","4,795,429,916.74","1,206,350,592.46","2,139,183,575.64","3,223,491,806.08","4,424,748,898.48","1,309,354,001.67","2,351,255,673.13","3,529,235,539.49","4,968,613,161.16","1,320,001,286.45"
投资活动产生的现金流量净额,"-210,496,724.58","-115,462,910.62","-84,224,478.36","-90,579,602.71","-98,094,110.93","-198,882.39","-23,771,410.75","-38,195,157.33","-100,756,015.12","2,748,229.71","-20,191,825.76","-31,740,749.67","-65,759,173.17","7,597,547.64","10,261,890.92","-3,037,672.05","-54,568,115.17","-47,894,326.23","-62,492,575.67","-112,885,251.88","-290,181,273.01","-217,070,668.21","-240,037,290.83","-262,775,006.17","-267,932,927.37","167,621,379.07","128,028,637.35","134,296,115.94","130,414,986.25","-26,764,139.56","-25,190,541.06","-44,835,144.29","-68,634,078.97","-20,462,634.34","-47,115,021.01","-50,632,944.41","-72,500,699.34","2,783,363.35"
购买商品、接受劳务支付的现金,"3,149,648,741.24","3,956,734,183.16","4,360,656,070.12","3,401,589,538.69","4,715,356,286.59","1,240,882,438.46","2,291,132,487.19","3,381,812,644.14","4,688,920,685.74","1,274,765,596.33","2,300,724,043.94","3,417,797,736.99","4,562,319,783.06","1,074,117,679.62","2,081,333,810.30","3,055,379,814.54","4,326,621,114.41","1,093,921,980.98","2,061,672,244.80","3,003,019,317.42","4,035,684,123.35","1,037,445,370.19","1,974,801,479.88","2,929,023,703.23","3,956,288,509.11","1,047,172,135.73","1,824,356,950.41","2,675,041,175.83","3,781,966,206.81","819,108,644.67","1,575,861,137.43","2,322,930,722.46","3,306,539,643.43","915,979,771.12","1,715,343,192.54","2,542,697,485.29","3,697,854,573.49","899,705,463.68"
吸收投资收到的现金,,,"49,243,415.00",,,"669,600,000.00","669,600,000.00","669,600,000.00","669,600,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,"1,451,150,259.09","1,451,150,259.09",
