科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"664,604,008.92","799,944,086.31","703,683,621.50","574,393,704.14","575,052,270.49","1,110,439,603.36","1,860,631,861.98","852,817,797.13","695,321,955.80","1,089,001,196.66","974,530,135.80"
短期借款,"102,000,000.00",,"120,000,000.00","380,000,000.00","380,000,000.00","340,000,000.00","40,000,000.00","40,000,000.00","40,000,000.00",,
交易性金融资产,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,
应收票据,"1,141,143.88","200,000.00","100,000.00","1,808,558.18","1,106,222.03","813,826.84","580,000.00","200,000.00","450,000.00",,
应付票据,"36,000,000.00",,,"45,000,000.00","50,000,000.00","10,000,000.00","10,000,000.00",,,,
应收账款,"230,405,638.08","277,518,771.44","373,133,795.98","225,918,118.17","333,704,412.24","375,781,860.46","272,014,469.91","275,224,881.72","421,653,904.47","486,811,220.55","409,033,479.97"
应付账款,"704,184,237.44","846,274,497.52","1,079,565,392.93","793,132,235.47","1,230,507,738.66","1,211,805,738.17","971,972,066.65","1,014,558,552.82","1,360,139,895.44","1,435,714,527.99","1,014,995,818.60"
预付款项,"154,595,366.97","178,088,252.57","244,118,803.54","238,594,523.69","380,484,279.94","272,891,816.68","322,435,744.01","379,087,667.99","435,021,717.40","275,097,688.19","344,722,354.62"
预收款项,"224,977,158.13","200,379,609.49","136,386,079.94","217,904,198.05","162,496,443.48","186,575,888.81","204,834,537.28","244,660,187.37","180,474,916.70","205,214,054.63","177,042,886.34"
其他应收款,"75,936,672.74","76,071,535.42","93,254,349.47","109,444,733.28","115,162,658.17","101,266,964.18","108,210,345.43","105,268,436.94","108,164,888.07","96,818,622.12","119,637,681.04"
应付职工薪酬,"132,222,246.80","191,024,815.97","213,010,908.42","97,385,666.10","144,031,986.22","208,524,743.35","109,906,112.19","132,538,764.75","161,535,966.03","231,946,610.61","114,327,430.36"
应收关联公司款,,,,,,,,,,,
应交税费,"142,012,657.67","157,122,667.59","148,561,361.55","26,598,680.75","108,778,579.17","154,835,127.52","103,879,929.10","45,631,867.76","150,850,540.69","228,014,877.59","155,552,558.59"
应收利息,,,,,,,,"80,657.54","632,657.55","2,618,348.65","7,644,246.80"
应付利息,"191,644.44","500,347.22","495,798.61","847,480.56","847,480.56","721,851.63","370,548.89","370,548.89","370,548.89","329,416.10","800,879.94"
应收股利,,,,,,,,,,,
应付股利,,,,,,,,,,,
存货,"867,739,365.60","1,062,802,628.38","1,508,747,522.38","1,500,963,988.93","1,859,729,652.89","1,621,094,501.17","1,414,068,846.69","1,537,333,304.05","1,961,464,902.68","1,828,194,006.40","1,573,227,105.01"
其他应付款,"43,670,630.68","45,341,388.98","51,447,715.47","58,310,644.87","58,344,603.92","59,338,663.46","67,756,598.78","71,864,080.26","147,945,157.43","135,699,384.18","151,599,547.77"
其中:消耗性生物资产,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,
一年内到期的非流动资产,"13,377,460.34","24,311,770.54","10,691,511.50","4,718,659.16","4,359,281.31","20,465,999.57","20,758,406.21","31,170,326.34","27,567,369.36",,
一年内到期的非流动负债,,,,,,,,,,,
其他流动资产,"8,481,816.39","46,428,739.11","65,987,187.87","49,004,964.65","13,723,608.33","19,677,881.67","10,279,757.29","591,809,633.13","742,678,095.04","935,363,154.73","912,329,054.66"
其他流动负债,"159,578,642.42","233,384,573.02","232,328,092.49","137,928,348.47","159,600,470.93","208,599,522.43","188,827,367.55","127,133,092.96","186,975,620.09","244,584,725.83","251,695,021.81"
流动资产合计,"2,016,281,472.92","2,465,365,783.77","2,999,716,792.24","2,704,847,250.20","3,283,322,385.40","3,522,432,453.93","4,008,979,431.52","3,772,992,704.84","4,424,785,504.98","4,752,062,800.79","4,341,124,057.90"
流动负债合计,"1,544,837,217.58","1,674,027,899.79","1,981,795,349.41","1,757,107,254.27","2,294,607,302.94","2,380,401,535.37","1,697,547,160.44","1,676,757,094.81","2,228,292,645.27","2,481,503,596.93","1,866,014,143.41"
可供出售金融资产,,,,,,,,,,,
长期借款,"150,000,000.00","250,000,000.00","275,000,000.00","275,000,000.00","275,000,000.00","272,240,000.00","302,240,000.00","287,960,000.00","308,880,000.00","300,640,000.00","350,640,000.00"
持有至到期投资,,,,,,,,,,,
应付债券,,,,,,,,,,,
长期应收款,,,,,,,,,,,
长期应付款,,,,,,,,,,,
长期股权投资,,,"32,989,487.47","32,053,893.51","31,003,015.42","31,067,403.07","31,067,403.07","29,995,860.30","29,454,993.64","29,389,388.94","29,389,388.94"
专项应付款,,,,,,,,,,,
投资性房地产,"11,911,925.85","14,644,701.73","11,920,642.26","11,524,412.52","11,326,297.64","11,145,035.28","10,940,133.06","10,777,067.64",,,
预计负债,,,,,,,,,,,
固定资产,"91,913,532.67","464,120,114.03","479,703,608.63","460,357,029.31","451,250,588.83","446,048,916.59","434,082,479.79","424,947,127.72","406,524,101.76","399,400,568.43","386,454,170.50"
递延所得税负债,"6,045,207.10","2,969,425.38","98,132.34","3,245,423.90","1,903,049.55","1,670,150.50","1,651,159.21","1,651,159.21","1,651,159.21","1,234,121.77","1,201,669.98"
在建工程,"200,369,581.62","16,594,775.98","22,007,566.75","29,662,586.01","34,722,864.96","52,663,913.40","83,688,007.88","109,913,845.68","128,556,007.85","161,800,853.29","214,203,578.62"
其他非流动负债,,,,,,,"87,294,909.09",,,,
工程物资,,,,,,,,,,,
非流动负债合计,"231,696,803.05","328,786,277.16","349,455,458.06","367,970,528.99","365,576,638.14","361,608,819.50","391,186,068.30","375,530,235.83","395,927,709.80","392,040,993.17","441,332,398.41"
固定资产清理,,,,,,,,,,,
负债合计,"1,776,534,020.63","2,002,814,176.95","2,331,250,807.47","2,125,077,783.26","2,660,183,941.08","2,742,010,354.87","2,088,733,228.74","2,052,287,330.64","2,624,220,355.07","2,873,544,590.10","2,307,346,541.82"
生产性生物资产,,,,,,,,,,,
实收资本(或股本),"420,000,000.00","420,000,000.00","420,000,000.00","420,000,000.00","420,000,000.00","420,000,000.00","475,000,000.00","475,000,000.00","480,932,400.00","480,932,400.00","480,932,400.00"
油气资产,,,,,,,,,,,
