科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"228,960,849.04","364,984,179.17","521,541,858.20","236,454,236.55","377,164,589.55","612,498,175.97","128,427,050.97","282,420,822.21","427,732,329.29","713,980,952.28","151,892,600.23","306,166,375.10","554,175,354.81","838,960,353.87","108,568,732.27","283,492,366.41","480,012,066.84","738,315,556.73","182,779,598.74","365,313,794.06","590,959,020.06","908,716,024.94","161,959,723.45","333,743,946.37","599,558,167.11","1,277,390,955.99","276,839,177.68","809,813,128.50","1,236,511,949.06","1,679,913,191.90","290,927,472.65"
取得子公司及其他营业单位支付的现金净额,,,"21,062,026.02",,,,,,,,,,,,,,,,,,,,,,,"74,017,373.76",,,,"111,546,566.80",
收到的税费返还,"1,213,333.31","1,187,083.33","4,895,117.35","2,400,976.39","2,675,143.37","3,856,295.39","2,051,075.73","3,067,805.05","5,588,414.10","5,976,092.48","780,947.22","2,720,360.52","3,645,205.76","4,852,707.14","357,781.21","1,066,474.48","3,090,095.48","3,090,095.48","1,174,500.63","2,268,251.88","2,536,585.52","3,817,921.03","530,833.94","1,608,318.50","3,602,925.69","6,276,968.50","693,840.00","3,497,520.00","5,272,103.08","8,584,671.45","1,813.42"
支付其他与投资活动有关的现金,,"446,686.44",,"2,261,546.98","2,261,546.98","112,261,546.98",,,,,"58,000,000.00","2,302,335.53","32,570,220.68",,,,,,,,,,,,,"22,583.00",,,,,
收到其他与经营活动有关的现金,"55,791,547.90","71,493,927.43","55,327,918.97","18,365,266.82","15,627,735.74","24,885,087.52","21,066,815.61","45,680,219.73","75,752,311.76","31,348,681.81","15,643,800.54","38,420,072.28","62,752,393.75","29,920,555.33","155,808.42","9,218,407.51","23,591,367.34","6,350,092.20","8,986,971.27","2,778,568.99","19,922,112.41","3,811,221.06","8,347,552.67","17,360,547.29","51,375,475.98","28,423,266.04","19,384,633.42","100,855,270.74","132,681,970.98","57,257,647.44","15,799,072.30"
投资活动现金流出小计,"44,254,146.41","40,252,004.78","43,620,342.62","16,007,316.54","169,963,301.28","148,983,880.74","3,612,510.83","17,844,447.65","50,193,908.20","69,168,608.14","82,019,130.87","103,831,307.78","153,711,645.21","152,840,929.53","14,895,851.83","24,763,386.24","35,097,701.10","51,086,987.41","19,525,538.06","42,955,882.56","53,159,257.94","73,268,146.72","22,602,329.10","26,777,702.14","34,135,930.55","147,837,915.62","57,379,915.98","87,995,192.87","108,041,513.42","245,673,943.12","21,330,589.76"
经营活动现金流入小计,"285,965,730.25","437,665,189.93","581,764,894.52","257,220,479.76","395,467,468.66","641,239,558.88","151,544,942.31","331,168,846.99","509,073,055.15","751,305,726.57","168,317,347.99","347,306,807.90","620,572,954.32","873,733,616.34","109,082,321.90","293,777,248.40","506,693,529.66","747,755,744.41","192,941,070.64","370,360,614.93","613,417,717.99","916,345,167.03","170,838,110.06","352,712,812.16","654,536,568.78","1,312,091,190.53","296,917,651.10","914,165,919.24","1,374,466,023.12","1,745,755,510.79","306,728,358.37"
投资活动产生的现金流量净额,"-34,234,146.41","-40,252,004.78","-39,874,151.08","-16,007,316.54","-169,963,301.28","-148,983,880.74","6,387,489.17","110,908,390.98","83,960,130.29","60,272,148.72","-77,514,405.62","-103,831,307.78","-152,240,143.73","-141,728,929.53","-14,895,851.83","-24,763,386.24","-35,097,701.10","-51,086,987.41","-19,525,538.06","-42,928,882.56","-53,132,257.94","-73,241,146.72","-22,602,329.10","-26,759,702.14","-34,117,930.55","-133,777,204.33","-57,375,915.98","-87,991,192.87","-105,898,100.34","-150,122,934.45","-19,830,589.76"
购买商品、接受劳务支付的现金,"208,294,902.46","335,067,867.40","382,291,869.67","198,698,088.34","373,385,764.23","552,529,335.08","140,025,728.65","285,188,718.18","375,647,440.16","639,756,617.30","143,238,867.60","239,160,120.40","406,768,036.77","548,057,555.06","120,934,998.55","265,704,446.65","417,719,828.51","566,874,368.18","141,715,610.69","315,972,159.11","502,351,443.38","613,500,876.57","152,217,829.57","308,606,990.88","530,133,760.56","1,048,545,490.96","250,964,395.07","619,327,955.69","946,448,867.24","1,243,060,950.36","264,249,723.68"
吸收投资收到的现金,"14,700,000.00",,,,"480,200,000.00","480,200,000.00",,,,,,,,,,,,,,,,,,,,"23,170.67","2,098,835.56","2,098,835.56","2,098,835.56","3,020,153.44","3,089,762.45"
支付给职工以及为职工支付的现金,"15,964,353.55","19,516,080.72","23,753,344.75","15,176,361.69","20,439,015.40","30,552,279.32","15,424,060.03","25,744,522.76","34,940,913.46","42,413,389.32","14,030,049.03","25,045,877.20","35,350,796.03","51,294,874.69","17,813,998.68","30,399,058.77","43,770,830.72","64,875,669.40","18,938,529.62","35,163,764.74","49,312,908.21","81,127,802.26","23,714,453.00","41,347,926.36","57,494,984.93","98,112,365.87","31,559,105.24","51,395,600.45","73,288,269.97","98,155,249.18","40,275,938.38"
取得借款收到的现金,"113,250,000.00","180,019,503.93","215,680,000.00","128,543,950.74","252,263,543.21","244,841,712.58","33,500,000.00","152,800,000.00","224,387,510.06","292,503,842.68","95,948,032.29","235,948,032.29","310,948,032.29","310,948,032.29","50,000,000.00","195,000,000.00","310,000,000.00","310,000,000.00","55,000,000.00","220,000,000.00","304,000,000.00","324,000,000.00","124,600,000.00","294,600,000.00","434,600,000.00","826,600,000.00","126,600,000.00","415,600,000.00","545,621,100.00","850,200,000.00","245,000,000.00"
