科目,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"22,660,364.87","131,852,057.75","200,636,801.53","342,647,685.99","1,980,512,667.62","1,409,670,247.11","1,134,197,692.54","1,335,340,590.98","1,165,134,153.87","991,054,027.67","965,196,000.46","1,199,274,863.40","1,318,826,627.67","880,742,782.81","905,240,735.81","839,185,644.79","834,392,485.37","744,241,182.38","784,637,810.24","812,607,440.66","760,119,485.45","794,980,380.41","796,497,999.46","1,293,645,350.97","1,330,050,296.68","1,401,054,182.49","1,677,795,360.73","1,600,111,024.35","1,457,879,066.83","1,491,149,913.36","4,882,251,681.65","4,681,873,399.79","4,595,995,845.88"
短期借款,"45,400,000.00","155,400,000.00","187,890,434.00","227,600,000.00","522,600,000.00","355,000,000.00","680,000,000.00","766,394,000.00","758,901,680.00","948,093,400.00","944,743,259.70","1,009,455,079.70","1,058,059,973.30","861,091,300.80","1,453,864,977.87","1,668,374,488.29","1,717,852,652.80","1,383,749,637.60","1,586,051,194.40","1,423,352,269.20","1,325,624,605.15","1,168,980,159.58","1,161,880,856.88","1,356,705,805.90","1,237,220,583.06","1,257,682,608.09","1,700,180,938.64","1,666,308,904.53","1,726,212,122.67","1,084,635,959.06","1,183,204,394.63","1,248,564,800.00","1,430,919,961.20"
交易性金融资产,,,,"3,364,084.50",,"41,567,097.80","6,949,438.70","9,195,907.78","61,694,336.35","68,582,023.62","29,251,526.37","33,897,013.56","3,201,536.77","1,721,346.03","4,361,847.92","8,877,725.31",,,,,"2,939,421.91",,,,,,,,,"17,156,495.15","16,440,541.15","17,335,163.08","1,197,341.00"
交易性金融负债,,,,,"22,672,545.00",,,,,,,"370,825.84",,,,,"1,316,626.07","9,745,103.67","8,798,990.47","1,588,829.49",,,,,,"4,588,072.00","9,502,500.00","8,826,463.20","8,756,487.00",,,,
应收票据,,,,,,,,,,,,,,,,"20,165,654.43","11,528,013.08","82,899,451.76","63,315,000.00","81,343,290.00","78,440,911.50","179,950,815.40","105,894,397.59","156,691,970.88","253,159,591.37","314,880,014.38","230,253,193.61","217,868,359.72","198,563,745.57","297,599,360.64","292,274,556.36","553,366,607.17","324,091,354.98"
应付票据,"18,144,100.82","19,966,644.78","115,997,563.30","383,760,406.24","205,202,838.18","62,206,580.23","59,158,656.76","136,453,990.37","284,543,651.98","216,293,202.73","64,251,955.76","87,891,675.25","190,092,465.57","167,442,944.63","71,084,296.35","57,425,654.12","79,296,179.70","41,197,924.18","68,537,381.73","212,163,245.96","414,704,304.59","487,409,063.71","387,878,242.75","405,789,537.07","426,650,932.12","800,053,105.87","1,116,631,809.76","1,176,954,951.99","1,025,624,416.36","1,153,415,531.93","1,562,204,750.96","1,976,617,867.90","2,086,384,620.72"
应收账款,"11,873,574.99","97,312,123.10","230,291,969.48","194,627,557.31","302,336,059.33","299,183,055.72","550,463,497.90","807,242,758.70","937,282,925.54","822,305,773.05","874,857,130.36","778,427,613.09","548,556,400.14","588,799,877.03","649,815,021.81","899,545,260.19","680,143,235.82","788,723,001.14","982,453,732.60","957,764,670.42","1,406,236,847.67","1,791,212,014.41","1,732,310,180.34","1,709,972,869.91","1,874,087,650.72","2,363,937,757.10","2,547,942,644.65","2,525,948,567.80","2,416,928,367.08","2,558,019,521.61","2,728,289,488.55","3,420,397,536.30","2,847,363,854.36"
应付账款,"37,561,873.36","96,766,219.61","167,129,040.23","239,171,220.04","221,829,461.10","267,199,477.04","209,391,417.48","314,977,758.61","389,867,572.35","315,904,797.77","351,575,699.73","497,381,009.19","325,234,146.42","401,496,894.87","357,505,179.82","420,870,728.80","244,816,770.66","361,166,525.63","389,702,235.09","393,162,604.95","469,547,632.33","615,310,174.59","533,926,711.49","861,139,027.86","1,053,582,598.00","1,030,801,341.82","966,753,273.56","1,450,992,311.87","1,450,733,593.77","1,424,360,811.75","1,560,739,654.23","2,005,209,829.84","2,024,611,110.10"
预付款项,"58,242,490.84","72,490,490.23","120,366,542.22","271,848,116.94","680,060,770.71","584,238,842.49","801,318,420.95","753,604,433.23","670,619,989.69","603,770,807.97","750,085,137.15","784,686,675.61","603,278,185.08","506,768,841.19","539,178,886.55","362,625,489.62","389,047,435.02","376,181,722.37","401,407,548.18","369,635,830.93","398,239,810.48","308,925,805.02","471,117,428.23","452,259,785.86","423,279,030.93","482,398,224.74","634,496,087.22","591,039,225.53","417,062,399.14","367,960,376.86","700,251,694.65","491,182,388.25","722,230,571.66"
预收款项,"30,593,448.43","1,690,251.02","2,081,686.90","7,868,911.19","77,551,786.05","20,498,247.57","24,925,302.47","18,050,817.28","18,490,689.11","4,018,447.70","9,463,589.28","8,532,225.59","21,571,709.34","10,443,417.57","14,971,821.99","12,693,108.72","25,045,402.86","7,275,160.33","19,478,961.92","18,578,817.98","26,170,557.40","93,891,745.42","94,222,438.46","59,204,338.00","293,917,514.05","358,159,639.78","251,942,514.02","746,402,483.67","1,069,617,440.59","266,836,857.23","515,776,997.30","474,426,747.47","831,866,642.44"
