科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"211,952,977.98","184,948,659.99","185,216,237.21","80,587,117.28","132,227,389.82","190,829,794.12","30,417,452.32","69,647,569.54","104,787,365.68","150,491,089.31","49,582,288.24","104,086,780.19","174,023,043.91","236,027,827.49","61,789,958.33","128,129,498.28","210,157,943.93","263,100,653.23","71,858,240.55","168,648,485.47","247,766,329.81","336,990,649.56","55,414,821.05"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"614,775.93","111,695.88","1,332,430.95","1,356,798.45","1,429,304.47","2,189,301.26","530,364.49","650,034.48","650,034.48","915,889.31","364,664.44","364,664.44","860,862.99","714,366.70","2,213,544.69","2,213,544.69","2,213,544.69","2,213,544.69",,,"47,241.26","787,360.79","17,735.44"
支付其他与投资活动有关的现金,"4,299,471.00",,,,"14,696.72",,,"2,871,280.74","2,916,384.48",,"45,103.74","45,103.74","45,103.74","2,909,404.52","2,483,373.00","2,833,373.00","2,833,373.00","34,147.73","85,000.00","85,000.00","85,000.00",,"3,952.20"
收到其他与经营活动有关的现金,"7,184,428.47","9,346,167.24","12,046,561.99","3,302,009.16","2,941,898.04","12,176,429.21","2,405,616.04","4,630,294.09","10,580,739.14","6,765,640.39","1,432,793.93","5,501,661.53","8,358,960.94","10,645,628.93","4,029,221.94","5,795,172.32","10,126,436.13","9,251,756.74","743,099.32","10,543,030.40","17,205,182.76","10,836,033.80","5,614,516.01"
投资活动现金流出小计,"70,111,223.31","58,365,870.32","35,511,968.28","87,035,509.19","129,393,919.46","113,205,393.93","22,103,434.00","235,296,494.62","299,709,904.23","492,998,594.64","112,117,934.21","216,351,580.34","335,612,738.34","441,159,588.93","87,159,736.60","139,142,031.52","176,393,159.98","206,985,410.91","27,823,478.07","60,943,791.16","101,410,749.97","155,279,761.45","24,028,083.14"
经营活动现金流入小计,"219,752,182.38","194,406,523.11","198,595,230.15","85,245,924.89","136,598,592.33","205,195,524.59","33,353,432.85","74,927,898.11","116,018,139.30","158,172,619.01","51,379,746.61","109,953,106.16","183,242,867.84","247,387,823.12","68,032,724.96","136,138,215.29","222,497,924.75","274,565,954.66","72,601,339.87","179,191,515.87","265,018,753.83","348,614,044.15","61,047,072.50"
投资活动产生的现金流量净额,"-70,016,893.98","-56,214,173.28","-33,243,567.56","-5,706,742.08","-3,741,837.27","-9,382,134.86","-3,967,742.77","-34,569,505.84","-38,217,400.54","-96,429,320.28","-7,724,285.41","3,129,368.27","-7,701,046.35","-11,069,885.55","-9,135,692.87","-2,843,174.44","-3,344,348.12","-13,610,292.07","-1,851,686.57","-665,229.68","2,856,541.50","-24,512,825.31","13,847,330.29"
购买商品、接受劳务支付的现金,"78,096,307.83","52,831,168.41","57,810,490.57","22,388,516.25","55,107,800.54","82,242,382.24","22,896,053.86","41,921,524.85","67,745,666.75","79,009,030.00","18,385,483.15","35,974,657.15","48,044,437.63","72,529,817.14","26,639,594.18","54,299,845.26","83,307,808.53","101,390,029.26","30,545,360.03","68,310,845.00","107,030,250.96","119,631,970.47","47,013,646.80"
吸收投资收到的现金,,,,,,"136,636,962.28",,"3,560,000.00","4,300,000.00","4,520,000.00",,,,,,,,,,,,"4,820,000.00",
