科目,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"38,646,023.42","52,896,555.73","35,060,972.71","42,624,618.45","252,023,445.45","176,064,244.35","168,468,612.22","171,526,204.66","201,864,850.70","108,674,039.92","59,383,378.99","69,693,942.81","203,471,248.60","110,212,742.01","136,195,246.79","204,121,810.00","125,174,524.83","103,863,806.67","64,756,943.52","112,232,074.06","181,583,454.00","39,563,001.22","100,202,021.73","53,462,321.74","159,365,854.85","100,971,095.29","189,461,936.61","167,877,552.33","256,642,342.73","166,334,322.30","811,058,942.72","597,726,293.38","605,686,903.73","476,379,339.68","340,372,000.18","444,096,126.78","468,369,545.57"
短期借款,"58,200,000.00","68,900,000.00","97,000,000.00","129,000,000.00","118,000,000.00","101,000,000.00","147,999,765.60","150,000,000.00","165,000,234.40","155,000,000.00","136,000,000.00","233,000,000.00","364,950,000.00","364,950,000.00","386,950,000.00","514,950,000.00","440,000,000.00","520,000,000.00","505,000,000.00","599,000,000.00","559,000,000.00","499,000,000.00","635,000,000.00","599,913,200.00","615,000,000.00","700,000,000.00","685,000,000.00","689,662,720.00","612,000,000.00","620,000,000.00","670,000,000.00","500,000,000.00","485,271,500.00","549,541,500.00","446,837,949.60","619,535,733.18","623,168,300.00"
交易性金融资产,"563,709.18","418,182.56","469,165.36","442,751.00","484,368.36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"500,000.00",,,,,,,,,,,,,"150,000.00",,,,"1,200,000.00",,,"4,000,000.00","50,000.00","2,000,000.00","600,000.00","100,000.00","2,000,000.00","2,015,800.00","200,000.00","2,000,000.00",,,"50,000.00","2,223,921.00",,,,
应付票据,,,"11,013,050.00","8,850,000.00","6,200,000.00","10,795,500.00","21,261,600.00","13,560,000.00","19,695,000.00","48,435,000.00","55,284,000.00","9,239,000.00","43,326,703.98","39,757,000.00","57,771,500.00","52,120,836.00","61,457,210.00","64,870,692.08","30,358,987.70","30,285,109.08","49,375,625.20","53,232,064.24","26,346,992.18","51,545,314.00","82,469,520.69","109,943,433.69","86,056,771.00","80,725,779.00","101,682,662.00","96,914,891.00","78,384,733.00","49,918,743.00","29,472,540.00","58,430,380.00","45,422,000.00",,"9,727,451.30"
应收账款,"18,005,850.80","43,461,512.66","58,028,024.14","67,167,989.71","61,600,607.72","86,478,697.70","115,408,412.07","130,310,842.93","127,151,351.61","164,860,865.33","155,574,827.10","173,919,966.50","197,498,693.09","210,448,185.90","207,589,906.26","287,997,217.51","270,331,656.84","297,931,895.12","324,237,121.23","305,319,439.38","319,225,560.96","298,022,097.86","405,124,542.80","374,464,220.84","355,458,666.19","332,248,772.32","404,597,076.86","414,328,840.98","418,402,450.30","437,825,758.73","581,251,004.61","498,927,310.31","521,522,803.08","544,892,007.78","580,547,389.87","611,424,296.26","653,608,054.05"
应付账款,"12,718,822.15","17,106,619.92","15,327,389.58","15,521,255.65","20,920,573.79","23,827,490.36","31,039,332.78","37,991,815.88","46,334,143.61","55,196,455.17","54,486,794.12","57,404,200.24","81,986,408.82","64,907,806.72","60,836,414.77","53,299,892.03","117,644,388.03","52,045,122.53","115,386,740.23","114,350,094.67","140,927,504.91","80,168,491.28","91,196,734.55","90,819,115.04","189,032,686.34","70,468,820.66","193,500,996.70","251,758,920.32","252,068,196.10","191,503,927.50","188,014,539.18","195,598,601.42","299,083,212.81","163,580,128.55","237,820,728.70","207,609,217.73","436,058,520.08"
预付款项,"33,348,870.70","45,915,451.23","60,650,730.67","62,676,766.08","56,195,687.64","77,641,178.57","94,806,957.12","80,570,248.17","76,712,544.59","139,362,927.10","122,885,167.40","94,317,465.22","112,884,535.24","135,729,952.61","131,484,050.13","129,461,737.46","81,726,594.90","139,829,581.14","133,048,050.48","144,844,428.26","95,463,828.10","141,230,840.32","130,161,033.13","159,135,920.75","80,418,177.51","136,960,276.16","114,940,643.89","128,180,075.20","76,596,546.11","112,411,881.25","114,237,558.80","142,819,908.71","62,130,748.36","73,386,591.45","71,361,032.13","102,986,506.78","93,286,303.89"
预收款项,"29,688,976.66","69,386,232.67","38,435,084.14","30,000,806.61","34,342,894.77","31,428,467.21","49,092,104.62","50,432,199.26","28,390,971.15","35,323,461.63","28,956,754.09","35,930,435.69","77,324,688.35","102,911,473.47","97,287,223.53","132,643,982.36","100,738,468.25","119,549,689.79","89,303,698.77","56,628,101.45","78,408,708.44","92,798,884.26","102,553,919.73","110,021,104.74","48,671,018.74","45,007,002.29","66,329,002.21","93,884,920.53","71,538,644.86","81,801,416.47","112,075,771.62","63,956,766.84","77,395,801.47","58,432,489.98","57,532,790.31","96,671,842.72","36,774,717.69"
