科目,2011年度,2012年度,2013年1-9月,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
堪探费用,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"13,040,990.57","24,363,842.03","25,326,112.44","36,726,199.41","26,107,640.98","37,095,958.40","50,929,649.46","8,695,695.51","15,874,297.32","23,787,739.52","33,873,326.48","-1,963,399.80","-8,240,971.16","-17,008,309.49","331,576.82","791,477.60","5,140,784.45","14,334,583.50","7,887,837.53","20,983,237.64","37,681,453.48","63,176,677.73","29,479,594.81"
三、利润总额,"109,893,493.34","137,673,930.88","137,337,711.76","184,046,941.06","105,433,439.33","160,334,896.84","215,243,987.72","53,941,396.71","129,489,179.47","204,288,447.15","268,062,729.35","81,118,780.63","187,502,278.12","405,609,777.28","104,459,516.84","243,244,669.08","367,922,121.78","504,427,527.97","139,253,296.56","316,736,588.51","485,203,739.25","664,539,408.66","202,343,084.91"
资产减值损失,"3,209,172.74","2,241,161.47","3,490,783.67","1,282,196.29","4,748,674.26","9,943,199.63","8,138,976.14","7,480,586.30","8,813,235.95","11,831,033.20","10,440,893.55","10,762,248.45","8,656,906.26","16,331,298.38","15,089,443.20","9,574,746.63","19,256,735.46","12,637,386.73","15,644,640.39","19,743,166.54","28,578,252.79","16,283,511.32","22,643,150.29"
减:所得税,"26,364,484.07","33,319,476.75","25,014,224.46","34,629,566.23","18,856,347.55","30,015,280.42","37,970,984.58","9,712,153.84","19,918,139.36","32,685,168.41","41,821,618.45","12,290,739.76","29,117,472.21","62,038,752.97","16,434,349.14","38,207,170.14","56,749,883.47","76,759,230.09","21,254,190.42","47,295,956.08","71,691,152.88","96,366,096.70","30,292,342.64"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,
投资收益,,,,,,,,,,,,,,,,,,"7,866,808.22","1,431,506.85","7,878,082.20","10,252,027.45","26,398,488.41","1,254,810.38"
四、净利润,"83,529,009.27","104,354,454.13","112,323,487.30","149,417,374.83","86,577,091.78","130,319,616.42","177,273,003.14","44,229,242.87","109,571,040.11","171,603,278.74","226,241,110.90","68,828,040.87","158,384,805.91","343,571,024.31","88,025,167.70","205,037,498.94","311,172,238.31","427,668,297.88","117,999,106.14","269,440,632.43","413,512,586.37","568,173,311.96","172,050,742.27"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,,,,
归属于母公司所有者的净利润,"83,529,009.27","104,354,454.13","112,323,487.30","149,417,374.83","86,577,091.78","126,312,172.57","169,797,276.63","41,287,960.29","100,590,732.64","158,004,754.37","208,378,346.74","63,895,317.65","147,371,173.21","321,011,524.71","83,722,910.08","191,808,018.94","289,614,094.16","401,379,997.43","113,253,195.13","255,580,746.21","390,809,295.68","528,185,273.93","160,451,649.10"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,,,,,,"4,007,443.85","7,475,726.51","2,941,282.58","8,980,307.47","13,598,524.37","17,862,764.16","4,932,723.22","11,013,632.70","22,559,499.60","4,302,257.62","13,229,480.00","21,558,144.15","26,288,300.45","4,745,911.01","13,859,886.22","22,703,290.69","39,988,038.03","11,599,093.17"
