科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"1,242,879,330.39","1,159,250,326.32","1,304,988,603.03","711,643,389.11","1,017,988,052.05","1,447,361,429.92","229,574,995.84","1,707,328,364.69","2,086,136,517.42","2,465,814,975.50","397,956,538.30","839,019,825.67","1,235,607,721.07","1,735,711,511.34","165,393,027.29","1,321,011,298.69","2,141,238,313.28","2,984,885,384.14","632,180,182.05","1,364,204,687.74"
二、营业利润,"120,472,548.16","75,228,307.45","51,850,571.79","45,824,616.95","58,631,503.79","69,162,073.59","-11,031,973.21","771,753,532.79","778,219,533.95","752,242,172.95","-12,090,805.92","19,315,329.41","22,736,696.12","1,478,428.32","-57,923,819.31","16,471,066.84","19,155,819.59","6,793,998.36","-48,215,461.26","-35,194,698.82"
减:营业成本,"907,514,909.65","835,962,190.75","966,246,437.99","538,509,272.84","768,958,274.41","1,076,763,453.20","175,208,160.79","757,899,121.64","1,062,754,374.26","1,347,314,068.38","344,017,914.80","682,960,152.06","1,004,121,049.54","1,421,280,947.98","150,934,459.36","1,150,655,962.96","1,909,326,423.20","2,620,178,175.51","578,977,377.90","1,209,023,267.05"
加:补贴收入,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"6,736,038.78","8,023,433.32","7,567,345.51","1,224,897.93","1,403,452.93","2,068,641.13","58,658.78","31,446,432.98","31,618,452.79","45,267,409.90","441,738.20","1,282,125.66","2,052,686.46","14,578,600.94","5,266,374.30","8,737,289.22","10,277,034.07","19,355,600.26","2,368,288.76","11,441,761.06"
营业外收入,"5,216,113.37","5,489,629.92","4,523,400.96","2,579,746.33","2,772,654.46","449,744,437.79","400,858.88","3,311,841.99","4,299,610.87","8,002,295.18","5,491,002.27","7,172,948.03","10,496,297.94","13,568,998.67","2,562,946.10","765,607.77","1,621,320.09","5,356,353.11","1,092,409.34","2,764,561.83"
销售费用,"33,371,459.72","36,468,051.46","44,435,483.23","22,564,484.77","29,785,795.86","50,809,621.99","13,470,661.03","26,125,156.23","36,813,614.42","53,484,075.12","10,478,341.00","25,171,291.89","40,375,669.15","55,851,100.66","11,630,054.56","33,001,395.70","47,424,691.96","61,067,825.02","12,056,774.39","27,904,946.15"
减:营业外支出,"186,842.90","495,095.32","215,767.80","82,500.00","297,377.60","396,945.82","16,446.39","133,222.37","167,667.25","2,385,636.65","672,760.98","957,956.35","999,452.36","757,260.10","200,000.00","202,000.00","230,800.00","2,279,618.72",80.20,"401,696.34"
管理费用,"155,170,144.76","161,832,444.69","184,668,531.66","68,102,415.56","110,023,025.33","175,906,385.39","33,668,075.61","56,638,512.19","84,338,444.76","153,554,874.45","35,076,834.18","70,557,097.87","98,582,549.36","123,917,799.14","30,991,056.98","61,518,252.91","95,545,184.46","119,257,939.47","36,675,459.79","77,977,356.03"
其中:非流动资产处置净损失,"40,743.97","451,821.07",,,"-354,934.72","97,918.22",,,,"2,000,506.85","192,539.32","475,734.69","475,734.65","232,611.20",,,,,,
