科目,2007年度,2008年度,2009年1-3月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"391,677,005.21","485,796,953.90","88,531,243.27","659,493,299.31","187,195,804.28","536,367,365.38","823,158,149.23","1,290,428,674.96","253,080,872.96","912,092,068.65","1,616,138,620.11","2,493,495,674.68","343,681,410.75","1,189,091,317.18","2,074,968,490.15","3,192,991,322.84","392,244,364.40","1,613,547,484.04","2,649,902,502.44","4,297,297,488.82","511,994,625.46","2,192,244,758.22","3,303,223,182.90","5,006,942,897.83","547,778,225.14","2,126,774,299.44","3,007,750,298.88","4,400,507,524.27","424,997,813.21","1,452,080,433.02","2,659,138,634.63","3,906,064,777.74","527,184,451.11","2,126,244,209.23","3,544,868,229.02","5,253,259,143.25"
二、营业利润,"49,046,015.84","63,134,013.00","8,049,067.13","87,312,467.24","20,289,854.44","80,701,049.02","117,138,313.45","187,595,337.38","28,426,165.09","142,064,025.21","220,154,662.62","339,854,466.62","9,333,813.41","135,263,017.98","217,290,651.48","384,956,424.35","3,642,627.56","174,862,205.16","261,252,879.78","474,978,330.94","8,579,652.84","190,757,484.84","300,218,070.24","522,541,028.72","-24,719,910.93","166,151,202.66","68,386,251.95","-194,434,730.04","-85,239,355.57","52,039,163.68","73,312,328.60","50,955,033.49","-60,541,656.23","105,974,278.03","219,128,985.58","383,615,112.92"
减:营业成本,"297,083,205.85","358,838,239.50","64,359,765.33","483,994,070.68","136,803,816.09","388,833,597.83","595,751,521.33","933,407,638.31","177,287,822.30","631,576,130.27","1,156,545,894.08","1,795,472,393.63","249,965,493.23","847,453,255.16","1,526,123,486.82","2,346,347,751.44","318,918,399.93","1,244,683,179.95","2,053,246,827.18","3,293,397,269.16","402,565,457.41","1,690,978,773.56","2,538,570,827.34","3,825,691,985.23","471,645,370.39","1,670,302,348.46","2,483,271,981.40","3,639,728,472.60","400,687,830.76","1,207,435,426.02","2,216,007,524.35","3,254,144,714.15","475,027,346.36","1,723,554,756.13","2,826,495,152.14","4,163,434,528.68"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"15,270,963.20","19,089,982.72","3,459,843.66","26,005,953.75","7,791,531.79","21,549,265.70","32,422,861.87","50,449,586.86","9,732,805.50","35,463,714.05","62,456,408.57","95,638,989.19","13,499,265.12","44,801,000.79","77,598,413.42","115,036,091.97","11,687,421.13","53,403,874.48","88,422,701.18","144,616,475.35","13,036,213.72","67,752,382.77","100,957,228.58","151,780,943.25","10,584,248.47","49,515,608.23","72,271,733.76","114,917,178.70","-2,222,941.35","-28,500,451.85","-30,819,673.90","-29,194,136.98","6,144,179.19","23,671,656.59","30,337,218.87","28,563,153.39"
营业外收入,"787,707.81","6,114,732.43","193,957.55","6,295,922.38","1,454,313.67","2,490,899.27","4,239,575.38","11,449,809.28","4,079,414.35","7,580,119.81","13,744,034.57","8,394,043.02","1,440,881.48","3,235,788.75","4,796,697.50","13,529,199.99","2,312,118.57","5,112,645.75","8,753,154.18","25,992,071.22","1,040,005.99","10,584,947.14","12,108,734.62","15,858,884.02","307,298.34","4,231,938.27","4,669,345.02","10,819,176.17","4,681,861.71","6,601,689.57","31,978,502.24","110,064,281.66","5,248,138.66","9,194,292.73","15,237,108.01","1,369,247.71"
销售费用,"3,003,480.23","9,244,494.82","2,217,500.04","6,918,998.27","3,437,417.58","6,403,306.65","9,752,675.79","14,298,892.06","6,457,594.26","13,945,150.10","22,957,034.39","32,299,283.55","7,788,505.27","17,779,416.51","28,830,403.11","39,258,837.08","4,768,686.92","12,127,504.60","23,272,736.48","37,327,680.14","9,751,906.79","25,658,234.00","37,130,628.07","49,534,064.60","9,187,207.32","15,727,081.60","24,487,880.12","34,076,172.93","7,172,978.43","11,968,003.61","24,713,139.69","44,571,782.56","11,173,081.10","21,008,307.40","46,017,068.21","66,783,204.99"
减:营业外支出,"226,015.05","1,957,626.91","62,412.96","1,959,278.54","148,103.30","483,773.33","546,767.34","1,030,904.41","170,500.57","1,567,389.03","2,156,298.33","2,805,771.94","2,053,353.24","2,300,365.88","3,069,791.71","3,939,297.05","153,603.94","575,986.33","1,236,519.22","2,361,852.56","630,782.84","895,961.69","1,926,841.72","3,713,379.17","597,122.82","914,543.99","1,639,562.90","2,811,602.19","1,046,601.07","1,726,771.54","3,496,981.14","6,179,395.69","2,151,650.90","2,604,408.55","5,346,420.87","6,014,143.38"
管理费用,"22,831,857.54","34,709,300.42","10,156,060.63","49,991,460.26","18,585,101.18","34,684,877.25","65,919,408.75","102,832,987.32","36,080,476.24","89,733,641.22","146,719,702.83","204,332,094.27","57,885,726.54","116,216,622.00","176,557,298.88","233,395,577.02","53,122,713.89","105,291,288.04","187,039,075.66","264,922,158.46","64,602,444.35","146,878,895.90","231,276,742.54","297,382,419.44","75,538,369.32","149,841,524.68","251,407,744.60","325,841,603.61","82,014,199.46","162,270,561.71","264,780,633.24","329,207,002.68","83,024,136.18","167,349,133.62","266,559,644.35","371,333,608.95"
其中:非流动资产处置净损失,,,,,,,,,,,,"379,882.61",,"40,647.06",,"216,012.45",,"73,772.92","158,335.97","348,691.36","125,408.65","263,062.87","350,688.64","486,196.14","57,791.91","207,306.36","217,810.96","408,710.54","229,714.92","286,269.21","400,634.74","716,657.34","33,644.44","77,648.37","840,511.85",
