科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"137,108,378.80","175,128,990.98","196,030,683.00","34,624,295.00","89,383,620.78","140,266,820.96","187,685,492.14","46,008,959.79","110,423,586.84","169,294,765.11","233,813,656.33","52,537,891.00","124,249,103.88","197,429,610.92","262,449,750.47","84,746,255.64","197,268,522.65","352,306,904.33","506,744,128.60","185,148,560.29","418,763,786.67","563,179,665.47","746,362,290.97","231,982,062.70","429,901,371.96","559,253,264.30","689,948,791.76","294,846,545.52","463,753,390.77","695,204,267.01","1,003,779,195.61","383,292,120.01","721,701,965.02","1,048,208,108.53","1,332,897,473.47"
二、营业利润,"37,844,301.42","38,719,829.38","48,712,989.89","6,074,446.47","17,057,030.75","23,948,658.23","24,332,539.31","7,681,806.86","19,514,693.81","29,810,201.92","33,425,793.66","4,704,483.35","12,243,326.81","20,196,996.46","22,840,709.34","7,483,276.09","21,682,059.48","46,750,955.90","59,458,914.88","27,826,782.02","68,539,139.78","105,103,123.53","126,427,929.61","50,804,223.08","95,164,812.28","96,749,400.06","71,616,271.88","32,679,451.39","57,664,424.15","69,845,930.59","87,180,460.99","39,330,803.15","73,094,098.59","86,813,151.93","112,285,546.02"
减:营业成本,"85,503,988.31","108,511,775.42","112,778,857.33","19,801,949.54","53,304,110.22","86,715,715.56","117,280,184.19","29,354,042.34","71,021,305.90","111,753,497.24","157,407,481.31","36,659,501.49","87,013,598.32","137,892,774.84","182,428,959.93","62,537,076.81","138,131,421.04","242,886,172.87","351,687,576.53","126,423,325.94","277,773,577.24","373,008,379.44","492,713,924.11","148,044,061.72","267,269,848.71","360,249,791.42","465,684,861.39","220,930,860.90","327,087,345.56","502,658,204.18","739,432,653.86","306,387,050.05","558,919,635.84","823,780,323.88","1,026,972,381.07"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"114,396.87","140,209.01","201,395.53","24,607.36","74,683.34","106,751.87","153,621.91","97,370.66","326,499.05","574,491.76","811,559.63","173,830.96","421,878.95","655,951.16","972,451.96","32,936.07","438,349.02","632,727.58","1,193,455.73","362,689.74","719,414.62","1,188,374.70","1,811,074.01","758,433.58","2,260,341.75","2,697,434.96","3,346,919.10","3,356,195.18","4,509,015.56","5,147,287.01","9,241,281.28","3,025,598.93","5,731,769.45","9,040,770.71","12,885,515.71"
营业外收入,"415,463.00","6,139,373.20","5,885,480.00","750,000.00","850,000.00","2,962,100.00","8,513,430.37",,,"60,501.18","6,646,908.14","830,580.13","1,046,169.17","1,195,448.65","4,420,348.65","281,536.18","649,773.18","1,206,773.18","4,926,112.77","451,471.04","790,955.23","1,198,092.23","5,687,885.96","80,000.30","523,356.69","1,748,275.31","6,699,409.54","1,138,494.71","9,151,021.31","10,174,819.82","14,608,204.59","4,848,156.36","5,370,758.66","6,475,838.36","1,242,232.28"
销售费用,"5,302,455.30","8,913,733.67","11,173,833.09","2,846,908.61","6,938,875.10","11,817,983.62","16,217,503.16","4,125,952.02","8,976,489.09","13,625,753.29","20,656,133.09","4,782,978.96","11,015,724.32","17,646,654.16","25,240,476.12","6,126,364.91","16,130,020.78","29,234,981.32","40,150,696.52","18,444,646.64","38,032,614.53","42,387,202.46","51,659,845.68","19,155,910.05","22,962,957.37","32,566,889.39","49,897,227.02","15,589,298.96","20,901,405.39","33,142,480.55","54,810,671.32","14,533,634.55","26,574,254.42","39,118,168.15","55,004,091.20"
减:营业外支出,,"312,630.07","315,000.00","500,000.00","1,000,000.00","1,050,000.00","1,251,081.50","81,859.00","382,859.00","672,419.41","1,005,124.27","72,985.84","73,779.64","140,494.59","265,929.92","32,412.50","1,082,482.50","1,296,439.34","3,018,014.60","31,416.80","332,055.89","843,324.30","1,262,601.54","78,203.18","747,331.71","1,049,915.35","2,969,967.00","32,648.65","36,838.33","137,294.06","1,585,343.49","35,850.00","37,694.78","1,442,108.94","2,323,550.73"
管理费用,"7,779,566.29","16,251,214.17","20,987,995.61","5,358,907.08","11,138,824.04","18,613,854.05","32,086,671.58","7,611,180.86","14,970,510.18","20,560,147.49","30,030,010.42","7,999,751.05","16,124,668.17","24,946,019.64","35,062,469.22","9,807,909.92","19,910,650.06","32,453,741.03","51,737,220.23","12,347,285.75","30,025,211.45","37,964,467.87","70,303,716.98","13,062,990.08","34,804,031.40","57,925,501.09","89,523,861.68","18,719,267.22","39,326,263.68","66,881,332.35","95,914,144.65","25,690,286.44","59,493,488.99","89,457,427.95","122,131,956.74"
其中:非流动资产处置净损失,,,,,,,"74,241.50",,,,"29,560.41",,"3,546.00",,"44,896.28","8,662.50","8,732.50","11,920.21","1,275,956.35","5,111.35","5,930.44","387,615.10","707,583.63","58,203.18","627,331.71","847,693.37","2,442,174.19","12,648.45","13,838.33","19,294.06","161,073.14",,"4,698.61","991,293.42",
