科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"25,176,834.57","43,259,629.90","89,618,668.03","97,715,724.31","328,394,094.62","44,559,413.93","40,594,570.93","34,549,305.45","60,362,799.37","26,109,832.04"
短期借款,"35,000,000.00","35,000,000.00","35,500,000.00","35,500,000.00",,,,,,
交易性金融资产,,,,,,,,,,
交易性金融负债,,,,,,,,,,
应收票据,"10,798,393.93","17,606,829.82","38,321,973.52","29,841,760.27","25,438,952.02","25,143,610.48","30,399,081.12","31,451,683.35","27,304,273.52","18,853,591.03"
应付票据,,,,,"8,500,000.00","7,000,000.00",,,,
应收账款,"31,824,271.80","30,268,952.12","33,315,336.13","39,710,862.36","41,517,395.51","46,956,521.71","41,921,914.63","50,313,702.37","53,821,856.19","68,477,398.11"
应付账款,"13,290,575.22","5,800,034.92","3,223,682.76","5,723,327.25","11,930,037.79","2,965,826.99","4,109,790.54","6,114,338.61","8,150,960.88","13,533,972.35"
预付款项,"4,508,372.80","3,806,646.11","4,240,511.94","7,261,399.35","7,982,452.11","7,025,061.63","4,035,333.86","5,099,456.71","5,040,398.35","7,890,200.70"
预收款项,"2,307,905.00","958,856.43","679,709.06","731,921.47","906,413.02","1,441,262.16","1,301,803.46","1,054,470.74","1,310,149.99","1,814,393.31"
其他应收款,"5,317,178.80","3,226,520.85","375,387.80","403,521.05","35,866.30","29,439.02","85,012.55","82,595.85","84,213.70","662,095.49"
应付职工薪酬,"3,960,704.66","3,534,348.91","5,047,634.35","2,363,738.68","5,006,599.01","5,229,324.05","7,555,035.12","2,609,726.89","5,676,152.00","6,600,252.03"
应收关联公司款,,,,,,,,,,
应交税费,"599,382.65","594,374.49","5,602,697.44","2,335,635.66","4,070,503.13","4,964,300.57","2,384,121.89","2,477,164.84","1,517,249.21","-20,578.30"
应收利息,,,,,,"1,303,624.66","2,831,568.84","2,274,214.51","777,489.89",
应付利息,"59,888.90","56,777.78","58,932.50","54,508.81",,,,,,
应收股利,,,,,,,,,,
应付股利,,,,,,,,,"16,200,000.00",
存货,"15,398,139.46","22,732,460.57","14,173,899.73","15,967,183.36","14,882,808.35","14,657,991.45","16,361,071.75","16,215,454.94","15,314,880.65","24,132,247.15"
其他应付款,"221,000.00","213,331.00","204,000.00","344,547.20","219,960.00","187,000.00","195,200.00","218,425.00","171,699.65","152,762.00"
其中:消耗性生物资产,,,,,,,,,,
应付关联公司款,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,
其他流动资产,,"2,013,293.59",,,,"263,800,000.00","273,899,220.59","268,403,375.87","260,267,230.88","265,373,679.38"
其他流动负债,,,,,,,,,,
流动资产合计,"93,023,191.36","122,914,332.96","180,045,777.15","190,900,450.70","418,251,568.91","403,475,662.88","410,127,774.27","408,389,789.05","422,973,142.55","413,377,349.42"
流动负债合计,"55,439,456.43","46,157,723.53","50,316,656.11","47,053,679.07","30,633,512.95","21,787,713.77","15,545,951.01","12,474,126.08","33,026,211.73","22,080,801.39"
可供出售金融资产,,,,,,,,,,
长期借款,,,,,,,,,,
持有至到期投资,,,,,,,,,,
应付债券,,,,,,,,,,
长期应收款,,,,,,,,,,
长期应付款,,,,,,,,,,
长期股权投资,,,,,,,,,,
专项应付款,,,,,,,,,,
投资性房地产,,,,,,,,,,
预计负债,,,,,,,,,,
固定资产,"133,037,104.36","125,448,222.85","113,758,916.06","110,607,106.98","108,381,704.85","108,428,320.02","112,208,776.24","109,730,791.16","108,478,470.27","139,272,735.74"
递延所得税负债,,,,,,,,,,
在建工程,"1,246,749.79","1,650,524.89","5,599,167.92","6,794,681.02","6,946,024.34","11,217,484.08","8,241,832.45","14,178,444.80","29,610,925.60","19,784,564.22"
其他非流动负债,,,,,,,,,,
工程物资,,,,,,,,"123,696.63","763,855.76","3,053,655.43"
非流动负债合计,"13,315,678.24","13,962,846.56","13,243,414.88","13,063,556.96","11,517,099.04","11,337,241.12","12,350,240.34","12,138,239.51","12,226,238.72","12,014,237.93"
固定资产清理,,,,,,,,,,
负债合计,"68,755,134.67","60,120,570.09","63,560,070.99","60,117,236.03","42,150,611.99","33,124,954.89","27,896,191.35","24,612,365.59","45,252,450.45","34,095,039.32"
生产性生物资产,,,,,,,,,,
实收资本(或股本),"81,000,000.00","81,000,000.00","81,000,000.00","81,000,000.00","108,000,000.00","108,000,000.00","108,000,000.00","108,000,000.00","108,000,000.00","108,350,000.00"
油气资产,,,,,,,,,,
资本公积,"31,638,904.42","31,638,904.42","31,638,904.42","31,638,904.42","234,706,912.65","234,706,912.65","234,706,912.65","234,706,912.65","234,706,912.65","241,172,655.69"
无形资产,"45,917,523.96","44,998,848.11","44,033,069.15","43,791,624.41","43,550,179.67","43,308,734.93","43,067,290.19","42,825,845.45","42,584,400.71","42,342,955.97"
盈余公积,"11,670,690.96","14,759,276.78","19,296,288.47","19,296,288.47","19,296,288.47","19,296,288.47","24,558,296.26","24,558,296.26","24,558,296.26","24,558,296.26"
开发支出,,,,,,,,,,
减:库存股,,,,,,,,,,
商誉,,,,,,,,,,
未分配利润,"80,736,218.57","108,533,490.92","149,366,596.10","161,567,170.89","174,227,088.76","172,562,124.60","180,524,666.25","193,740,061.20","202,328,686.18","218,806,453.00"
长期待摊费用,,,,,,,,,"157,281.57","139,805.85"
少数股东权益,,,,,,,,,,
递延所得税资产,"576,379.15","1,040,313.40","1,424,929.70","1,525,736.70","1,251,424.10","1,260,078.70","1,417,211.56","1,453,514.10","1,510,900.40","1,615,993.18"
外币报表折算价差,,,,,,,,,,
其他非流动资产,,,,,,,"623,181.80","8,915,554.51","8,767,368.68","7,395,384.46"
非正常经营项目收益调整,,,,,,,,,,
非流动资产合计,"180,777,757.26","173,137,909.25","164,816,082.83","162,719,149.11","160,129,332.96","164,214,617.73","165,558,292.24","177,227,846.65","191,873,202.99","213,605,094.85"
所有者权益(或股东权益)合计,"205,045,813.95","235,931,672.12","281,301,788.99","293,502,363.78","536,230,289.88","534,565,325.72","547,789,875.16","561,005,270.11","569,593,895.09","592,887,404.95"
资产总计,"273,800,948.62","296,052,242.21","344,861,859.98","353,619,599.81","578,380,901.87","567,690,280.61","575,686,066.51","585,617,635.70","614,846,345.54","626,982,444.27"
负债和所有者(或股东权益)合计,"273,800,948.62","296,052,242.21","344,861,859.98","353,619,599.81","578,380,901.87","567,690,280.61","575,686,066.51","585,617,635.70","614,846,345.54","626,982,444.27"
