科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"128,785,493.39","124,199,953.40","129,604,426.73","88,366,574.96","89,739,829.90","277,202,507.23","248,584,146.23","191,811,048.32","104,750,139.04"
短期借款,,,,,,,,,
交易性金融资产,,,,,,,,,
交易性金融负债,,,,,,,,,
应收票据,"6,034,128.70","11,153,143.00","3,621,067.23","3,685,898.02","3,779,325.97","6,501,934.88","2,376,170.88","8,422,976.20","8,212,840.00"
应付票据,"25,663,179.36","25,617,167.90","18,596,738.20","12,741,726.71","14,683,241.01","45,441,845.21","17,517,397.96","25,952,560.46","20,600,662.62"
应收账款,"89,233,614.85","115,665,362.91","125,022,682.96","135,988,735.73","151,252,863.96","139,864,454.61","142,917,860.07","153,981,436.46","192,618,396.53"
应付账款,"37,568,466.42","43,073,421.27","39,094,068.78","32,083,563.09","41,363,422.66","33,885,041.26","27,552,752.76","35,342,561.27","29,265,757.33"
预付款项,"3,987,878.91","1,109,608.87","807,988.79","3,659,538.30","2,123,164.55","33,113,951.92","47,554,793.35","57,856,594.51","32,449,542.26"
预收款项,"12,408,075.79","23,940,448.31","13,208,259.18","11,441,941.77","12,877,176.02","25,064,073.48","28,904,139.40","29,048,762.07","24,300,623.46"
其他应收款,"7,165,737.33","11,067,738.69","10,277,641.06","19,501,477.63","19,768,867.70","6,575,697.42","15,433,211.66","20,886,681.01","16,448,736.69"
应付职工薪酬,"6,544,154.14","4,083,128.50","5,346,051.58","2,610,597.57","3,864,563.90","5,055,677.67","1,250,000.00","2,500,000.00","4,106,800.00"
应收关联公司款,,,,,,,,,
应交税费,"9,954,033.60","15,184,149.21","10,013,987.69","4,023,476.80","5,153,956.65","11,746,058.31","4,431,146.60","1,649,855.03","5,148,894.79"
应收利息,,,,,,,,,
应付利息,,,,,,,,,
应收股利,,,,,,,,,
应付股利,,"942,843.00",,,,,"22,267,416.00",,
存货,"40,106,068.28","55,780,829.53","45,001,706.12","46,978,166.81","54,087,614.42","48,363,144.66","57,885,468.03","61,001,590.79","71,419,837.35"
其他应付款,"781,135.61","3,100,269.00","2,430,270.50","1,296,800.40","1,146,579.03","1,185,968.76","904,850.50","312,799.01","483,536.65"
其中:消耗性生物资产,,,,,,,,,
应付关联公司款,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,
其他流动资产,,"10,500.00",,,,"50,000,912.98",,,"62,000,000.00"
其他流动负债,,,,,,,,,
流动资产合计,"275,312,921.46","318,987,136.40","314,335,512.89","298,180,391.45","320,751,666.50","561,622,603.70","514,751,650.22","493,960,327.29","487,899,491.87"
流动负债合计,"92,919,044.92","115,941,427.19","88,689,375.93","64,198,106.34","79,088,939.27","122,378,664.69","102,827,703.22","94,806,537.84","83,906,274.85"
可供出售金融资产,,,,,,,,,
长期借款,,,,,,,,,
持有至到期投资,,,,,,,,,
应付债券,,,,,,,,,
长期应收款,,,,,,,,,
长期应付款,,,,,,,,,
长期股权投资,,,,,,,,"23,078,320.00","27,753,002.61"
专项应付款,,,,,,,,,
投资性房地产,,,,,,,,,
预计负债,"5,412,792.31","5,990,285.04","6,606,939.08","7,375,801.74","7,783,014.13","7,405,088.71","6,831,795.69","5,952,933.08","5,541,356.09"
固定资产,"27,271,025.11","28,147,735.02","26,607,467.96","25,970,243.58","25,287,259.19","25,108,447.68","24,456,984.37","24,201,911.81","24,818,507.06"
