科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"1,671,204,668.30","3,507,124,404.40","5,695,609,249.44","8,576,908,788.94","2,666,196,269.13","5,450,859,699.94","8,716,840,272.07","12,501,499,665.92","3,230,036,801.51","6,516,479,251.58","10,379,974,212.56","15,083,372,568.19","3,662,631,768.26","7,153,213,132.56","10,499,729,924.39","15,173,581,307.72","2,662,798,183.19","5,464,213,090.18","8,280,332,628.53","14,191,549,858.02","1,917,037,234.56","7,776,811,970.34","11,952,378,752.12","21,988,973,642.36","3,834,291,042.90","9,366,220,675.29","14,718,426,100.96","23,501,138,527.37","4,283,897,371.03","9,877,941,354.26","16,024,542,636.05","25,421,811,446.73","4,791,857,064.40","10,282,508,887.81","16,057,155,807.85","26,803,174,606.55","5,032,189,599.78","11,364,529,904.77","17,593,204,435.84","28,828,468,837.93","5,292,852,072.61","11,998,986,567.40","19,959,952,538.35","31,526,437,707.89"
二、营业利润,"47,203,329.94","112,663,634.61","137,717,439.71","225,949,172.81","79,704,358.75","166,729,104.34","211,940,079.88","281,052,149.94","73,681,089.32","189,085,302.88","255,040,547.64","339,298,216.65","111,337,018.19","238,487,578.72","317,500,146.60","545,750,902.53","101,768,751.65","267,904,855.42","351,805,731.20","499,282,873.17","75,987,713.63","514,095,622.74","805,909,741.05","1,276,166,430.97","220,378,461.40","654,580,499.05","987,284,702.95","1,365,129,641.95","331,283,697.60","684,031,171.16","1,076,039,898.25","1,611,063,011.32","380,223,223.63","761,152,640.49","1,177,215,360.66","1,822,684,646.01","407,521,145.72","898,090,184.74","1,339,126,094.80","1,977,896,328.72","405,273,454.96","975,801,386.68","1,470,671,182.17","2,326,687,593.82"
减:营业成本,"1,480,841,289.98","3,095,143,324.38","5,094,446,993.53","7,719,379,757.05","2,410,588,173.08","4,910,265,757.40","7,942,433,597.09","11,419,174,722.45","2,936,991,642.52","5,862,073,853.35","9,304,505,103.24","13,657,400,853.73","3,321,097,405.42","6,437,185,744.99","9,373,528,234.77","13,403,037,882.90","2,395,653,398.61","4,769,356,729.10","7,252,836,182.24","12,328,893,346.06","1,697,577,386.90","6,786,613,776.82","10,491,757,900.85","19,154,326,843.70","3,421,742,117.20","8,248,766,790.60","12,903,992,943.59","20,560,202,858.34","3,783,920,278.18","8,596,455,401.98","13,891,176,113.43","22,227,478,468.13","4,111,403,996.22","8,929,527,420.93","14,047,424,794.39","23,367,596,740.83","4,390,687,763.11","9,931,689,129.48","15,540,299,258.98","25,411,985,528.23","4,732,045,078.85","10,530,693,444.32","17,632,329,198.79","27,764,271,684.30"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"48,365,517.50","103,146,591.40","168,419,532.89","282,803,588.96","80,251,893.33","166,982,248.09","246,552,857.86","369,234,388.51","94,338,339.46","199,384,825.29","300,364,342.04","456,788,600.80","103,202,159.06","210,091,222.58","313,955,787.47","448,762,358.18","84,338,946.27","164,204,099.35","246,129,619.18","410,777,512.81","48,941,555.25","232,277,933.35","330,532,058.55","612,876,793.38","102,813,209.23","261,715,542.49","423,369,015.12","682,172,519.32","115,190,806.93","278,032,936.12","455,470,436.32","722,455,367.89","138,843,133.43","237,038,191.86","423,764,152.29","658,346,226.15","163,532,931.32","180,887,876.61","92,368,745.87","67,194,120.79","37,575,147.05","37,121,695.50","59,815,729.49","91,835,984.55"
营业外收入,"2,400,966.33","14,667,911.34","44,414,239.73","49,956,763.92","541,339.29","24,514,332.54","37,791,702.28","92,026,268.14","10,464,209.83","16,550,579.21","40,033,923.38","135,033,289.11","472,885.02","90,020,388.63","126,518,193.16","149,625,225.12","5,288,117.84","16,036,191.29","24,494,476.67","118,823,095.22","14,795,629.39","161,940,074.89","191,936,334.54","343,742,927.23","54,280,241.64","153,526,631.05","199,626,109.33","329,370,429.62","29,903,643.18","113,744,101.32","154,767,166.80","249,410,269.66","26,090,425.84","77,350,355.24","109,906,856.05","145,831,770.34","16,374,370.85","117,766,735.44","145,714,847.75","237,250,763.78","62,284,040.57","4,428,887.79","10,469,670.74","17,730,630.37"
销售费用,"4,483,210.07","8,246,092.20","15,249,270.64","30,928,219.74","5,735,771.84","13,712,343.59","21,677,298.14","34,721,318.56","8,000,746.72","22,167,687.80","32,111,561.08","43,092,125.89","13,424,212.46","23,606,389.13","32,763,278.00","46,819,917.78","7,152,879.59","18,278,564.98","22,317,012.89","26,880,707.06","4,952,167.67","14,434,987.00","22,127,234.96","27,889,590.45","6,741,302.05","16,669,140.15","27,800,200.88","29,481,800.77","7,041,363.97","12,913,028.59","18,713,922.65","21,881,761.92","3,259,379.93","7,333,737.10","12,100,421.35","16,496,117.58","4,105,728.40","8,995,228.73","12,972,276.72","19,990,204.34","5,113,553.38","10,934,426.23","11,791,175.19","17,497,527.42"
减:营业外支出,"1,105,467.88","2,008,675.46","2,368,562.51","4,919,229.76","1,997,688.85","9,622,562.14","10,047,808.97","5,579,432.55","394,695.05","2,262,876.17","2,693,111.35","4,769,154.50","3,940,205.89","4,919,919.39","7,502,327.38","9,386,492.89","18,187,245.92","19,806,448.15","7,995,545.06","7,702,285.73","938,568.89","2,948,277.83","5,147,852.48","8,174,243.20","685,939.84","6,064,423.00","8,425,359.80","35,239,461.34","234,743.20","808,401.09","1,775,142.70","3,958,252.87","970,306.34","3,494,222.41","4,734,578.50","16,991,440.29","1,221,742.32","48,788,084.38","52,951,924.61","68,854,981.87","1,085,790.22","5,387,166.54","7,416,995.16","10,201,001.22"
管理费用,"72,390,526.81","135,857,845.34","205,778,029.83","280,597,272.18","80,431,835.67","156,409,358.03","250,839,843.87","340,528,423.26","101,287,511.57","232,051,322.72","477,078,076.75","703,361,766.35","113,549,929.96","244,429,170.71","480,602,749.05","785,005,197.39","110,051,594.60","264,402,263.89","400,073,089.11","885,540,014.19","136,161,154.98","415,099,483.88","639,367,537.05","1,333,969,144.35","275,244,858.53","468,032,463.19","662,429,448.03","1,233,522,027.51","212,026,571.13","472,769,532.13","698,053,881.03","1,450,672,004.62","322,271,822.53","568,036,230.10","949,911,171.50","1,981,290,433.17","306,355,394.10","702,812,016.68","1,152,345,271.51","2,024,855,270.76","363,741,685.65","985,601,169.73","1,452,327,579.98","2,337,273,464.58"
其中:非流动资产处置净损失,"173,715.00","1,341,360.90","1,527,377.25","3,464,554.69","1,559,949.06","6,548,979.88","7,699,434.04","2,121,027.72","86,489.75","1,917,740.58","2,426,009.63","3,938,155.43","3,299,029.20","4,217,469.64","6,709,137.80","6,628,297.61","18,061,689.86","19,638,392.15","7,487,690.05","6,478,636.62","910,041.82","1,905,995.85","3,351,557.81","5,700,655.53","479,954.52","4,600,765.43","5,506,691.30","33,086,336.21","89,726.79","615,449.95","1,107,128.49","2,168,139.09","424,199.99","2,103,886.15","2,412,035.48","14,739,857.76","2,408,772.58","1,593,463.81","5,074,582.18","9,839,081.25","188,842.65","4,285,382.13","2,300,835.01",
