科目,2007年度,2008年度,2009年1-3月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"2,349,380,796.75","3,069,283,289.41","466,016,280.74","3,148,505,953.45","611,372,526.74","1,591,344,360.52","2,591,259,764.95","3,781,430,422.11","835,484,094.12","1,998,335,145.60","3,310,809,305.53","4,682,699,557.82","901,543,700.12","2,142,809,931.22","3,691,295,110.64","5,330,617,836.97","1,202,074,480.80","2,698,020,899.01","4,149,637,083.14","5,892,093,824.91","1,179,159,824.69","2,975,413,430.70","4,794,159,696.89","6,409,202,947.52","1,300,258,740.35","2,793,097,453.26","4,434,504,899.01","5,990,172,732.86","1,188,550,314.35","2,768,629,903.18","4,373,013,386.38","6,257,767,715.44","1,141,671,139.27","2,970,837,809.46","4,912,595,046.93","6,722,631,750.82"
取得子公司及其他营业单位支付的现金净额,"40,034,424.87",,,,,,,,,,,"55,098,264.59",,,"32,697,641.75","32,697,641.75",,"10,000,000.00","10,000,000.00","11,506,000.00",,"7,251,177.27","7,251,177.27","10,000,000.00",,"10,000,000.00",,"89,458,828.76","118,811,768.24","118,677,746.78","118,677,746.78","118,677,746.78",,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,,"385,661.78",,,,"1,264,431.08",,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"2,040,296.00","4,139,936.36",445.00,"2,729,305.60","23,771.46","1,093,128.72","1,463,534.63","3,259,423.36","1,060,669.85","1,074,052.03","1,343,858.94","2,830,859.86","165,902.52","707,430.17","2,294,570.62","16,487,334.66","2,900,834.34","2,813,746.05","4,899,161.54","8,640,668.88","915,976.57","3,157,447.10","4,375,305.92","5,803,746.25","57,994,451.32","6,798,646.13","3,444,979.12","22,421,196.39","2,237,374.10","4,665,346.76","12,371,782.49","16,469,981.55","3,562,328.62","12,055,637.46","12,580,619.07","19,948,263.79"
投资活动现金流出小计,"79,963,427.46","22,626,330.04","7,764,454.07","27,279,032.55","1,879,208.11","9,331,377.49","30,178,850.09","66,230,590.59","8,725,492.04","88,864,360.08","101,683,482.30","97,077,006.15","23,446,514.08","24,496,622.04","76,049,804.86","93,675,054.90","50,231,129.34","73,759,362.86","87,243,945.56","119,126,420.64","10,050,282.33","36,975,379.64","46,014,340.85","108,397,489.12","111,739,538.74","234,434,500.05","245,709,556.97","287,707,435.60","128,024,020.49","139,303,144.22","184,194,767.07","570,738,036.58","21,985,638.52","377,817,940.76","404,827,359.83","438,067,215.13"
经营活动现金流入小计,"2,351,421,092.75","3,073,423,225.77","466,016,725.74","3,151,235,259.05","611,396,298.20","1,592,437,489.24","2,592,723,299.58","3,784,689,845.47","836,544,763.97","1,999,409,197.63","3,312,153,164.47","4,685,530,417.68","901,709,602.64","2,143,517,361.39","3,693,589,681.26","5,347,105,171.63","1,204,975,315.14","2,700,834,645.06","4,154,536,244.68","5,900,734,493.79","1,180,075,801.26","2,978,570,877.80","4,798,535,002.81","6,415,392,355.55","1,358,253,191.67","2,799,896,099.39","4,437,949,878.13","6,013,858,360.33","1,190,787,688.45","2,773,295,249.94","4,385,385,168.87","6,274,237,696.99","1,145,233,467.89","2,982,893,446.92","4,925,175,666.00","6,742,580,014.61"
投资活动产生的现金流量净额,"-79,907,381.73","-22,600,530.04","-7,764,454.07","-27,205,399.82","-1,876,384.11","-9,111,651.98","-29,937,224.58","-65,956,131.18","-8,680,722.81","-88,821,390.85","-101,613,351.40","-97,000,803.04","-23,351,593.85","-24,363,415.98","-75,918,435.72","-93,541,574.46","-50,231,129.34","-73,759,362.86","-87,179,726.15","-111,096,749.67","-9,900,311.14","-36,763,197.30","-45,723,739.56","-104,105,098.55","-104,851,787.14","-164,907,934.27","-176,495,320.12","-235,412,910.69","-77,624,867.55","-88,587,349.40","-133,325,076.48","-519,355,577.64","204,994,494.76","-139,940,756.73","-104,245,075.80","40,135,223.87"
购买商品、接受劳务支付的现金,"2,147,252,353.00","2,811,512,674.43","491,972,694.78","2,810,907,187.06","664,708,978.28","1,617,116,669.45","2,892,516,492.11","3,893,452,666.98","916,657,400.76","2,172,045,177.13","3,550,148,954.28","4,727,590,409.25","727,534,873.13","1,811,991,965.08","3,235,299,411.40","4,496,521,857.35","1,093,720,520.83","2,360,874,860.88","3,913,257,235.95","5,373,748,101.52","1,125,667,665.08","2,752,915,843.88","4,374,813,344.34","5,623,532,960.55","1,061,293,866.67","2,524,083,023.22","4,088,417,806.96","5,300,688,940.18","813,715,706.77","2,172,529,034.46","3,691,195,174.19","5,269,349,954.54","1,026,047,898.05","2,773,547,937.43","4,587,611,039.48","6,010,599,579.83"
吸收投资收到的现金,"58,310,000.00","69,300,000.00",,,,"1,111,816,000.00","1,111,816,000.00","1,112,566,000.00",,"900,000.00","900,000.00","900,000.00",,,,"617,675.55","614,673.20","614,673.20","614,673.20","614,673.20",,0.96,0.96,"3,348,823.69","3,869,315.24","4,123,342.03","30,464,933.02","40,471,170.72","992,174,547.02","992,174,547.02","993,939,074.81","993,939,074.81","250,000.00","140,250,000.00","140,410,000.00","165,956,751.69"
