科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"416,262,383.34","401,133,935.55","167,168,359.59","317,206,727.72","166,610,561.53","280,617,716.73","452,981,289.59","71,423,116.06","174,152,428.12","302,337,364.02","485,238,422.21","175,851,102.66","483,390,592.51","719,460,805.79","1,034,231,744.66","134,407,501.70","511,016,237.35","821,608,415.57","1,387,064,429.18","266,019,986.13","558,015,501.37","908,750,230.00","1,323,449,212.52","297,088,280.03","615,123,092.55","845,899,462.13","1,104,462,666.62","209,854,124.30","448,053,697.63","594,279,832.45","930,145,690.09","127,466,157.67","227,123,790.96","361,302,287.84","567,225,853.20","147,662,489.96","324,372,694.14"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,"196,394.40","196,394.40","204,029.84","166,615.55","261,950.07","276,950.07","199,892.97","6,752.06","9,122.26","9,122.26","87,520.58",,"4,481.67","4,481.67","7,863.22",,"2,581.10","2,581.10","15,745.50",,
支付其他与投资活动有关的现金,,,,,,,,,"117,308.07","1,350.00",,,,,,,,,,,,,,,,,,,,,"7,938,383.51",,,,,,
收到其他与经营活动有关的现金,"36,772,245.55","35,149,380.21","16,010,432.70","52,481,661.20","10,669,403.90","13,123,201.69","35,486,425.97","11,575,278.01","19,069,209.94","30,536,012.38","39,047,615.83","33,276,686.72","85,345,938.82","126,381,876.02","82,592,677.85","16,133,457.32","41,687,184.58","82,674,609.99","63,757,309.69","3,103,591.87","71,486,039.18","110,044,277.68","37,875,792.62","24,784,132.30","29,387,201.85","41,613,966.30","56,077,163.25","10,767,321.72","16,217,843.35","25,791,196.96","33,360,638.30","3,991,119.05","6,391,387.44","9,709,467.22","16,615,992.47","6,582,677.66","11,335,441.10"
投资活动现金流出小计,"24,756,345.83","39,537,511.84","22,282,124.51","24,319,814.47","2,629,306.47","5,653,037.46","19,827,655.99","-2,993,246.73","7,558,808.62","10,011,902.47","19,335,132.28","2,020,569.76","29,366,580.08","48,029,386.62","57,822,900.19","10,023,372.07","17,356,110.47","25,113,593.27","57,714,421.34","6,239,907.38","12,528,713.11","20,737,823.78","29,264,522.92","10,762,695.37","12,888,588.37","14,058,788.48","18,213,744.95","919,232.16","554,260,121.06","554,502,497.06","1,116,093,158.39","638,014,300.00","1,376,047,300.00","1,581,200,675.77","1,581,748,135.77","753,040,840.01","1,604,496,012.06"
经营活动现金流入小计,"453,034,628.89","436,283,315.76","183,178,792.29","369,688,388.92","177,279,965.43","293,740,918.42","488,467,715.56","82,998,394.07","193,221,638.06","332,873,376.40","524,286,038.04","209,127,789.38","568,736,531.33","845,842,681.81","1,116,824,422.51","150,540,959.02","552,899,816.33","904,479,419.96","1,451,025,768.71","269,290,193.55","629,763,490.62","1,019,071,457.75","1,361,524,898.11","321,879,164.39","644,519,416.66","887,522,550.69","1,160,627,350.45","220,621,446.02","464,276,022.65","620,075,511.08","963,514,191.61","131,457,276.72","233,517,759.50","371,014,336.16","583,857,591.17","154,245,167.62","335,708,135.24"
投资活动产生的现金流量净额,"-24,636,345.83","-39,537,511.84","-22,282,124.51","-24,317,414.47","-2,616,485.96","-5,525,616.95","-19,491,835.48","3,038,246.73","-7,491,808.62","-9,804,602.47","-19,075,532.28","-2,020,569.76","-29,366,580.08","-48,029,386.62","-57,732,600.19","-10,023,372.07","-17,351,010.47","-24,957,128.07","-57,557,898.44","-6,239,907.38","-12,527,813.11","-20,663,840.78","-29,134,539.92","-10,762,695.37","-12,877,088.37","-14,045,888.48","-18,114,408.95","-919,232.16","-554,260,121.06","-554,502,497.06","-548,921,676.96","-634,861,744.79","-674,834,875.85","-743,629,104.62","580,735,734.54","-753,040,840.01","-833,058,371.80"
购买商品、接受劳务支付的现金,"197,744,365.81","207,260,267.39","73,639,704.64","170,657,086.67","90,227,343.19","156,162,338.82","232,620,405.32","79,252,785.39","181,373,379.25","280,621,524.64","402,030,934.05","100,384,065.80","272,180,203.80","423,361,553.02","659,057,520.71","157,892,204.09","346,005,387.11","638,022,301.89","916,476,809.92","273,718,462.90","576,292,023.13","847,957,214.65","1,096,166,648.14","269,023,936.77","478,434,129.14","642,883,341.46","773,659,636.75","131,608,714.63","241,288,159.51","351,737,920.68","461,626,836.66","95,225,040.53","199,838,834.04","299,609,168.19","409,564,738.96","100,273,195.32","194,498,836.95"
吸收投资收到的现金,,,,,,"1,116,500,000.00","1,116,519,759.25","4,655,000.00","4,655,000.00","4,655,000.00","9,500,000.00",,"4,802,000.00","4,802,000.00","15,302,000.00",,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"37,986,662.89","45,234,220.05","18,568,412.31","65,198,820.16","23,087,548.84","40,806,951.08","79,260,243.46","17,926,851.11","38,724,676.21","71,445,568.47","119,799,721.41","21,363,532.78","48,942,464.35","82,447,164.33","151,979,497.73","24,514,873.94","74,069,007.96","117,632,322.19","164,600,285.76","44,944,376.48","83,025,951.12","123,999,019.03","164,992,912.71","44,342,989.10","82,072,143.14","118,690,787.50","146,571,779.24","34,672,106.10","67,685,198.28","99,698,161.72","144,620,141.12","29,102,865.75","57,280,873.68","85,231,602.00","130,739,134.14","25,001,231.46","51,992,537.11"
取得借款收到的现金,"10,000,000.00","38,000,000.00",,,,,,,,,,,,,"5,000,000.00",,"5,700,000.00","5,700,000.00","5,700,000.00",,,,,,,,,,,,,,,,,,
