科目,2007-12-31,2008-12-31,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"18,701,337.94","65,585,113.08","74,630,753.96","956,347,388.38","833,030,372.05","824,291,054.79","746,561,139.01","767,793,202.98","473,721,977.41","446,633,548.74","372,146,241.54","366,754,205.42","330,537,814.29","331,622,902.41","236,085,584.56","164,926,679.53","161,891,901.87","74,455,268.03","86,958,548.51","40,633,406.57","46,501,430.07","35,336,060.56","35,160,392.28","178,725,660.91","133,023,910.75","36,458,627.90","35,679,186.30","100,287,035.06","88,536,944.87","67,054,409.85","53,886,942.77","123,208,792.82","89,779,674.99","78,636,698.18","86,325,441.02","124,582,132.61","38,029,072.19"
短期借款,"52,250,000.00","70,000,000.00","79,500,000.00","79,000,000.00",,,,"30,000,000.00","44,270,000.00","99,390,711.52","89,207,431.00","109,315,152.47","119,937,061.20","178,810,000.00","168,810,000.00","143,990,000.00","212,200,000.00","129,210,000.00","125,400,000.00","182,150,000.00","180,250,000.00","180,250,000.00","170,200,000.00","139,390,000.00","147,390,000.00","147,388,806.30","125,188,474.73","100,461,753.94","100,461,753.94","100,461,753.94","100,461,656.25","100,447,255.25","100,447,255.25","100,447,255.25","100,357,254.25","100,357,254.25","34,999,999.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"4,430,808.00","4,601,946.40","8,048,990.00","7,597,653.00","6,359,177.60","5,607,965.50","57,905,746.66","53,859,620.73","60,026,260.42","35,762,414.79","44,047,390.00","43,828,976.78","43,473,976.78","40,825,900.00","25,589,700.00","11,851,072.46","17,130,270.46","15,309,819.60","4,173,417.58","3,090,000.00","3,400,083.51","5,383,213.51","5,233,000.00","333,400.00","1,191,000.00","3,621,239.88","5,883,683.33","6,910,999.88","6,020,786.67","6,957,518.20","5,885,960.00","9,854,739.20","851,703.12","1,470,703.40","2,050,000.00","15,527,470.00","9,772,000.00"
应付票据,,"18,000,000.00","7,553,200.00","16,283,200.00","9,510,000.00","7,110,000.00","6,180,000.00","200,000.00",,"25,220,556.54","40,820,556.54","35,819,526.11","53,173,088.33","58,865,562.22","46,578,770.40","28,916,157.80","15,157,380.60","16,782,482.28","18,075,101.68","18,901,730.00","26,528,865.30","26,209,948.81","21,511,000.00","28,213,701.40","9,200,000.00","4,000,000.00",,"4,500,000.00","4,500,000.00",,,,,,,,
应收账款,"105,145,226.91","118,890,903.95","154,598,790.38","151,462,461.15","188,433,554.61","211,418,587.69","191,845,722.02","165,171,039.81","215,141,160.67","280,558,186.94","311,042,066.51","425,362,584.77","451,899,623.42","459,071,990.32","441,160,587.61","259,948,270.78","313,908,132.73","348,942,163.96","324,833,258.90","163,725,956.00","187,636,289.70","150,337,980.18","148,112,059.60","105,855,110.30","130,415,596.46","125,828,501.92","104,149,990.74","33,435,501.67","51,168,110.65","40,157,798.41","35,603,398.17","25,787,036.35","26,155,771.98","34,393,063.93","33,995,019.81","51,225,775.93","46,594,359.93"
应付账款,"31,759,057.12","38,105,638.44","28,168,203.01","41,441,636.21","32,230,234.57","36,464,269.66","74,922,233.91","77,282,812.64","114,115,093.22","83,876,500.09","72,870,071.23","152,925,891.56","160,312,648.44","170,463,658.82","157,204,782.23","135,309,082.98","150,093,014.74","129,416,675.21","145,726,748.71","99,776,057.58","113,339,689.38","109,047,157.31","101,359,048.80","89,851,528.52","94,961,510.13","92,779,071.58","96,097,466.60","78,622,903.24","81,719,496.52","70,929,994.98","71,051,129.37","70,250,642.41","67,502,200.91","66,453,233.43","71,946,005.04","58,817,050.15","53,392,876.59"
预付款项,"8,348,384.61","14,424,420.90","9,742,324.16","22,300,507.22","12,385,558.44","21,137,411.68","42,976,176.78","79,767,465.98","102,669,290.29","133,289,020.93","115,472,575.37","38,586,761.97","49,549,337.57","63,706,723.97","61,465,072.70","23,996,494.20","72,542,550.12","54,404,116.59","51,610,350.41","56,762,720.32","80,357,224.61","76,724,664.02","75,177,499.47","66,557,291.73","79,258,870.95","80,494,844.66","76,899,664.36","23,720,934.19","24,029,976.39","28,810,787.82","26,594,381.55","16,212,263.16","22,228,797.72","24,992,290.43","28,249,154.39","8,437,792.35","17,343,965.96"
预收款项,"29,323,897.55","23,244,189.89","6,112,028.29","21,134,355.37","22,874,061.67","41,915,284.68","41,834,521.75","86,217,420.13","102,459,008.08","82,215,967.48","70,225,254.49","36,805,998.22","50,343,897.48","27,515,259.86","32,269,999.28","34,904,737.96","57,412,743.56","52,719,992.56","31,317,807.81","40,527,966.80","71,978,603.02","81,644,278.08","86,289,789.01","106,067,412.66","115,619,968.97","132,866,186.14","109,756,306.71","102,199,782.91","114,613,371.66","103,691,899.39","105,577,930.78","216,429,580.60","232,023,753.11","211,421,525.74","193,546,525.44","57,016,120.73","56,042,819.83"
其他应收款,"108,471,706.96","5,505,660.11","2,730,007.42","1,909,858.78","1,894,721.72","2,544,517.43","10,751,012.01","3,110,843.67","8,601,972.74","7,083,046.90","8,433,043.71","18,764,898.28","17,622,826.54","12,919,350.20","4,888,486.22","4,552,956.19","8,249,090.78","8,490,590.56","8,184,005.59","24,834,710.05","26,726,288.98","16,905,023.63","18,505,237.46","104,531,625.15","100,806,556.09","170,889,847.03","136,018,119.62","25,135,778.98","31,865,113.80","26,649,822.07","26,547,317.00","36,470,062.54","39,524,946.16","31,311,194.27","23,779,501.85","18,601,312.50","15,007,154.80"
应付职工薪酬,"1,362,818.87","3,390,321.99","1,073,293.64","3,720,932.85","213,926.37","2,513,216.87","2,527,390.28","3,383,244.94","2,477,116.16","3,528,399.40","4,068,223.29","7,640,892.52","3,760,652.14","3,929,548.97","4,241,816.70","7,917,436.56","3,193,015.41","3,448,569.64","4,780,449.34","5,103,905.50","2,422,997.27","3,620,680.00","3,113,691.10","4,266,202.68","1,603,143.82","3,696,181.92","4,588,353.62","10,511,977.00","6,129,579.50","6,198,523.45","7,106,662.86","6,196,661.62","4,980,059.65","5,475,017.74","6,163,135.68","6,983,663.22","1,633,263.55"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
