科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"248,910,498.59","337,067,587.36","461,468,743.26","168,149,572.57","285,844,363.50","394,946,263.90","636,170,318.88","220,306,983.54","374,302,514.29","528,873,267.18","799,091,590.99","223,863,790.51","364,950,209.66","491,656,034.21","699,920,277.97","222,308,325.95","372,943,154.53","489,839,956.82","724,237,203.87","222,068,688.78","370,311,213.33","517,067,143.19","754,169,101.01","260,935,117.44","459,045,335.12","655,089,756.27","921,279,626.39","329,235,670.26"
二、营业利润,"53,585,551.63","86,802,777.53","143,030,452.51","72,206,926.45","103,365,223.84","125,630,366.10","212,837,868.51","83,603,972.86","102,374,225.29","110,679,329.19","169,370,425.97","44,308,236.37","27,665,314.31","19,586,994.85","22,749,938.71","18,074,882.97","27,812,885.09","11,178,096.65","-4,387,074.00","-17,071,341.44","-35,673,720.66","-83,301,248.90","-356,368,851.09","86,198,114.28","101,323,762.39","111,209,070.53","125,888,833.38","41,291,513.08"
减:营业成本,"104,648,061.86","126,004,757.10","170,857,603.59","57,175,686.67","95,961,511.21","128,620,835.65","211,538,819.21","72,623,576.85","125,432,799.68","183,422,089.17","281,788,891.68","81,296,940.66","138,120,695.57","183,994,093.76","262,500,094.79","91,897,603.23","146,978,590.92","187,754,484.08","305,608,108.11","103,491,037.00","167,603,250.59","239,935,346.24","380,330,570.05","150,931,267.88","216,766,987.23","301,491,855.09","417,823,860.91","147,625,302.72"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,009,356.70","2,814,400.64","4,755,085.59","2,276,666.50","3,682,856.58","4,402,783.54","6,870,874.08","2,628,894.35","3,964,440.91","4,957,887.21","7,835,926.18","1,543,913.88","2,572,816.12","3,324,700.57","5,089,404.21","2,146,678.73","3,801,847.08","4,584,716.80","6,830,399.69","2,129,187.39","3,519,277.28","4,457,064.75","7,157,146.29","2,979,453.68","5,139,138.14","5,953,734.85","7,647,503.26","2,369,295.26"
营业外收入,0.02,"1,039,345.59","3,923,996.34","494,082.75","491,772.70","491,772.82","4,270,297.75","1,002,317.52","2,223,136.66","3,797,332.66","4,625,435.13","2,971,342.74","4,112,809.80","4,112,809.82","4,627,504.10","344,193.26","419,711.30","2,596,134.63","3,308,911.25","780,772.86","3,070,205.94","7,241,985.27","10,047,694.40","6,963,993.40","5,897,255.13","6,331,605.96","2,574,845.49","2,515,600.04"
销售费用,"63,191,345.99","90,900,210.82","105,937,708.11","29,645,354.62","67,729,492.53","110,138,606.99","159,549,834.14","48,288,569.93","105,924,606.33","177,795,032.55","259,731,496.35","78,730,887.31","154,960,895.85","223,605,467.31","309,657,329.16","82,687,742.94","147,967,725.29","209,279,922.14","311,724,619.00","94,001,281.47","160,324,284.86","241,696,603.09","466,307,263.72","82,182,091.48","161,479,110.33","229,770,913.77","327,501,184.46","93,084,220.45"
减:营业外支出,"29,300.37","61,100.00","97,761.24","66,300.00","66,300.00","112,300.00","1,136,416.30",0.01,"1,004,041.03","1,104,521.03","1,104,521.02",,"6,190.34","37,931.54","304,826.83","323,318.93","326,146.52","370,355.24","657,524.42","8,374.67","193,251.65","284,345.89","2,720,278.98","60,586.53","42,064.98","94,867.61","155,711.81","10,121.00"
管理费用,"23,025,668.44","27,135,570.05","32,675,328.06","6,499,669.00","17,992,280.22","31,340,305.25","51,309,862.17","12,922,855.95","33,965,636.94","49,329,031.58","68,000,569.13","16,080,384.87","38,624,992.91","57,683,328.31","81,042,519.51","21,753,754.89","39,104,216.99","57,552,437.20","87,079,453.42","24,428,729.02","44,524,470.98","62,632,855.41","104,047,006.47","22,011,365.52","46,756,076.31","67,877,270.28","100,422,375.61","35,071,008.03"
其中:非流动资产处置净损失,,,,,,,,,,,,,,,"178,417.61","209,930.75","209,930.75","209,930.75","344,216.67",,"5,021.33","18,019.45","18,019.45",,,"43,619.25",,
