科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"25,646,911.52","69,157,086.86","110,419,451.97","48,349,239.31","120,213,708.63","438,086,647.69","151,021,946.41","232,294,821.92","208,882,083.60","187,949,956.83","174,220,369.35"
短期借款,"210,950,000.00","187,500,000.00","254,500,000.00","260,200,000.00","280,200,000.00","372,200,000.00","490,200,000.00","571,500,000.00","601,500,000.00","458,500,000.00","520,000,000.00"
交易性金融资产,,,,,,,,,,"4,022,711.41","14,793,153.19"
交易性金融负债,,,,,,,,,,"95,224,880.00","96,273,120.00"
应收票据,"1,025,200.00","1,800,000.00","13,650,516.25","105,655.08","16,126,574.83","5,059,508.03","3,249,687.61","9,092,336.32","6,657,547.38","11,459,642.98","20,907,410.93"
应付票据,"50,000,000.00","20,000,000.00","30,000,000.00","17,330,000.00","17,430,000.00",,,,,,
应收账款,"229,605,040.92","229,305,869.95","221,406,511.65","271,153,536.94","246,225,059.13","249,230,328.89","324,585,476.27","340,109,527.82","304,789,684.71","331,208,810.54","371,212,302.64"
应付账款,"99,604,394.59","92,294,368.59","48,774,153.63","56,307,518.09","69,258,454.63","135,659,591.17","81,659,580.05","55,839,901.50","22,463,439.06","27,854,192.54","47,702,509.12"
预付款项,"6,073,574.56","5,410,951.00","19,148,665.76","12,260,844.28","6,971,979.89","55,480,868.44","143,330,322.85","89,706,659.55","67,368,526.96","31,316,047.68","90,724,973.36"
预收款项,"61,759,090.89","47,394,102.11","30,469,280.75","60,549,563.15","50,732,035.64","52,103,677.31","78,101,674.85","100,168,043.51","84,407,853.74","71,551,725.19","111,301,747.79"
其他应收款,"4,996,413.29","4,409,078.59","4,279,514.42","5,728,005.87","13,972,209.26","13,259,610.96","18,516,573.28","22,931,289.64","25,352,180.89","20,179,334.22","22,016,264.70"
应付职工薪酬,"12,976,493.56","13,421,218.12","10,757,005.09","14,324,216.62","16,440,938.12","17,996,047.36","18,380,446.38","19,318,226.69","18,645,249.33","18,685,919.91","15,445,210.28"
应收关联公司款,,,,,,,,,,,
