科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"376,458,482.75","663,628,430.07","857,572,997.10","152,905,940.93","303,697,618.29","440,300,087.36","587,753,814.32","189,122,704.97","396,357,440.83","570,144,343.36","774,730,022.32","196,120,337.97","404,695,240.46","581,883,566.65","751,021,851.40","172,441,010.61","377,742,801.80","555,569,957.41","794,915,779.23","229,617,391.94","485,519,090.17","774,895,087.40","1,158,450,736.98","316,230,102.37","704,204,866.86","1,127,879,338.89","1,595,601,137.79","399,504,190.55"
二、营业利润,"36,467,894.32","59,299,119.70","144,811,213.81","41,373,774.21","77,003,448.25","102,892,376.50","122,698,191.20","27,087,700.89","55,392,321.87","74,283,052.39","96,619,343.76","30,208,250.83","67,705,844.52","96,605,004.84","126,433,123.14","27,953,223.58","60,522,896.26","87,127,970.98","128,174,318.66","32,157,832.60","97,237,008.00","151,570,067.02","228,760,596.22","58,259,198.69","138,299,655.82","243,509,708.21","314,169,170.05","76,018,942.04"
减:营业成本,"312,144,513.65","565,659,640.93","656,157,616.84","98,718,583.42","200,952,789.36","301,462,825.94","413,496,917.40","147,477,468.63","306,955,627.18","443,125,247.30","593,456,402.65","141,876,785.38","278,851,746.98","393,286,073.09","502,575,953.41","115,374,390.71","255,873,320.63","376,033,359.30","493,275,279.22","144,965,798.04","278,563,143.13","450,531,287.28","612,516,786.44","153,895,589.99","333,133,423.44","511,468,227.07","725,428,929.01","196,772,834.02"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"111,350.57","581,596.72","3,997,407.38","742,282.73","1,538,814.53","2,187,295.29","2,961,740.54","888,521.08","1,930,712.75","2,915,041.45","4,008,863.38","915,477.88","2,138,951.00","3,377,941.86","4,463,568.89","1,173,907.62","2,367,100.98","3,777,992.47","6,467,473.54","1,812,470.03","4,356,175.14","6,766,600.05","13,272,047.72","3,418,146.36","8,279,297.58","13,658,752.99","20,176,411.43","5,023,035.14"
营业外收入,"2,230,294.49","905,483.63","6,036,718.45","40,000.00","40,050.00","2,390,091.88","2,463,460.00","15,296,325.93","15,831,097.90","23,663,292.90","28,444,205.30","8,533.27","718,747.92","2,652,268.79","5,267,777.26","480,654.23","905,363.55","2,789,161.24","6,947,973.73","499,393.05","4,704,147.36","19,106,197.20","15,368,200.63","769,008.94","3,369,021.40","6,397,986.07","2,164,934.07","273,591.63"
销售费用,"6,289,369.08","6,803,179.23","11,035,429.86","2,112,054.40","5,337,657.83","10,373,440.44","16,167,920.21","2,640,167.34","7,138,241.91","11,515,599.04","17,795,218.63","8,065,948.45","17,449,074.66","27,265,683.05","36,032,712.39","7,819,323.02","17,615,925.01","32,943,364.54","80,329,075.61","24,070,998.22","63,224,710.05","100,423,757.60","194,920,857.17","53,788,789.80","131,207,133.85","226,129,847.35","333,548,308.15","84,111,207.31"
减:营业外支出,"332,289.33","122,338.70","23,173.36","4,450.14","4,450.14","36,106.00","385,206.90","12,834.27","20,145.77","55,316.57","73,754.49","15,661.72","36,347.88","51,238.60","74,706.70","105,432.37","110,150.89","110,355.53","681,551.80","39,975.03","43,547.98","798,579.28","1,882,576.16","652,089.78","836,980.76","1,516,707.92","944,643.33","130,854.60"
管理费用,"15,466,478.30","19,385,767.39","27,699,142.01","8,923,468.66","16,289,173.03","26,329,752.83","36,455,172.69","12,254,584.56","23,528,862.91","35,885,575.12","58,972,516.52","18,612,001.05","43,050,695.60","66,740,341.43","88,580,352.70","22,213,220.49","42,820,394.18","63,853,987.82","97,959,654.73","25,091,098.66","43,793,938.30","68,028,379.78","109,222,292.67","35,467,223.22","68,685,958.19","102,344,636.32","145,470,479.14","42,368,146.18"
其中:非流动资产处置净损失,,,,,"1,450.14","1,450.14","352,206.90","3,160.86","3,372.36","3,776.76","14,517.00","3,936.98","21,257.45","23,956.71","62,644.87","72,194.37","72,194.37","72,399.01","88,871.08",,"88,871.08",,"951,924.16",,"475,210.84","772,683.91",,
