科目,2007年度,2008年度,2009年1-3月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"2,297,041,981.59","2,070,305,506.44","418,464,614.39","1,885,928,870.49","502,801,372.83","919,938,148.49","1,320,507,886.55","1,956,204,807.11","467,896,313.93","914,976,628.08","1,482,753,863.95","2,152,549,116.87","710,941,478.66","1,482,214,126.12","1,902,464,197.15","3,080,173,078.82","861,749,492.98","1,401,312,877.42","2,026,614,150.22","3,254,638,393.54","721,663,927.40","1,469,981,714.24","2,064,694,098.44","2,650,202,647.36","615,529,624.30","1,327,971,003.96","1,975,728,643.23","2,851,868,703.14","510,278,217.25","1,131,301,838.82","1,706,253,548.80","2,384,142,107.29","737,633,352.19","1,747,651,751.70","2,574,633,027.13","3,537,917,135.16","1,197,484,036.05","2,376,800,186.63","3,951,145,980.66","4,484,386,068.61","1,269,174,347.46"
取得子公司及其他营业单位支付的现金净额,"47,050,701.85","16,370,688.86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"233,211.05","8,336,747.86","1,849,465.27","9,900,132.58","1,478,700.58","3,772,492.00",,"3,263,430.21",,,,"4,926,318.25","941,271.11","6,074,556.14","7,273,209.02","10,840,482.86","1,208,554.75","10,282,708.24","10,317,341.24","16,186,393.82","1,912,165.43","2,543,168.68","3,948,760.08","9,980,723.95","2,887,506.46","4,351,465.58","22,832,768.81","27,903,036.22","2,681,930.28","4,402,581.21","6,819,675.02","8,652,786.51","3,866,192.22","5,257,110.65","8,734,709.42","18,719,905.48","13,335,081.74","14,625,434.75","33,482,900.88","35,325,241.53","5,848,106.74"
支付其他与投资活动有关的现金,"48,085,168.51",,,,"15,042,315.60",,,,,,"223,376.15",,"1,324,612.28","3,316,461.97","4,083,709.23","421,900.00","46,294,903.00","46,294,903.00","46,294,903.00",,,,,,,,,"60,000,000.00",,,,,,,,"102,800,000.00",,,,"657,000,000.00",
收到其他与经营活动有关的现金,"44,818,875.88","50,470,775.30","24,679,392.75","103,994,616.25","87,657,421.91","41,291,737.86","68,155,693.25","229,129,574.74","57,583,540.21","70,779,182.25","105,806,539.79","88,958,931.97","18,690,314.03","48,567,375.52","96,172,122.23","81,511,078.61","25,214,389.45","43,902,311.29","88,742,994.76","145,582,584.38","21,651,818.26","88,616,663.26","103,472,291.73","145,103,725.17","21,462,436.97","30,907,477.57","45,700,745.69","63,781,340.91","24,656,010.83","39,723,247.33","50,326,150.74","57,937,769.95","16,693,646.41","36,783,164.83","70,759,881.22","82,538,225.69","24,281,491.97","48,201,403.11","667,705,848.80","164,374,130.89","17,819,764.72"
投资活动现金流出小计,"218,158,956.19","457,057,307.52","180,221,434.33","250,662,043.45","148,321,413.89","195,661,610.35","296,014,272.83","379,583,984.09","77,087,232.62","256,028,727.29","375,176,421.99","842,127,341.81","115,373,928.36","586,720,101.56","1,164,129,982.46","1,474,832,744.12","456,543,621.78","799,844,703.43","1,112,284,578.42","1,400,546,518.78","49,093,528.79","78,038,184.57","107,074,091.21","640,076,537.33","189,872,302.65","111,845,106.61","125,682,202.05","384,744,265.95","27,811,427.13","290,664,809.81","299,409,779.07","1,106,307,646.69","5,014,631.74","12,359,098.08","47,371,982.24","189,761,884.17","38,366,972.90","92,440,422.72","99,446,903.38","1,056,688,834.02","199,081,439.24"
经营活动现金流入小计,"2,342,094,068.52","2,129,113,029.60","444,993,472.41","1,999,823,619.32","591,937,495.32","965,002,378.35","1,388,663,579.80","2,188,597,812.06","525,479,854.14","985,755,810.33","1,588,560,403.74","2,246,434,367.09","730,573,063.80","1,536,856,057.78","2,005,909,528.40","3,172,524,640.29","888,172,437.18","1,455,497,896.95","2,125,674,486.22","3,416,407,371.74","745,227,911.09","1,561,141,546.18","2,172,115,150.25","2,805,287,096.48","639,879,567.73","1,363,229,947.11","2,044,262,157.73","2,943,553,080.27","537,616,158.36","1,175,427,667.36","1,763,399,374.56","2,450,732,663.75","758,193,190.82","1,789,692,027.18","2,654,127,617.77","3,639,175,266.33","1,235,100,609.76","2,439,627,024.49","4,652,334,730.34","4,684,085,441.03","1,292,842,218.92"
投资活动产生的现金流量净额,"-136,453,016.29","-364,177,233.27","-178,470,945.20","-137,360,629.19","-94,529,224.50","-177,010,625.19","-275,407,245.87","-351,586,115.79","-77,032,479.21","-248,008,705.68","-303,106,200.38","-746,314,471.95","-66,285,028.36","-496,680,874.27","-1,073,935,480.17","-1,358,031,450.84","-456,543,621.78","-747,733,097.78","-1,056,369,927.23","-1,297,942,457.73","-35,687,966.49","-11,902,243.23","-33,195,730.97","-486,236,071.55","-179,493,454.65","-101,056,962.61","-114,588,609.55","-371,326,892.71","-27,811,427.13","-230,159,560.69","-236,674,517.42","-955,367,144.32","3,141,095.96","-712,322.63","-35,641,687.61","-166,175,343.93","-28,366,972.90","-80,830,137.72","-87,201,618.38","-349,641,589.41","-191,388,278.24"
购买商品、接受劳务支付的现金,"1,386,468,832.79","1,365,957,352.65","271,495,597.28","1,229,105,633.75","455,551,137.93","546,421,117.69","857,333,449.43","1,148,826,542.39","420,651,594.38","734,079,114.96","1,075,575,280.35","1,310,663,104.63","539,172,547.15","835,078,478.62","1,008,740,868.84","1,966,881,007.85","223,824,187.43","695,387,175.31","1,250,799,282.87","1,923,763,902.21","400,467,924.65","886,118,180.38","1,413,873,164.33","1,583,248,995.71","299,112,052.98","662,598,542.40","1,041,793,436.46","1,468,348,407.33","312,771,910.99","614,216,850.28","932,235,776.48","1,027,526,100.96","317,375,609.71","883,132,203.65","1,273,728,203.37","1,649,164,484.08","504,503,923.76","1,213,052,611.39","2,104,695,541.18","1,953,785,084.44","648,864,926.52"
吸收投资收到的现金,"33,837,095.00","29,794,300.00",,"11,616,758.80",,"1,278,000,000.00","1,278,000,000.00","1,268,300,000.00",,"11,719,352.11","27,669,352.11","43,073,448.97",,"33,075,000.00","70,575,000.00","71,090,600.00","32,800,000.00","32,800,000.00","39,200,200.00","37,700,200.00","157,554,132.32","157,554,132.32","157,554,132.32","154,921,538.65",,,,"20,000,000.00",,,,,,,"944,162,226.47","944,162,226.47","1,519,068.06","1,519,648.40","5,919,648.40","5,913,688.40",
