科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2015年度
一、营业收入,"289,550,297.06","692,684,598.40","1,017,252,656.00","2,056,131,078.68","711,319,044.99","1,416,109,498.86","2,233,716,800.51","3,192,003,646.93","812,377,502.18","1,532,422,211.45","2,311,839,250.36","3,358,688,954.34","1,073,697,180.27","2,153,297,276.69","3,175,683,341.11","4,283,686,854.33","1,178,054,333.69","2,391,414,293.30","3,686,357,469.15","5,088,252,387.89","1,450,917,375.02","2,955,982,861.57","4,547,298,232.96","6,629,180,994.79","1,911,142,755.55","3,648,393,318.17","5,467,628,633.21","7,306,808,610.75","1,665,117,167.45","5,479,296,438.71"
二、营业利润,"60,835,652.93","134,693,069.31","210,958,757.22","435,567,747.62","156,764,012.82","262,569,364.36","332,399,321.57","457,869,117.56","55,471,230.61","24,885,888.73","-3,439,214.43","12,108,281.41","101,228,766.02","147,865,561.46","161,277,345.68","-9,367,530.04","-93,978,299.06","-325,856,175.71","-551,811,720.82","-854,782,753.51","-277,389,594.04","-666,887,514.98","-962,486,343.02","-1,259,880,145.00","-356,809,408.78","-729,073,267.06","-986,805,441.58","-5,849,551,402.74","-254,227,554.53","620,624,841.78"
减:营业成本,"214,647,493.23","535,528,739.20","765,426,129.31","1,524,962,938.09","504,341,231.77","1,029,197,389.20","1,703,322,227.85","2,462,734,471.25","684,376,026.95","1,342,428,507.78","2,058,498,758.41","3,071,597,352.48","871,250,989.54","1,792,682,096.70","2,750,607,041.29","3,839,884,299.71","1,095,883,070.38","2,364,311,608.43","3,752,961,938.92","5,279,356,100.45","1,511,970,948.57","3,183,061,550.82","4,966,758,014.16","7,111,293,354.98","2,029,606,589.01","3,882,256,040.93","5,856,637,470.18","7,717,791,878.73","1,711,533,318.09","4,425,850,390.04"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"3,800,487.76","7,629,673.80","11,615,507.26","28,650,431.28","10,561,410.71","19,082,624.52","30,212,960.48","42,386,774.13","10,567,552.16","21,171,533.59","33,076,264.40","46,678,647.45","14,873,827.21","27,988,020.60","38,691,264.58","51,797,664.06","15,367,216.16","26,730,602.02","37,441,101.80","50,498,100.98","12,214,143.41","21,804,951.35","31,897,400.53","32,987,723.25","1,836,739.55","3,499,504.97","5,352,475.10","7,523,276.35","1,323,462.57","4,891,968.14"
营业外收入,"6,816,878.48","12,324,945.59","25,124,308.60","53,014,224.60","182,902,894.73","189,349,671.01","206,743,021.40","235,336,985.50","2,162,002.74","21,522,798.92","30,911,909.55","51,333,728.75","83,000.00","128,300.00","11,604,142.77","25,335,108.78","4,033,332.29","14,457,908.64","27,520,354.74","48,752,522.85","5,018,312.29","21,794,227.18","22,990,436.36","24,978,797.88","45,334.78","6,282,716.55","7,205,788.35","11,258,639.39","234,446.00","21,092,111.39"
销售费用,"228,816.89","758,070.05","1,172,585.44","1,484,349.87","8,330,952.60","16,170,718.50","28,301,405.30","39,639,827.33","10,651,036.74","18,784,320.09","27,111,802.98","36,365,806.26","3,835,449.52","7,049,141.48","10,864,062.16","16,596,927.36","6,777,844.25","10,674,029.14","15,144,198.12","23,270,685.57","4,868,222.11","9,146,419.97","14,032,315.82","19,614,258.23","4,484,245.60","8,906,222.07","13,591,333.64","16,625,456.55","4,481,038.44","16,457,922.48"
减:营业外支出,,,"621,992.55","865,602.50","7,171.00","157,321.20","318,486.34","1,331,243.04","158,909.95","325,272.74","691,044.42","8,076,174.55","22,469.49","149,094.49","7,977,768.81","8,529,279.68","1,000.00","57,236.27","300,408.79","353,572.95","69,021.84","80,263.40","201,682.94","279,571.61","20,000.00","25,258.60","82,672.40","7,939,222.84","-5,573.84","861,834.15"
管理费用,"5,173,848.72","10,292,042.61","18,109,452.78","47,478,785.51","18,309,439.98","41,483,697.51","63,161,154.91","103,340,052.13","21,979,318.08","49,227,857.19","70,821,357.55","93,161,957.76","19,633,103.97","40,643,983.28","60,725,711.66","94,092,685.38","25,088,104.65","46,421,495.46","73,534,358.48","105,671,684.23","22,052,363.83","44,628,819.90","68,042,451.17","85,309,651.42","19,225,130.32","39,013,851.33","58,935,606.33","76,901,522.11","19,221,435.27","127,423,709.90"
其中:非流动资产处置净损失,,,,,,"22,484.91","39,794.05","267,792.96","50,000.00","214,847.59","493,069.82","214,847.59",,,"7,549,350.64","7,797,738.33",,"49,186.29","49,186.29","49,186.29","49,021.84","49,021.84","50,441.38","68,330.05",,,,"7,816,287.87",,"274,057.43"
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"4,442,060.67","3,361,066.57","9,618,571.63","24,570,533.43","12,622,324.47","48,098,448.73","75,825,472.42","90,008,531.75","29,332,337.64","73,376,120.54","117,025,263.03","85,036,452.73","62,875,044.01","137,068,473.17","153,517,915.74","287,535,105.35","128,918,425.29","269,142,565.92","360,095,185.45","486,051,685.98","177,230,795.27","364,862,099.33","429,624,109.12","640,877,075.93","212,771,659.85","445,183,890.89","522,173,790.91","686,264,469.70","184,443,727.25","283,724,583.65"
三、利润总额,"67,652,531.41","147,018,014.90","235,461,073.27","487,716,369.72","339,659,736.55","451,761,714.17","538,823,856.63","691,874,860.02","57,474,323.40","46,083,414.91","26,781,650.70","55,365,835.61","101,289,296.53","147,844,766.97","164,903,719.64","7,438,299.06","-89,945,966.77","-311,455,503.34","-524,591,774.87","-806,383,803.61","-272,440,303.59","-645,173,551.20","-939,697,589.60","-1,235,180,918.73","-356,784,074.00","-722,815,809.11","-979,682,325.63","-5,846,231,986.19","-253,987,534.69","640,855,119.02"
资产减值损失,"281,707.26","281,707.26","281,707.26","3,651,137.47","815,104.32","1,336,922.06","2,323,924.00","2,229,343.94",,"-124,814.81","-124,814.81","-132,787.22",,,,"3,147,702.51","-2,027.98","-9,831.96","-1,007,592.80","-1,813,115.81","-29,504.13","-8,054.13","55,695.87","-347,457.07","27,800.00","347,732.91","471,752.72","4,653,818,395.85","-512,694.88","323,022.72"
