科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月
销售商品、提供劳务收到的现金,"258,105,949.63","717,536,389.51","1,544,643,997.18","2,015,619,653.91","139,888,907.26","418,815,192.00","569,988,137.40","605,406,923.19","44,334,173.46","254,172,042.52"
取得子公司及其他营业单位支付的现金净额,,,,"390,000,000.00",,,,"100,000,000.00",,
收到的税费返还,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,
收到其他与经营活动有关的现金,"37,575,465.82","73,527,091.58","82,837,788.85","81,648,325.85","4,644,137.04","59,804,283.29","61,677,010.35","69,809,783.05","1,430,034.23","41,216,606.51"
投资活动现金流出小计,"1,866,273.60","112,458,968.60","123,415,529.60","404,960,300.60","1,506,822.00","86,541,295.00","103,590,715.00","104,033,993.04","7,269.00","219,769.00"
经营活动现金流入小计,"295,681,415.45","791,063,481.09","1,627,481,786.03","2,097,267,979.76","144,533,044.30","478,619,475.29","631,665,147.75","675,216,706.24","45,764,207.69","295,388,649.03"
投资活动产生的现金流量净额,"1,138,749.48","-107,433,297.05","-116,557,162.64","-391,242,592.56","-1,364,760.75","-80,399,233.75","-97,448,653.75","-97,892,397.71","10,793,810.60","16,707,205.60"
购买商品、接受劳务支付的现金,"187,063,281.28","347,681,685.28","489,232,608.93","588,545,738.45","127,588,096.81","186,230,705.51","231,348,007.18","254,443,517.62","39,107,844.54","51,498,982.77"
吸收投资收到的现金,,,,,,,,,,
支付给职工以及为职工支付的现金,"4,156,723.06","7,079,316.19","10,146,286.79","14,853,543.74","6,495,310.63","8,624,370.57","12,107,954.64","16,706,031.07","5,377,906.21","8,312,740.86"
取得借款收到的现金,"190,000,000.00","225,000,000.00","415,000,000.00","480,000,000.00",,,"190,000,000.00","225,000,000.00",,
支付的各项税费,"30,813,104.79","99,187,752.01","162,804,769.55","204,702,889.55","116,715,807.16","339,308,748.15","377,643,345.48","386,081,518.12","4,873,533.94","59,765,749.23"
收到其他与筹资活动有关的现金,,,,,,,,,,
支付其他与经营活动有关的现金,"144,781,934.70","50,784,749.91","82,209,788.49","96,138,935.02","5,995,820.04","32,893,400.05","40,209,879.93","50,444,799.58","4,340,875.32","8,315,229.90"
筹资活动现金流入小计,"190,000,000.00","225,000,000.00","415,000,000.00","480,000,000.00",,,"190,000,000.00","225,000,000.00",,
经营活动现金流出小计,"366,815,043.83","504,733,503.39","744,393,453.76","904,241,106.76","256,795,034.64","567,057,224.28","661,309,187.23","707,675,866.39","53,700,160.01","127,892,702.76"
偿还债务支付的现金,"105,000,000.00","145,000,000.00","725,000,000.00","775,000,000.00",,"61,000,000.00","270,000,000.00","540,000,000.00",,
经营活动产生的现金流量净额,"-71,133,628.38","286,329,977.70","883,088,332.27","1,193,026,873.00","-112,261,990.34","-88,437,748.99","-29,644,039.48","-32,459,160.15","-7,935,952.32","167,495,946.27"
分配股利、利润或偿还利息支付的现金,"14,660,885.48","36,837,236.37","59,186,753.74","159,414,267.25","10,000,586.57","19,461,518.11","30,365,872.54","37,345,572.75","3,726,903.90","7,374,261.81"
收回投资收到的现金,"1,518,240.00","2,987,240.00","3,439,005.00","9,994,377.93","32,340.00","32,340.00","32,340.00","97,061.25","9,550,000.00","9,650,000.00"
支付其他与筹资活动有关的现金,,,,,,,,,,
取得投资收益收到的现金,"1,486,783.08","2,038,431.55","3,419,361.96",,"64,721.25","6,064,721.25","6,064,721.25","6,000,000.00","1,251,079.60","7,276,974.60"
筹资活动现金流出小计,"119,660,885.48","181,837,236.37","784,186,753.74","934,414,267.25","10,000,586.57","80,461,518.11","300,365,872.54","577,345,572.75","3,726,903.90","7,374,261.81"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,"122,734.52","45,000.00","45,000.00","45,000.00","44,534.08",,
筹资活动产生的现金流量净额,"70,339,114.52","43,162,763.63","-369,186,753.74","-454,414,267.25","-10,000,586.57","-80,461,518.11","-110,365,872.54","-352,345,572.75","-3,726,903.90","-7,374,261.81"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,
收到其他与投资活动有关的现金,,,,"3,600,595.59",,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,
投资活动现金流入小计,"3,005,023.08","5,025,671.55","6,858,366.96","13,717,708.04","142,061.25","6,142,061.25","6,142,061.25","6,141,595.33","10,801,079.60","16,926,974.60"
五、现金及现金等价物净增加额,"344,235.62","222,059,444.28","397,344,415.89","347,370,013.19","-123,627,337.66","-249,298,500.85","-237,458,565.77","-482,697,130.61","-869,045.62","176,828,890.06"
购建固定资产、无形资产和其他长期资产支付的现金,"131,913.60","492,568.60","1,603,714.60","2,038,570.60","1,474,482.00","1,508,955.00","1,556,375.00","1,999,653.04","7,269.00","119,769.00"
期初现金及现金等价物余额,"219,231,698.19",,,"218,731,698.19","567,334,311.38","567,334,311.38","567,334,311.38","566,101,711.38","83,951,626.78","83,404,580.77"
投资支付的现金,"1,734,360.00","111,966,400.00","121,811,815.00","12,921,730.00","32,340.00","85,032,340.00","102,034,340.00","2,034,340.00",,"100,000.00"
期末现金及现金等价物余额,"219,575,933.81",,,"566,101,711.38","443,706,973.72","318,035,810.53","329,875,745.61","83,404,580.77","83,082,581.16","260,233,470.83"
