科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"52,384,582.24","64,095,647.98","32,279,853.84","86,481,627.87","42,412,480.89","70,360,627.10","113,348,964.84","30,402,467.02","64,236,208.63","107,231,347.91","173,879,897.85","41,405,915.97","86,851,800.92","132,280,928.88","194,995,210.21","43,797,611.71","86,580,745.59","138,099,808.76","173,864,168.55","63,671,362.55","94,335,790.67","103,929,407.74","179,044,586.84","12,779,403.56","37,915,379.95","60,960,880.63","165,066,017.10","11,961,582.58","53,979,455.53","87,126,306.26","230,358,279.45","45,308,143.67","90,998,559.97","160,097,496.83","422,911,717.94","27,469,686.21","114,380,794.37","173,076,186.36","446,156,028.97","50,747,854.84"
二、营业利润,"21,249,415.92","33,357,494.77","14,828,037.79","40,892,009.11","17,904,270.22","32,779,461.32","60,006,955.83","17,687,258.06","32,271,285.24","54,619,261.95","86,647,897.93","20,961,502.19","41,844,512.39","63,533,181.15","86,889,982.20","22,274,977.89","39,569,799.36","62,286,602.07","65,736,771.49","23,089,671.38","21,760,261.04","6,090,906.49","226,139.13","-6,099,038.01","-7,365,723.31","-8,893,599.60","24,961,237.15","-4,073,143.77","4,157,690.47","-1,825,553.65","46,063,838.97","6,632,203.01","10,144,296.04","26,633,662.55","126,361,342.48","343,571.39","22,057,478.92","22,639,283.83","102,342,558.19","-4,781,273.97"
减:营业成本,"20,666,284.00","11,266,790.86","6,195,913.02","17,158,080.41","8,142,409.41","13,385,830.34","20,918,819.11","5,408,566.75","13,084,889.50","25,396,910.77","39,343,450.63","8,345,724.47","18,340,773.03","28,893,140.31","45,634,945.35","9,394,544.25","19,494,673.69","32,472,497.82","43,640,053.80","19,363,834.94","29,253,687.04","37,150,677.40","64,060,993.12","5,012,558.67","16,997,164.00","27,446,776.73","76,774,154.08","2,742,652.53","20,355,029.90","36,859,805.11","107,277,515.09","19,302,363.52","42,187,903.50","69,902,478.43","200,285,891.59","14,059,372.50","54,041,323.20","78,277,984.44","218,997,546.37","25,352,171.64"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"551,119.53","953,778.05","456,777.24","1,325,547.79","640,589.67","1,007,341.99","1,664,950.19","275,491.86","682,150.81","1,209,374.59","2,144,260.96","549,906.32","1,093,104.99","1,728,635.77","3,328,363.56","932,447.53","1,304,324.45","1,555,935.90","2,830,681.81","983,151.79","1,099,085.54","1,228,615.87","1,893,491.07","208,482.51","446,623.98","705,136.23","3,123,703.57","248,372.90","702,664.75","996,283.64","4,541,977.56","454,234.93","1,068,828.72","1,730,297.90","9,173,116.36","2,417,702.34","3,856,967.56","5,206,621.14","11,636,085.90","1,646,250.66"
营业外收入,"226,677.27","7,509,776.76","6,506,286.85","10,702,678.89","1,616,628.36","2,662,636.98","11,962,254.84","160,000.00","1,012,505.58","1,044,505.58","12,591,183.00","2,124,404.17","2,213,017.39","4,939,338.21","23,292,833.16","2,841,802.23","2,953,802.23","3,376,771.96","7,807,159.74","2,555,758.66","3,868,212.20","4,717,186.07","10,143,057.90","1,049,048.23","1,610,727.23","2,102,507.11","11,342,977.89","174,417.69","861,926.39","4,213,554.23","9,524,209.14","1,865,359.41","840,096.67","952,992.96","1,755,166.91","199,059.12","1,733,497.30","2,001,550.24","1,876,333.74","219,908.50"
销售费用,"2,886,569.75","7,244,107.17","4,253,262.32","11,228,003.15","7,796,387.18","12,914,254.32","17,210,092.81","5,602,948.81","12,453,077.26","17,885,171.56","29,852,784.28","8,774,029.54","17,652,429.52","27,475,632.23","40,398,127.53","7,874,348.44","17,238,118.18","27,759,697.12","37,870,163.90","11,767,354.98","22,225,337.64","34,266,685.69","47,285,340.80","6,400,047.67","12,742,055.00","18,042,077.53","25,598,754.39","4,114,534.32","9,473,793.60","22,247,059.10","27,370,797.55","3,216,802.30","13,348,299.82","18,967,936.62","29,881,768.15","6,745,313.73","14,682,921.97","25,685,872.19","43,722,342.35","11,283,267.92"
减:营业外支出,"30,022.61","301,000.00",200.00,"37,158.82",,,56.68,,"23,803.03","23,803.03","23,803.03",,,990.40,"483,380.01",,"29,255.60","39,255.60","39,255.60",,,"40,000.00","483,269.35","219,343.00","647,093.00","647,093.00","647,093.00","97,159.81","848,358.50","2,485,036.75","3,629,786.06","91,568.46","920,701.22","1,095,716.92","2,072,796.21","371,094.93","474,069.34","1,666,421.84","2,659,825.54","27,834.17"
管理费用,"6,319,246.52","10,537,381.50","6,396,161.45","14,869,887.28","7,757,876.03","10,197,497.84","16,550,368.64","4,186,963.87","11,340,220.17","16,809,846.35","24,366,814.36","6,188,472.95","13,643,676.72","19,894,632.09","28,112,374.97","6,303,195.45","13,170,834.18","20,202,192.36","29,719,102.74","11,714,580.07","21,544,866.02","31,969,302.28","44,096,632.45","10,052,999.30","19,533,575.54","29,219,692.13","40,171,356.95","13,016,018.20","23,655,541.58","35,513,291.17","58,631,507.74","16,285,788.18","35,255,984.82","54,652,546.43","77,947,892.50","19,801,713.29","42,238,372.29","41,432,889.93","57,829,736.41","13,608,854.41"
其中:非流动资产处置净损失,,,,,,,56.68,,,,"5,777.61",,,,"25,172.50",,,,,,,,,,,,"19,343.00",,,,,,,,,,,,,
