科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"42,859,269.74","68,909,502.55","35,984,528.85","85,784,426.61","46,818,696.07","64,845,713.40","96,339,769.70","26,383,840.54","52,895,320.81","86,861,234.80","135,273,725.34","42,436,750.36","86,842,562.18","125,722,448.76","169,460,031.88","45,338,974.54","95,522,663.94","132,418,163.03","169,508,653.33","40,572,591.35","78,944,642.75","120,417,807.38","174,619,458.34","30,373,298.07","63,462,892.54","98,735,943.90","149,499,301.47","29,995,499.16","66,792,595.63","110,374,530.15","206,798,060.25","34,821,210.83","132,532,589.30","212,756,864.67","360,324,880.67","40,685,335.83"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,"3,233,754.42","3,233,754.42","4,915,710.46",,,,,,,,"71,857,037.00",,,,,
收到的税费返还,,"1,624,055.76","656,286.85","2,829,712.89","1,593,198.22","2,619,206.84","4,010,884.70",,"765,457.81","765,457.81","5,004,064.00","1,559,677.93","1,559,677.93","3,846,880.96","9,595,898.70","2,241,802.23","2,241,802.23","2,545,714.28","4,901,315.30","806,794.96","3,813,841.40","6,121,613.22","6,482,005.61","4,564,550.16","10,415,401.18","10,872,163.56","13,059,155.44","4,869,085.24","5,420,567.44","5,834,319.18","30,074,015.19","1,206,078.66","5,191,972.02","5,883,782.36","7,593,096.80","3,660,741.83"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,"1,530,828.18",,,"185,000.00",,"10,165,757.52","10,165,757.52","10,165,757.52",,,,,,,,,
收到其他与经营活动有关的现金,"1,861,731.30","6,221,988.67","10,120,975.13","14,991,996.29","3,285,217.16","4,689,021.92","13,466,695.71","3,571,243.26","12,665,186.56","17,718,399.66","22,692,765.25","11,581,450.44","11,601,434.15","16,735,118.23","30,754,331.05","4,418,024.90","7,720,488.15","12,145,354.27","13,528,951.84","5,873,337.52","16,999,803.72","22,055,149.44","20,311,546.16","7,597,883.59","11,357,455.28","13,558,997.98","17,472,890.87","4,205,598.05","15,927,147.07","12,045,479.63","52,999,846.93","4,678,274.82","6,467,097.57","24,114,925.88","22,250,486.29","6,164,719.97"
投资活动现金流出小计,"7,795,990.87","19,780,113.14","9,491,815.75","29,314,944.48","4,420,472.39","9,081,775.07","24,142,265.33","23,176,026.33","32,807,626.56","46,671,999.90","203,408,209.68","80,147,759.60","146,764,769.04","154,970,371.64","223,582,923.91","65,388,006.50","182,650,503.02","283,413,733.79","316,457,694.61","130,109,614.17","136,673,390.90","160,231,712.74","167,865,490.65","3,457,588.60","15,701,471.20","19,271,363.80","183,468,522.35","5,101,722.12","6,619,748.85","25,886,498.82","129,844,176.10","4,190,477.88","5,541,443.20","9,892,065.94","494,820,300.80","198,595,580.28"
经营活动现金流入小计,"44,721,001.04","76,755,546.98","46,761,790.83","103,606,135.79","51,697,111.45","72,153,942.16","113,817,350.11","29,955,083.80","66,325,965.18","105,345,092.27","162,970,554.59","55,577,878.73","100,003,674.26","146,304,447.95","209,810,261.63","51,998,801.67","105,484,954.32","147,109,231.58","187,938,920.47","47,252,723.83","99,758,287.87","148,594,570.04","201,413,010.11","42,535,731.82","85,235,749.00","123,167,105.44","180,031,347.78","39,070,182.45","88,140,310.14","128,254,328.96","289,871,922.37","40,705,564.31","144,191,658.89","242,755,572.91","390,168,463.76","50,510,797.63"
投资活动产生的现金流量净额,"-7,767,925.66","-19,780,113.14","-9,491,815.75","-29,294,944.48","-4,247,101.61","-8,908,404.29","-23,965,947.55","-23,176,026.33","-32,805,626.56","-46,669,999.90","-203,407,954.12","50,571,130.81","45,023,369.80","97,822,458.50","29,847,638.23","-4,744,773.62","-46,270,831.79","-38,959,480.65","-48,706,742.48","-31,884,194.66","-4,001,553.58","55,280,532.80","49,213,272.70","1,674,020.99","-10,701,471.20","-14,014,532.66","-3,033,318.18","-4,711,924.24","-5,944,601.42","-25,027,601.84","-128,401,776.50","-4,040,477.88","-4,225,023.92","-7,343,432.69","-89,039,966.21","-18,477,675.58"
购买商品、接受劳务支付的现金,"24,502,798.36","26,447,745.29","6,655,028.66","16,023,099.68","8,243,625.85","13,349,380.92","15,604,519.49","5,382,638.98","13,946,378.36","23,188,560.40","30,503,467.88","11,407,529.56","20,074,930.93","27,539,158.81","54,171,617.84","8,221,459.24","12,998,137.60","31,284,787.45","37,422,984.94","11,479,751.50","29,029,613.76","52,387,667.61","82,041,696.82","10,080,106.69","25,740,223.53","43,831,418.22","87,081,315.37","22,260,068.74","36,588,840.04","51,808,189.05","83,021,472.14","19,740,061.01","42,238,808.05","87,082,296.86","157,375,554.27","30,593,002.12"
吸收投资收到的现金,"700,000.00","16,800,000.00",,,,"467,828,130.00","467,828,130.00",,,,,,,,,,,,,,,,,,,,,,,,"179,999,992.02",,,,"35,786,400.01",
