科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"2,481,370,041.64","3,272,890,098.83","4,080,623,108.77","2,295,468,629.82","3,428,616,627.91","4,610,184,709.62","1,972,910,941.76","3,644,110,281.14","5,013,698,398.43"
取得子公司及其他营业单位支付的现金净额,"100,000.00",,,"8,997,427.62","8,997,427.62","8,997,427.62",,,
收到的税费返还,"42,535,300.03","50,995,240.96","58,584,827.29","26,733,405.33","56,218,093.21","63,059,713.36","19,246,573.32","31,274,335.06","49,288,415.11"
支付其他与投资活动有关的现金,,,"1,956,934.17","5,402,071.00","7,543,071.00","7,543,071.00",,"1,094,000,000.00","2,368,090,000.00"
收到其他与经营活动有关的现金,"63,530,790.10","50,637,675.77","66,793,435.94","42,604,562.02","48,011,301.72","72,857,893.64","17,772,263.34","59,740,795.89","81,796,517.64"
投资活动现金流出小计,"174,773,798.76","429,701,028.15","594,186,472.81","394,187,508.20","644,661,457.43","822,889,756.97","229,891,904.82","1,511,340,351.64","3,002,990,295.67"
经营活动现金流入小计,"2,587,436,131.77","3,374,523,015.56","4,206,001,372.00","2,364,806,597.17","3,532,846,022.84","4,746,102,316.62","2,009,929,778.42","3,735,125,412.09","5,144,783,331.18"
投资活动产生的现金流量净额,"-150,467,332.30","-422,178,189.15","-565,828,945.45","-391,928,840.90","-635,192,147.43","-809,600,209.27","-229,451,904.82","-1,079,393,640.18","-1,828,816,078.46"
购买商品、接受劳务支付的现金,"1,412,509,266.54","1,666,514,073.76","2,182,632,395.09","1,106,699,035.52","1,755,906,856.72","2,509,335,777.25","898,389,696.76","1,711,669,194.95","2,578,792,103.59"
吸收投资收到的现金,"1,080,000.00","1,235,294.12",,,,"1,406,208,900.00","1,250,000.00","8,770,000.00","8,770,000.00"
支付给职工以及为职工支付的现金,"490,737,924.59","741,770,888.15","1,024,792,886.30","507,445,258.61","798,958,679.30","1,177,103,167.83","339,276,151.06","650,262,525.73","1,059,324,375.61"
取得借款收到的现金,"1,187,914,600.58","1,274,140,040.18","2,029,824,676.66","1,176,107,008.33","2,081,475,702.15","2,793,496,863.39","356,431,047.75","769,037,711.88","1,437,648,770.88"
支付的各项税费,"190,607,115.33","233,405,554.65","281,032,557.95","134,298,711.52","190,726,259.80","327,416,069.74","98,177,425.27","174,252,570.64","238,692,638.38"
收到其他与筹资活动有关的现金,,,,"78,800,496.31","78,800,496.31","78,800,496.31",,,
支付其他与经营活动有关的现金,"226,313,803.71","271,290,573.49","294,353,881.85","178,040,782.27","242,152,809.58","467,408,479.49","137,252,208.68","210,914,304.14","374,405,703.17"
筹资活动现金流入小计,"1,188,994,600.58","1,275,375,334.30","2,029,824,676.66","1,254,907,504.64","2,160,276,198.46","5,070,506,259.70","357,681,047.75","777,807,711.88","1,446,418,770.88"
经营活动现金流出小计,"2,320,168,110.17","2,912,981,090.05","3,782,811,721.19","1,926,483,787.92","2,987,744,605.40","4,481,263,494.31","1,473,095,481.77","2,747,098,595.46","4,251,214,820.75"
偿还债务支付的现金,"1,297,276,302.60","1,115,619,885.21","1,579,424,712.36","1,216,520,414.00","1,894,953,348.60","3,105,859,556.32","411,539,962.96","735,718,894.79","1,320,567,799.36"
经营活动产生的现金流量净额,"267,268,021.60","461,541,925.51","423,189,650.81","438,322,809.25","545,101,417.44","264,838,822.31","536,834,296.65","988,026,816.63","893,568,510.43"
分配股利、利润或偿还利息支付的现金,"76,285,397.49","110,031,965.67","194,088,349.27","216,143,073.25","229,890,498.13","245,937,198.74","9,742,779.97","133,708,866.14","232,068,878.29"
收回投资收到的现金,,,,,,,,,
支付其他与筹资活动有关的现金,"9,335,676.96","2,227,762.68","78,800,496.31","8,814,096.41",,"4,620,000.00","13,400,000.00","12,290,000.00","12,290,000.00"
取得投资收益收到的现金,,"5,822,185.00","1,950,000.00",,,,,"2,551,786.80","4,913,959.30"
筹资活动现金流出小计,"1,382,897,377.05","1,227,879,613.56","1,852,313,557.94","1,441,477,583.66","2,124,843,846.73","3,356,416,755.06","434,682,742.93","881,717,760.93","1,564,926,677.65"
处置固定资产、无形资产和其他长期资产收回的现金净额,"15,220,111.83","1,700,654.00","4,397,527.36","208,667.30","2,419,310.00","2,579,547.70","440,000.00","444,055.00","1,078,755.00"
筹资活动产生的现金流量净额,"-193,902,776.47","47,495,720.74","177,511,118.72","-186,570,079.02","35,432,351.73","1,714,089,504.64","-77,001,695.18","-103,910,049.05","-118,507,906.77"
处置子公司及其他营业单位收到的现金净额,,,"2,500,000.00",,,,,"18,950,869.66","84,181,502.91"
四、汇率变动对现金的影响,"-3,973,724.67","4,564,084.09","36,159,652.61","404,907.87","10,539,411.32","20,320,205.78","1,560,790.25","-15,395,449.98","-39,650,631.33"
收到其他与投资活动有关的现金,"9,086,354.63",,"19,510,000.00","2,050,000.00","7,050,000.00","10,710,000.00",,"410,000,000.00","1,084,000,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,
投资活动现金流入小计,"24,306,466.46","7,522,839.00","28,357,527.36","2,258,667.30","9,469,310.00","13,289,547.70","440,000.00","431,946,711.46","1,174,174,217.21"
五、现金及现金等价物净增加额,"-81,075,811.84","91,423,541.19","71,031,476.69","-139,771,202.80","-44,118,966.94","1,189,648,323.46","231,941,486.90","-210,672,322.58","-1,093,406,106.13"
