科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"1,694,895,498.35","1,571,725,308.10","1,554,581,955.63","806,909,628.71","1,281,187,860.67","1,630,708,208.10","344,668,651.68","875,936,167.70","1,415,543,088.20","1,783,803,111.96","370,334,223.13","945,793,617.67","1,550,632,589.26","2,033,133,663.11","447,185,265.49","1,156,138,683.87","1,869,793,041.99","2,266,897,814.85"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,
收到的税费返还,"24,007,807.21","28,786,658.54","43,275,662.80","23,984,038.34","24,335,339.14","32,351,707.82","7,764,306.87","17,133,637.57","24,996,362.16","22,325,534.16","7,357,915.00","22,595,190.97","24,024,667.66","29,660,334.69","8,355,984.39","27,957,864.40","34,335,910.07","39,942,188.24"
支付其他与投资活动有关的现金,,"178,423.00",,"763,517.50","993,711.50","893,713.50",,,"330,503.40","410,000,000.00","30,000,000.00","140,000,000.00","190,000,000.00","195,196,915.00",,"407,888.36","626,969.87","230,895,247.45"
收到其他与经营活动有关的现金,"26,201,797.36","47,987,363.39","22,344,612.91","3,458,028.58","17,996,798.10","17,402,093.80","49,405,380.21","81,984,617.04","94,999,095.36","103,973,093.85","2,198,770.30","27,267,729.75","27,969,388.42","37,390,526.10","3,098,508.76","12,620,294.80","15,796,660.50","31,054,505.89"
投资活动现金流出小计,"99,602,942.39","72,545,866.09","146,847,517.45","37,189,685.50","59,255,050.14","100,682,312.97","19,989,879.13","339,990,671.12","382,417,811.90","532,012,769.26","73,420,567.58","221,633,229.50","321,419,182.25","449,242,476.43","101,532,315.54","189,948,532.74","219,509,748.50","527,687,487.83"
经营活动现金流入小计,"1,745,105,102.92","1,648,499,330.03","1,620,202,231.34","834,351,695.63","1,323,519,997.91","1,680,462,009.72","401,838,338.76","975,054,422.31","1,535,538,545.72","1,910,101,739.97","379,890,908.43","995,656,538.39","1,602,626,645.34","2,100,184,523.90","458,639,758.64","1,196,716,843.07","1,919,925,612.56","2,337,894,508.98"
投资活动产生的现金流量净额,"-78,441,486.03","-71,023,700.06","-145,244,629.70","-36,949,606.25","-56,103,382.74","-96,939,006.00","-19,950,687.13","-138,556,216.78","-179,996,734.14","-169,720,659.94","17,345,635.16","-131,188,727.76","-100,554,327.23","-194,219,270.08","-101,413,423.54","-189,465,532.74","-218,899,317.70","-525,788,487.83"
购买商品、接受劳务支付的现金,"1,386,880,723.94","1,264,321,201.47","1,258,516,399.55","584,429,231.58","930,033,051.28","1,277,134,380.58","358,398,296.47","674,248,104.10","1,027,124,849.56","1,282,407,663.27","368,098,640.39","725,556,730.40","1,161,873,335.99","1,575,208,643.81","591,022,977.36","1,113,805,263.06","1,553,244,932.40","1,814,168,304.19"
吸收投资收到的现金,,,,,,"443,171,600.00",,,,"34,418,700.00",,,,"3,871,800.00",,,"877,068,794.68","877,068,794.68"
支付给职工以及为职工支付的现金,"93,001,109.64","107,441,043.07","127,751,607.77","82,158,056.99","113,534,794.49","142,613,491.41","57,589,019.10","91,192,386.07","126,310,915.03","161,703,663.57","60,779,625.78","99,377,586.30","134,965,354.09","175,647,865.78","67,426,601.49","111,320,824.33","153,728,389.01","198,616,639.87"
取得借款收到的现金,"709,857,064.83","730,129,407.82","846,245,235.21","501,309,230.45","744,259,841.85","908,567,527.92","144,799,146.92","228,866,651.84","260,764,842.86","228,478,655.00","37,802,573.81","124,286,934.38","121,873,569.78","133,867,065.40","593,323,333.67","705,213,333.67","722,411,744.97","722,411,744.97"
支付的各项税费,"80,314,494.04","51,367,544.50","66,331,063.18","33,728,532.97","63,144,163.84","78,652,498.23","13,768,307.45","32,791,769.81","70,634,143.14","82,200,075.86","14,659,513.54","39,468,395.98","78,697,542.06","94,715,126.07","5,048,270.86","21,921,632.30","50,299,189.43","70,986,595.12"
收到其他与筹资活动有关的现金,,"4,960,000.00",,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"79,926,838.74","98,518,815.98","83,394,979.32","32,651,673.35","57,628,237.16","68,618,597.33","152,825,950.44","99,579,245.72","113,555,999.07","152,344,083.46","39,717,495.29","57,513,449.34","70,440,717.89","98,758,070.09","16,741,471.77","36,206,423.98","56,794,587.60","85,134,654.13"
筹资活动现金流入小计,"709,857,064.83","735,089,407.82","846,245,235.21","501,309,230.45","744,259,841.85","1,351,739,127.92","144,799,146.92","228,866,651.84","260,764,842.86","262,897,355.00","37,802,573.81","124,286,934.38","121,873,569.78","137,738,865.40","593,323,333.67","705,213,333.67","1,599,480,539.65","1,599,480,539.65"
经营活动现金流出小计,"1,640,123,166.36","1,521,648,605.02","1,535,994,049.82","732,967,494.89","1,164,340,246.78","1,567,018,967.55","582,581,573.46","897,811,505.70","1,337,625,906.80","1,678,655,486.16","483,255,275.00","921,916,162.02","1,445,976,950.03","1,944,329,705.75","680,239,321.48","1,283,254,143.67","1,814,067,098.44","2,168,906,193.31"
