科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"80,003,553.51","90,534,905.34","67,115,409.58","75,424,712.79","96,785,555.00","121,398,705.08","94,704,710.62","103,547,801.86","135,423,970.04","170,182,526.97","83,179,511.71"
短期借款,"394,290,000.00","416,000,000.00","480,000,000.00","485,000,000.00","296,000,000.00","328,000,000.00","287,000,000.00","340,000,000.00","360,000,000.00","360,000,000.00","300,000,000.00"
交易性金融资产,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,
应收票据,,,,,,,,,,,
应付票据,"110,410,000.00","179,360,000.00","96,820,000.00","83,350,000.00","138,230,000.00","180,220,000.00","137,000,000.00","137,210,000.00","212,960,000.00","204,860,000.00","110,900,000.00"
应收账款,"4,941,564.48","5,709,725.54","3,484,938.04","4,509,660.03","4,227,146.32","3,424,342.51","5,586,424.43","5,496,863.31","9,521,338.12","6,295,759.36","13,872,223.89"
应付账款,"242,198,419.81","200,708,468.08","253,483,439.96","233,590,907.79","255,441,244.10","331,542,266.14","327,259,291.36","270,496,548.67","271,887,308.91","308,111,961.96","343,201,146.24"
预付款项,"65,261,923.13","67,494,110.41","79,289,817.65","82,372,636.42","92,493,723.25","89,059,288.17","82,656,903.97","92,962,171.13","115,563,879.95","83,585,188.55","75,930,859.75"
预收款项,"55,358,944.44","37,641,872.19","30,749,681.39","31,336,688.62","47,208,939.90","49,614,152.57","55,493,925.78","51,783,002.88","70,844,096.69","60,884,629.80","67,395,827.59"
其他应收款,"15,814,526.55","13,533,570.96","11,309,969.42","11,955,086.54","14,765,016.01","11,096,764.05","9,883,998.98","8,708,368.08","10,149,803.79","8,445,395.23","9,534,782.32"
应付职工薪酬,"6,938,191.37","7,856,965.39","8,453,315.68","6,677,630.34","6,297,739.93","9,163,636.26","6,947,409.74","6,714,073.46","8,653,907.72","11,175,788.46","7,978,459.24"
应收关联公司款,,,,,,,,,,,
应交税费,"11,911,334.52","13,349,241.33","14,137,750.78","9,608,954.10","6,552,410.20","13,715,872.70","6,793,406.80","3,080,787.36","6,049,372.58","11,244,424.29","9,917,721.55"
应收利息,,,,,,,,,,,
应付利息,"31,862.85","24,675.65","54,743.45","16,409.16","26,754.66","37,100.16","47,445.66","57,791.16","68,136.66",,
应收股利,,,,,,,,,,,
应付股利,,,,,,,,"13,680,000.00",,,
存货,"320,293,874.71","317,163,987.12","307,767,099.83","262,196,725.62","287,421,768.01","344,135,724.61","297,883,740.84","284,952,646.43","328,133,618.03","361,238,709.85","336,562,653.06"
其他应付款,"13,420,212.20","11,403,849.41","8,111,583.05","8,798,662.77","13,721,675.42","8,602,476.15","10,410,804.54","11,247,366.67","9,217,681.72","11,658,526.77","8,263,450.66"
其中:消耗性生物资产,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,
一年内到期的非流动负债,"9,000,000.00","34,000,000.00","40,000,000.00","20,000,000.00",,,,,,,
其他流动资产,,,,,,,,,,"2,745,670.98","1,793,642.25"
其他流动负债,,,,,,,,,,,
流动资产合计,"486,315,442.38","494,436,299.37","468,967,234.52","436,458,821.40","495,693,208.59","569,114,824.42","490,715,778.84","495,667,850.81","598,792,609.93","632,493,250.94","520,873,672.98"
流动负债合计,"843,558,965.19","900,345,072.05","931,810,514.31","878,379,252.78","763,478,764.21","920,895,503.98","830,952,283.88","834,269,570.20","939,680,504.28","967,935,331.28","847,656,605.28"
可供出售金融资产,"10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00"
长期借款,"65,000,000.00","40,000,000.00",,,,,,,,,
持有至到期投资,,,,,,,,,,,
应付债券,,,,,,,,,,,
长期应收款,,,,,,,,,,,
长期应付款,,,,,,,,,,,
长期股权投资,,,,,,,,,,,
专项应付款,,,,,,,,,,,
投资性房地产,"33,641,727.77","104,206,351.91","110,069,582.47","108,403,850.44","107,570,984.43","117,953,483.13","117,044,347.40","177,319,405.70","181,572,229.62","214,701,897.06","216,205,028.67"
预计负债,,,,,,,,,,,
固定资产,"404,159,932.24","473,916,510.83","532,238,318.43","527,790,277.55","567,567,139.46","649,843,633.22","646,591,594.14","590,602,533.14","587,782,672.69","578,765,908.91","571,581,815.69"
递延所得税负债,,,,,,,,,,,
在建工程,"102,792,119.95","31,935,642.68","32,459,453.26","40,949,852.11","20,811,894.27","30,961,572.37","31,653,717.59","32,190,617.96","32,493,484.08","9,382,892.82","11,548,759.23"
其他非流动负债,,,,,,,,,,,
工程物资,,,,,,,,,,,
非流动负债合计,"69,862,138.07","44,391,781.15","3,952,674.23","3,904,995.77","3,881,156.54","7,059,900.81","6,883,939.74","6,707,978.67","7,066,833.96","7,382,143.98","7,926,618.73"
固定资产清理,,,,,,,,,,,
负债合计,"913,421,103.26","944,736,853.20","935,763,188.54","882,284,248.55","767,359,920.75","927,955,404.79","837,836,223.62","840,977,548.87","946,747,338.24","975,317,475.26","855,583,224.01"
生产性生物资产,,,,,,,,,,,
实收资本(或股本),"60,000,000.00","60,000,000.00","60,000,000.00","60,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00"
油气资产,,,,,,,,,,,
资本公积,"59,575,746.29","59,575,746.29","59,575,746.29","59,575,746.29","244,860,340.54","244,860,340.54","244,860,340.54","244,860,340.54","244,860,340.54","244,860,340.54","244,860,340.54"
无形资产,"121,225,956.55","108,713,126.61","107,717,431.86","106,200,287.34","128,439,220.94","125,492,804.19","124,564,899.34","115,048,430.22","114,853,536.62","109,415,255.99","108,010,568.79"
盈余公积,"2,020,975.54","3,280,322.10","4,380,397.07","4,380,397.07","4,380,397.07","5,944,423.85","5,944,423.85","5,944,423.85","5,944,423.85","8,080,054.50","8,080,054.50"
开发支出,,,,,,,,,,,
减:库存股,,,,,,,,,,,
商誉,,,,,,,,,,,
未分配利润,"130,415,804.36","165,248,340.26","209,838,992.83","231,616,088.30","240,925,438.87","253,824,272.26","261,655,055.85","258,897,806.97","264,042,114.26","276,679,069.04","282,271,485.25"
长期待摊费用,"5,057,896.91","5,946,964.03","4,904,618.44","4,740,645.67","4,367,545.07","4,044,819.47","4,209,253.25","3,962,802.27","9,499,989.68","21,575,654.18","23,583,129.82"
少数股东权益,,,,,,,,,,,
