科目,2007-12-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"29,411,776.88","22,862,399.54","278,578,912.68","267,392,847.91","260,328,753.28","232,615,767.43","210,214,529.49","226,841,227.85","187,801,176.80","150,035,512.79","172,083,217.38","204,599,039.87","145,838,535.10","80,799,498.57","85,226,388.66","101,187,246.28","81,091,813.28","90,799,474.00","105,475,524.13","131,785,905.58","139,546,574.10","137,121,422.55","149,607,593.05","156,073,166.59","143,139,593.13","156,998,683.76","158,667,945.47","105,847,020.66","102,955,079.71","109,698,572.36","106,494,981.77","600,039,916.09","437,879,941.34","574,075,557.06","554,684,326.42","383,657,931.63","391,798,501.28","338,160,852.11","312,155,876.49","537,986,963.81","525,170,764.18"
短期借款,"44,200,000.00","47,000,000.00",,,,,,,,"15,000,000.00","25,000,000.00","22,500,000.00","7,500,000.00","7,500,000.00",,,,,,,,,,,,,,,,,,"50,000,000.00","50,000,000.00",,,,"90,000,000.00","377,091,180.90","407,091,180.90","430,721,180.90","428,591,180.90"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"4,500,000.00","3,782,500.00","2,506,600.00","14,058,508.00","11,017,614.61","9,547,978.51","1,296,000.00","8,452,705.60","3,146,664.90","9,240,000.00","3,608,273.90","11,575,059.74","4,496,800.00","15,876,082.00","21,375,595.64","37,002,722.62","24,960,325.00","32,517,934.00","41,632,894.98","44,669,723.78","31,953,750.56","30,079,850.44","43,478,230.30","42,277,588.24","37,874,073.04","25,872,009.77","37,774,931.48","44,385,558.90","27,401,431.89","25,760,550.80","26,082,768.26","361,428,606.60","244,214,622.70","58,801,884.54","120,050,398.27","214,188,807.22","110,875,604.99","97,342,905.35","116,177,831.02","677,853,012.95","407,555,798.11"
应付票据,"22,770,000.00","20,150,000.00","23,600,000.00","37,982,150.00","52,033,150.00","31,800,000.00","7,960,000.00","21,990,000.00","23,340,000.00","20,000,000.00","30,204,040.00","49,164,040.00","47,026,800.00","37,336,800.00","48,160,000.00","49,260,000.00","29,640,000.00","34,320,000.00","51,880,000.00","62,970,000.00","69,920,000.00","70,010,000.00","82,700,000.00","70,440,000.00","51,950,000.00","55,390,000.00","59,990,000.00","44,420,000.00","42,950,000.00","38,240,000.00","36,200,000.00","39,760,000.00","40,000,000.00","38,080,000.00","51,636,000.00","56,280,000.00","60,150,000.00","95,300,000.00","106,514,451.90","139,375,540.71","133,400,333.26"
应收账款,"46,275,540.00","57,840,897.05","67,753,538.55","57,999,710.94","61,597,006.02","66,777,758.68","80,440,996.20","78,223,700.17","84,275,956.84","80,459,315.99","85,622,612.79","74,536,078.31","77,794,294.01","81,882,893.75","79,975,086.16","85,149,998.01","86,595,074.73","76,263,277.66","77,547,584.65","72,592,980.81","76,957,675.67","85,879,080.74","90,216,430.84","97,020,170.00","100,127,642.84","99,512,414.45","97,696,593.08","93,078,284.22","86,558,896.98","82,255,682.12","79,146,083.01","267,459,066.99","347,248,925.22","583,137,170.34","599,961,558.92","573,486,835.63","658,538,677.47","1,069,780,673.88","1,042,825,566.25","904,622,343.81","967,515,173.31"
应付账款,"30,246,524.62","37,977,737.46","48,947,614.22","51,678,385.54","40,736,371.87","47,584,225.20","48,477,335.46","40,630,310.61","45,709,100.31","51,882,954.12","41,627,802.67","43,774,852.43","38,602,543.33","50,107,551.69","52,300,607.55","49,597,881.33","42,571,996.27","53,799,796.85","58,169,497.39","51,715,844.25","49,833,111.78","53,223,135.06","45,325,055.00","43,522,922.31","46,177,601.66","38,354,929.98","42,190,958.26","36,736,891.12","30,595,440.17","23,793,821.72","24,088,873.38","77,328,390.41","65,218,496.62","106,381,823.99","105,043,575.70","153,503,677.99","163,454,376.15","182,133,931.63","172,751,107.28","214,737,701.37","129,753,762.07"
预付款项,"14,511,914.41","15,433,362.25","13,935,257.28","27,084,129.62","51,003,607.55","49,994,889.49","53,272,273.01","39,814,499.58","46,703,480.24","39,319,384.77","39,219,827.61","28,858,220.39","20,852,906.58","11,312,878.35","10,355,437.75","6,266,385.14","7,567,204.81","7,097,834.90","6,997,495.27","6,880,939.41","6,350,364.98","7,910,563.16","5,287,928.66","3,996,640.70","3,843,626.23","2,979,522.61","2,968,131.15","2,320,800.62","2,764,154.25","4,349,800.23","7,291,055.65","6,971,226.75","24,859,217.88","8,434,577.31","13,324,349.27","86,238,042.23","214,594,542.69","200,312,009.18","209,714,878.21","73,816,083.43","45,466,920.11"
预收款项,"47,733,318.06","50,181,748.15","61,067,485.45","49,041,413.14","44,268,801.09","51,426,195.16","50,566,195.97","45,296,091.31","48,168,536.57","48,559,358.27","48,969,585.59","57,397,905.51","59,954,948.04","54,534,498.92","49,648,904.47","54,616,416.26","54,410,637.55","50,101,987.90","47,422,794.67","60,504,661.39","59,061,006.72","54,419,813.70","44,866,123.57","34,197,290.42","39,272,788.88","37,528,957.23","32,949,898.28","23,230,726.85","19,145,070.24","18,049,588.80","24,005,764.09","32,974,598.29","29,016,521.13","32,019,013.39","44,852,875.60","45,215,622.87","27,924,555.15","34,003,464.49","38,360,344.30","28,926,186.00","32,698,173.03"
其他应收款,"4,937,842.92","5,537,982.11","7,453,490.11","8,430,815.06","3,866,699.86","3,474,546.09","3,298,511.70","1,874,612.13","3,324,563.66","3,102,891.40","4,015,834.95","3,441,013.14","3,473,260.76","7,381,419.30","4,998,080.66","3,662,266.22","3,931,970.93","5,311,212.94","4,057,818.23","2,567,372.37","2,671,785.22","3,509,493.50","2,745,873.70","2,917,989.69","3,435,425.21","3,082,741.76","2,114,030.60","1,765,610.47","2,300,111.95","2,240,331.68","2,884,552.30","8,225,770.93","8,341,448.27","9,300,159.98","8,949,476.99","8,450,867.01","10,254,325.84","16,783,538.43","15,108,083.55","43,422,965.22","45,667,544.69"
应付职工薪酬,"9,191,735.22","4,549,927.32","4,596,227.71","7,606,017.50","9,142,015.37","7,570,377.32","13,042,159.54","15,672,285.08","7,517,390.67","8,915,324.80","12,702,136.44","17,545,490.92","10,618,211.68","13,755,686.87","15,859,174.71","18,370,666.42","11,107,330.93","12,882,914.84","14,607,777.57","16,751,784.23","10,032,064.11","11,485,431.36","14,018,674.79","16,433,332.44","11,432,916.16","13,879,371.49","15,250,907.65","17,648,449.31","11,941,224.59","11,950,074.05","13,737,345.44","16,821,278.33","11,404,951.98","13,801,836.75","15,437,855.67","22,952,978.82","13,608,384.83","15,502,420.55","18,485,998.13","24,207,055.87","12,000,465.46"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"7,882,899.18","8,360,393.80","5,030,515.20","4,521,496.05","4,596,254.24","7,176,074.30","9,007,057.59","8,804,655.89","3,758,476.76","2,645,628.86","4,523,352.45","12,588,225.50","4,245,840.25","1,891,819.99","378,460.78","5,994,665.45","9,086,058.11","5,935,223.19","6,940,900.80","4,495,327.34","4,211,443.15","8,233,708.28","7,693,712.17","10,477,880.39","6,506,379.58","8,221,146.23","5,227,128.42","8,967,951.42","7,684,330.64","4,955,651.18","5,632,874.78","42,868,425.70","21,359,826.36","23,665,047.83","21,285,584.25","53,639,569.59","42,523,053.85","35,153,698.97","29,454,852.33","93,334,345.66","46,643,175.49"
应收利息,,,,"1,816,500.00","1,181,250.00","1,741,177.24","1,014,614.13","625,715.27","68,212.15","126,164.26","21,257.03","302,416.96","302,416.96","225,000.00","1,250.00","91,456.94","180,925.69","270,394.44","28,113.24","527,725.88","496,660.58","831,251.84","1,300,179.22","1,889,856.17","1,667,797.28","1,036,830.00","1,301,617.48","1,941,287.14","2,322,511.47","2,692,785.87","1,092,084.10","1,838,418.03","1,742,504.04","2,765,934.83","839,319.35","436,273.61","253,859.79","39,623.27","147,791.91","174,546.32","43,431.20"
应付利息,"93,505.50","90,063.75",,,,,,,,"20,047.50","32,349.38","33,450.00","33,450.00","12,617.64",,,,,,,,,,,,,,,,,,"81,812.50","81,812.50",,,,"26,100.00","381,811.66","485,728.33","659,432.73","44,261.25"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
