科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
负债合计,"389,447,059.09","422,649,141.16","329,729,917.39","323,180,348.80","255,460,796.03","285,664,586.11","262,803,301.27","252,444,020.14","285,404,727.61","321,020,468.18","389,411,898.89","357,071,490.57","375,717,011.85","461,915,473.10","473,158,552.03","383,275,608.03"
生产性生物资产,,,,,,,,,,,,,,,,
实收资本(或股本),"181,540,000.00","181,540,000.00","181,540,000.00","181,540,000.00","242,060,000.00","484,120,000.00","484,120,000.00","484,120,000.00","484,120,000.00","484,120,000.00","484,120,000.00","484,120,000.00","484,120,000.00","484,120,000.00","484,120,000.00","484,120,000.00"
油气资产,,,,,,,,,,,,,,,,
资本公积,"123,630,563.53","123,630,563.53","123,630,563.53","123,630,563.53","570,910,163.53","328,850,163.53","328,850,163.53","328,850,163.53","328,850,163.53","328,850,163.53","328,850,163.53","328,850,163.53","328,850,163.53","328,850,163.53","328,850,163.53","328,850,163.53"
无形资产,"203,474,331.78","199,352,540.36","197,040,817.90","195,813,492.22","194,752,623.96","194,453,722.63","192,705,081.10","192,542,565.76","192,575,654.50","192,553,842.16","194,538,561.49","211,045,337.61","210,870,690.79","210,343,049.50","209,544,862.17","208,028,244.70"
盈余公积,"9,618,152.81","18,896,884.64","27,661,441.67","27,661,441.67","27,661,441.67","27,661,441.67","41,444,593.70","41,444,593.70","41,444,593.70","41,444,593.70","60,860,997.12","60,860,997.12","60,860,997.12","60,860,997.12","86,214,750.72","86,214,750.72"
开发支出,,,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,,,,
商誉,,,,,,,,,,,,,,"19,874.13",,
