科目,2011年度,2012年度,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"2,242,337,828.20","2,593,756,842.88","2,515,421,678.40","860,587,900.00","1,412,513,110.17","1,921,039,832.16","2,399,737,800.76","873,675,369.81","1,442,596,682.22","1,911,755,956.95","2,424,919,303.12","941,380,143.62","1,538,480,351.27","2,554,378,047.06","1,136,596,811.19","1,803,721,867.56","2,392,920,135.46","2,952,210,040.36","1,490,190,804.39","2,362,266,981.99","3,158,786,047.46","3,736,035,833.62","1,953,989,902.26"
二、营业利润,"705,752,828.84","907,403,654.47","908,909,286.24","354,819,200.00","602,088,425.66","739,890,953.37","848,313,737.93","363,951,557.03","618,232,013.68","758,501,661.29","897,032,944.57","416,793,180.60","712,264,176.59","994,928,331.81","510,008,279.29","861,629,808.63","1,036,490,850.45","1,208,037,216.57","678,465,667.77","1,138,950,102.61","1,358,439,335.20","1,516,046,237.31","854,247,921.46"
减:营业成本,"646,991,206.86","733,143,841.32","740,002,238.35","244,829,700.00","446,820,426.31","593,276,543.29","705,663,418.86","239,335,486.68","447,392,545.44","593,920,595.59","727,354,883.98","251,989,101.71","465,232,629.55","741,696,239.57","295,423,413.90","528,875,249.81","690,461,060.95","835,267,232.81","382,291,886.44","662,410,175.68","863,640,463.27","1,013,543,618.65","495,359,602.45"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"232,555,720.58","256,468,030.50","247,708,462.40","111,235,600.00","132,004,374.75","186,026,338.53","240,510,566.95","108,796,629.23","132,982,080.26","191,869,077.46","253,543,225.99","115,414,195.37","141,824,370.37","245,433,222.77","143,283,962.65","181,172,475.25","266,038,103.58","405,126,680.20","208,963,349.18","293,945,989.70","482,409,796.31","632,222,544.85","296,669,517.64"
营业外收入,"7,980,792.94","1,702,651.77","8,640,700.84",,"2,217,578.31","5,871,393.50","6,527,468.69","1,846,985.98","3,444,068.12","3,568,992.20","8,418,675.85","1,429,121.78","4,647,827.53","16,967,856.36","2,077,025.65","4,974,915.28","2,033,655.84","2,738,040.01","127,823.42","3,626,108.63","15,286,214.36","13,707,076.58","148,750.00"
销售费用,"521,321,308.66","558,596,969.21","482,406,683.99",,"173,653,933.48","300,302,679.63","453,095,418.26","128,816,947.54","198,028,314.29","318,865,369.54","440,102,438.88","124,202,800.96","186,293,975.76","467,218,890.76","160,605,234.99","211,575,017.48","357,936,486.73","428,282,554.55","216,671,128.42","294,925,989.42","456,334,902.71","585,625,207.10","310,342,658.66"
减:营业外支出,"1,344,182.64","3,682,764.80","2,934,458.17",,"497,349.62","919,101.03","1,419,300.59","455,412.76","880,362.71","1,263,840.23","2,693,266.49","604,827.32","1,517,232.65","6,139,000.68","394,517.78","1,153,493.19","5,242,515.39","7,142,997.11","1,815,986.68","1,843,974.69","3,179,812.53","4,540,800.49","278,226.17"
管理费用,"141,275,663.70","147,917,776.29","153,043,580.93",,"74,203,256.80","119,193,439.84","179,753,752.20","39,836,255.13","83,450,200.73","122,764,790.06","194,053,054.46","47,347,160.62","89,324,064.49","193,350,632.91","48,024,223.29","82,945,086.52","133,970,610.08","195,464,125.78","46,674,191.23","69,963,610.16","121,509,418.74","172,923,378.54","43,734,081.78"
其中:非流动资产处置净损失,"207,901.84",,,,"26,293.24","95,625.51","98,042.69","1,812.76",,,"745,863.37","51,528.22",,"479,111.35","368,973.10","535,413.35","571,177.29",,,,,,
