科目,2014-12-31,2015-12-31,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"61,496,231.73","103,468,124.74","156,899,050.31","483,740,434.76","130,892,653.67","131,524,666.91","161,525,022.67","149,241,431.68","291,856,763.37","98,344,725.43","194,643,169.03","277,558,892.72"
短期借款,,,,,,,,,,"15,252,184.81","62,049,419.14","131,047,233.73"
交易性金融资产,,,"1,806,906.00","1,444,200.00","504,000.00",,,,"1,653,600.00","3,165,300.00",,
交易性金融负债,,,,,,"648,000.00","634,400.00","3,417,050.00",,,"289,800.00","913,200.00"
应收票据,"9,103,456.30","8,078,439.38","2,322,949.59","3,776,717.43","7,062,305.63","9,882,878.93","2,291,705.72","3,393,295.82","12,047,346.13","21,101,464.99","10,789,116.08","19,285,323.33"
应付票据,"4,343,866.60",,"56,622,946.99","45,539,027.77","28,175,278.17","32,467,822.27","31,296,171.61","28,242,774.02","17,580,564.10",,"78,959,819.97",
应收账款,"67,566,559.99","65,029,773.81","126,758,761.36","102,615,290.83","80,463,017.07","112,575,728.62","105,307,850.60","96,868,656.03","135,926,282.78","113,577,273.82","123,534,357.68","91,472,556.55"
应付账款,"32,464,463.29","34,917,885.09","95,661,331.30","80,246,916.78","64,838,703.22","97,644,038.05","84,865,783.02","84,837,837.60","117,629,484.67",,"185,410,913.36",
预付款项,"895,744.71","806,091.70","2,126,894.31","6,554,051.66","3,363,722.89","5,615,962.55","2,924,192.48","3,884,009.73","2,916,202.94","6,230,068.12","1,869,399.50","3,760,324.08"
预收款项,,"1,347,086.98","7,182,553.65","10,037,460.94","12,859,652.21","16,259,716.06","12,060,799.05","14,414,190.41","13,247,706.93","13,484,070.24","11,664,258.72","14,743,438.85"
其他应收款,"462,371.00","16,429,523.03","16,824,914.20","16,859,048.32","16,791,409.85","16,871,715.20","857,445.00","2,234,525.23","1,555,553.98","4,019,389.09","1,186,702.70","7,888,904.16"
