科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"449,703,724.05","770,175,015.95","1,012,897,705.39","424,860,708.16","822,760,063.43","1,170,783,846.74","163,412,529.69","498,999,731.27","932,271,775.85","1,349,625,914.90","211,519,142.60","657,113,375.09","1,158,941,552.71","1,780,815,051.84","302,253,589.63","720,002,579.99","1,285,611,921.95","1,863,739,460.06","326,369,017.65","858,534,562.64","1,481,867,626.83","2,068,525,079.14","392,436,853.30","874,451,506.68","1,585,855,707.96"
二、营业利润,"32,207,112.15","48,781,829.49","61,878,312.60","23,673,420.91","56,763,555.80","73,417,713.56","1,893,439.35","10,622,352.76","30,109,008.10","49,491,501.87","4,573,104.97","16,820,267.36","34,041,519.31","55,010,477.09","-13,128,100.26","4,824,464.58","28,839,901.47","52,365,984.79","-1,881,279.88","10,106,494.24","30,174,558.71","63,338,120.11","-2,743,265.54","11,712,360.14","46,780,301.20"
减:营业成本,"379,890,987.04","659,771,347.38","869,981,898.72","361,725,729.11","703,581,291.05","1,007,683,789.99","147,370,134.84","444,883,595.19","829,202,682.16","1,191,608,226.92","186,047,005.19","577,808,019.18","1,021,585,918.31","1,577,097,811.04","277,969,741.54","642,289,263.45","1,136,117,094.57","1,637,610,664.21","293,783,491.27","766,555,468.07","1,313,804,703.63","1,827,012,233.78","355,323,275.73","782,265,322.93","1,348,956,260.49"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"247,246.96","195,390.62","1,142,231.29","2,531,196.90","2,892,382.28","3,887,346.94","248,544.29","1,073,097.84","1,481,667.43","1,921,611.67","84,642.65","2,031,619.78","2,999,938.59","3,433,413.35","609,709.94","1,195,625.86","1,693,412.54","2,386,059.37","284,107.64","750,586.48","1,212,785.05","5,298,100.43","1,413,249.72","3,209,224.92","5,630,657.76"
营业外收入,"7,620,550.93","9,225,058.25","10,407,052.41","5,418,312.65","7,635,395.20","15,231,223.13","1,650,647.40","5,119,209.61","7,836,248.44","12,982,589.13","1,007,615.94","4,913,205.68","6,689,911.25","14,709,030.09","1,340,437.54","4,182,303.04","7,169,286.35","20,251,983.73","2,171,611.44","6,345,476.28","10,570,078.55","15,706,901.68","2,964,154.30","6,888,144.61","11,400,551.31"
销售费用,"9,097,733.14","15,962,690.81","20,267,946.74","10,135,021.64","14,872,960.92","22,076,145.76","4,949,311.66","11,303,746.56","17,675,580.76","26,163,832.34","6,035,144.40","15,029,185.62","24,074,005.32","35,885,716.79","11,758,698.64","20,014,396.11","34,259,975.97","53,351,503.02","11,957,429.67","27,071,401.78","40,820,812.79","55,012,609.56","11,435,564.86","24,251,916.28","65,756,348.31"
减:营业外支出,"395,451.18","4,579,358.98","1,021,746.93","151,284.08","610,121.62","863,497.49","160,141.39","360,094.19","506,177.01","1,148,674.12","65,709.18","100,069.18","615,454.25","2,826,032.60","160,764.27","536,276.77","762,317.43","1,300,056.00","402,844.00","425,706.82","873,255.34","931,394.61","136,738.45","180,540.56","858,723.51"
管理费用,"14,996,948.60","27,748,465.66","40,454,589.20","21,084,446.62","32,373,907.22","47,186,902.13","12,799,436.52","28,689,230.71","43,969,628.46","65,917,225.70","17,487,422.83","38,781,931.60","61,520,842.29","83,844,173.49","26,336,987.90","45,170,832.93","66,814,388.73","93,870,420.27","19,193,627.01","46,073,331.74","72,558,633.14","94,694,365.20","20,958,358.17","42,851,016.44","95,882,110.69"
其中:非流动资产处置净损失,,"3,782,332.35","153,478.04","14,670.48","107,924.47","140,993.01","29,473.38","125,162.77","143,246.61","143,246.61","41,116.88","41,116.88","525,293.76","2,107,292.18","130,276.15","451,888.39","643,305.24","726,875.25","400,229.49","407,508.53","833,914.14","870,357.48","2,261.12","16,636.18","195,101.79"
