科目,2007年1-6月,2007年度,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"683,276,257.43","1,491,810,242.25","630,022,763.28","1,083,344,713.13","1,376,550,821.82","232,898,171.65","501,504,261.16","880,258,084.55","1,208,948,826.16","302,211,753.83","672,482,373.93","979,794,858.53","1,694,508,815.36","367,517,273.13","665,602,963.77","1,198,671,281.21","1,214,123,330.44","203,608,709.60","318,190,743.80","631,956,900.60","884,018,877.19","105,961,211.05","323,474,510.80","512,018,889.76","657,773,511.75","115,808,627.74","366,977,181.08","646,077,488.39","825,610,410.76","206,320,815.53","498,316,734.08","786,105,671.07","928,474,461.59","127,343,500.26","393,710,423.17","567,620,912.07","951,452,431.32","221,837,946.86","454,644,045.16","741,256,336.17","994,389,261.29","283,015,092.58","664,444,890.33"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"141,856,905.63",,,,"45,040,215.58",,,,"18,265,500.00",,
收到的税费返还,"14,620.42","10,199,300.57","221,148.88","473,779.37","597,633.87",,"1,113,067.32","1,234,699.23","2,474,526.63","862,280.23","1,224,313.86","1,163,174.69","1,995,108.96",,"200,127.45","802,939.23","5,309,369.02","298,458.74","2,890,852.79","3,339,441.83","6,291,874.89","208,995.18","509,329.88","1,402,852.19","4,737,071.02","5,545,497.12","1,594,444.19","3,252,169.66","6,031,549.85","235,664.60","2,623,834.57","3,068,039.63","7,160,610.22","967,710.15","4,715,722.44","9,834,356.85","5,763,072.46","1,946,384.99","1,754,119.29","5,769,018.96","2,745,889.45","94,901.00","902,595.74"
支付其他与投资活动有关的现金,,,,,"5,964,912.87","5,354.50",,"69,946,697.71","155,916.47",,,,,,,,,,,,,,,,,,,,"25,000,000.00",,"2,676,912.00","2,676,912.00",,,,,"28,900.00",,,,"27,700,000.00",,
收到其他与经营活动有关的现金,"31,853,975.56","66,171,515.34","16,743,631.04","513,817,981.98","14,901,058.25","24,117,139.34","18,255,225.36","118,202,244.18","24,976,250.61","21,378,336.03","64,851,455.58","68,240,902.74","12,831,169.32","9,203,484.70","67,306,472.37","81,685,516.05","12,390,917.14","7,949,318.36","15,824,913.84","23,391,132.91","27,065,605.38","5,429,596.42","20,079,560.74","26,541,739.53","90,664,654.53","1,989,840.86","12,951,434.17","31,772,902.45","29,039,489.28","1,826,229.85","21,566,921.62","60,279,388.95","65,147,505.56","8,223,460.57","12,943,375.01","20,140,401.02","15,341,902.96","80,000,205.05","101,865,749.10","116,021,962.20","14,948,981.63","1,858,195.84","7,153,294.08"
投资活动现金流出小计,"21,329,164.39","49,939,605.40","5,374,196.62","11,964,732.69","44,986,725.01","1,661,967.86","46,857,879.08","84,394,239.40","54,303,869.51","10,564,253.74","13,433,603.14","19,563,899.81","123,053,628.64","222,799,774.57","261,541,771.58","306,413,658.14","503,510,396.40","174,881,243.81","284,198,155.20","401,356,487.78","420,209,935.64","63,498,043.59","112,525,446.99","253,392,151.41","420,911,783.79","144,149,248.12","150,384,282.10","217,516,508.27","151,983,448.14","52,063,041.00","122,764,226.64","177,103,939.77","280,232,392.53","20,923,262.57","73,660,063.95","117,499,262.67","249,441,267.19","24,821,161.02","25,410,123.56","48,270,176.84","74,596,511.66","21,811,763.50","11,425,120.61"
经营活动现金流入小计,"715,144,853.41","1,568,181,058.16","646,987,543.20","1,597,636,474.48","1,392,049,513.94","257,015,310.99","520,872,553.84","999,695,027.96","1,236,399,603.40","324,452,370.09","738,558,143.37","1,049,198,935.96","1,709,335,093.64","376,720,757.83","733,109,563.59","1,281,159,736.49","1,231,823,616.60","211,856,486.70","336,906,510.43","658,687,475.34","917,376,357.46","111,599,802.65","344,063,401.42","539,963,481.48","753,175,237.30","123,343,965.72","381,523,059.44","681,102,560.50","860,681,449.89","208,382,709.98","522,507,490.27","849,453,099.65","1,000,782,577.37","136,534,670.98","411,369,520.62","597,595,669.94","972,557,406.74","303,784,536.90","558,263,913.55","863,047,317.33","1,012,084,132.37","284,968,189.42","672,500,780.15"
投资活动产生的现金流量净额,"-21,329,164.39","-48,524,526.90","-5,374,196.62","-5,262,477.12","-37,704,425.01","-1,661,967.86","-46,064,473.99","-78,575,006.62","-53,354,547.95","-10,564,253.74","-13,433,603.14","-19,563,899.81","-116,413,628.64","-222,799,774.57","-261,541,771.58","-306,413,658.14","-211,552,425.52","-150,381,243.81","-259,698,155.20","-376,856,487.78","-335,202,935.64","-63,498,043.59","-103,125,446.99","-241,107,444.24","-384,484,118.02","-144,149,248.12","-149,384,282.10","-213,919,508.27","-135,126,898.13","-52,063,041.00","-122,764,226.64","-41,701,995.79","-128,231,027.98","-20,899,662.57","47,966,632.24","4,127,433.52","-126,244,354.75","39,191,441.72","104,602,479.18","160,105,584.17","294,377,770.96","-21,811,763.50","-2,350,931.61"
购买商品、接受劳务支付的现金,"653,668,726.60","1,399,279,840.44","653,829,894.35","1,083,082,927.46","1,270,146,774.53","212,947,308.20","416,407,898.10","746,278,218.65","1,122,387,668.82","277,736,968.23","596,526,930.22","837,274,874.89","1,428,759,662.43","319,305,148.08","624,130,251.01","1,063,457,687.78","1,101,119,136.48","183,120,338.51","278,584,026.23","592,448,047.77","729,799,393.19","149,235,078.47","343,648,566.34","553,047,350.37","630,545,224.99","173,506,231.15","375,363,454.33","553,991,493.73","721,051,478.82","126,317,816.97","310,338,855.50","569,641,104.14","617,861,295.16","107,902,618.41","365,255,094.19","531,608,737.48","751,539,393.68","192,970,858.26","417,303,303.12","669,760,728.32","850,915,761.81","272,419,918.76","599,721,477.37"
吸收投资收到的现金,,,,"307,822,373.93","301,613,166.80",,,"123,225,116.00",,,"650,299,999.10","650,299,999.10","656,249,999.10",,,"1,263,392,282.10","1,261,254,486.10",,,,,,,,,,,,,,"180,499,999.69","180,499,999.69","180,499,999.69",,,,,,,,,,
