科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"382,308,045.21","615,090,567.18","980,904,151.40","442,861,032.56","783,042,764.61","1,360,062,180.71","231,724,895.31","453,381,195.06","832,835,633.07","1,535,955,053.17","254,363,900.85"
取得子公司及其他营业单位支付的现金净额,,,,,,,"4,000,000.00",,,"2,916,840.78","2,096.69"
收到的税费返还,,"30,848.73","11,824,201.36","473,819.16","803,703.62","803,703.62","2,393.16","124,376.26","190,188.24","379,607.01",
支付其他与投资活动有关的现金,"719,000,000.00","759,429,000.00","594,000,000.00","594,000,000.00","598,128,885.50","1,119,000,000.00","394,000,000.00","770,400,000.00","1,106,600,000.00","859,219,996.21","400,000,000.00"
收到其他与经营活动有关的现金,"24,218,605.44","40,106,045.03","34,932,340.97","3,525,118.63","66,142,006.82","44,905,714.94","35,589,757.38","44,889,747.15","45,836,033.15","9,104,103.29","5,618,086.22"
投资活动现金流出小计,"766,790,951.36","854,916,528.09","869,233,892.51","709,203,782.38","843,099,893.60","1,570,399,207.16","423,436,130.73","937,008,495.82","1,292,830,987.37","1,057,653,177.70","431,017,083.39"
经营活动现金流入小计,"406,526,650.65","655,227,460.94","1,027,660,693.73","446,859,970.35","849,988,475.05","1,405,771,599.27","267,317,045.85","498,395,318.47","878,861,854.46","1,545,438,763.47","259,981,987.07"
投资活动产生的现金流量净额,"-49,294,742.44","-121,047,147.37","-91,134,684.77","-106,586,613.91","-239,851,236.21","-960,865,057.51","702,357,019.96","204,567,497.58","-94,259,522.74","159,683,886.98","-426,673,642.48"
购买商品、接受劳务支付的现金,"52,143,364.00","180,000,079.73","231,002,071.99","115,096,315.38","258,233,567.17","500,703,262.31","159,530,096.37","150,333,801.87","371,030,798.21","648,924,961.33","133,490,529.85"
吸收投资收到的现金,,,,,,"1,444,885,686.10","20,000,000.00","60,000,000.00","60,000,000.00","63,000,000.00",
支付给职工以及为职工支付的现金,"154,487,717.23","232,799,610.89","349,521,497.02","173,243,317.97","268,285,780.45","365,785,234.25","115,326,316.58","222,560,149.14","321,050,091.58","436,137,666.05","144,494,777.70"
取得借款收到的现金,,,,,,,,,,,
支付的各项税费,"22,249,994.93","47,116,468.72","29,831,580.35","56,364,768.59","58,342,527.21","74,104,002.18","14,687,052.88","26,978,938.82","51,004,839.74","78,639,117.76","16,313,958.78"
收到其他与筹资活动有关的现金,"56,245,900.00","20,150,000.00","41,300,000.00",,"2,587,910.17","89,838,981.14","810,000.00","9,660,000.00","40,197,000.00","52,006,500.00","2,200,000.00"
支付其他与经营活动有关的现金,"49,361,873.03","81,654,595.36","142,543,123.48","68,518,352.42","95,950,892.11","158,699,791.86","24,304,648.00","73,527,911.36","128,593,743.86","168,598,466.87","44,091,039.29"
筹资活动现金流入小计,"56,245,900.00","20,150,000.00","41,300,000.00",,"2,587,910.17","1,534,724,667.24","20,810,000.00","69,660,000.00","100,197,000.00","115,006,500.00","2,200,000.00"
