科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"234,603,685.76","197,063,937.55","260,394,847.80","151,572,616.13","183,855,427.20","258,351,727.46","69,896,490.88","170,946,975.56","242,380,928.34","375,451,540.23","82,675,233.91","196,832,189.67","322,605,168.72","464,220,620.69","87,488,867.24","190,029,215.62","350,392,405.24","536,992,288.99","50,972,056.14","189,773,771.27","278,916,935.20","415,654,180.85","57,044,575.09","195,191,998.63","316,249,597.37","449,897,338.07","140,391,541.71","226,034,679.66","369,541,211.29","464,211,325.81","71,157,182.78","264,928,222.50"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,"-4,015.30","-4,015.30",,,,,,,
收到的税费返还,"93,561.68",,"27,830.71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,"1,339,000.00","1,339,000.00","1,339,000.00","1,339,000.00",,,,,,,,"156,000,000.00",,,,,,,,"5,744,251.48",,,,,,"1,126,144.98"
收到其他与经营活动有关的现金,"8,428,481.15","16,726,577.49","8,857,038.70","4,155,602.56","4,252,148.71","11,107,162.89","1,957,689.04","8,128,772.46","7,871,623.69","9,540,167.39","1,143,934.01","3,193,958.63","4,377,382.15","8,973,083.55","1,136,671.49","7,308,482.19","11,408,045.18","15,299,386.41","8,254,034.20","17,097,225.74","31,800,235.91","29,627,589.09","9,442,214.29","16,245,494.11","27,730,335.90","36,407,619.12","5,489,587.93","14,890,301.60","22,564,343.72","20,009,046.67","2,626,982.54","3,984,389.29"
投资活动现金流出小计,"23,399,771.17","26,420,507.07","14,751,585.14","14,715,289.92","16,505,734.21","32,517,596.70","7,162,474.27","82,794,034.04","164,783,802.17","276,587,896.29","22,125,271.50","48,257,439.24","99,397,552.58","625,489,256.84","230,589,268.24","340,638,984.18","190,081,006.92","1,051,611,579.88","74,900,570.00","241,900,423.03","359,697,735.87","887,288,823.72","101,355,227.32","189,119,772.71","226,678,247.15","369,185,595.24","27,788,638.01","361,374,946.94","562,372,614.24","654,789,273.49","4,984,469.70","60,561,056.02"
经营活动现金流入小计,"243,125,728.59","213,790,515.04","269,279,717.21","155,728,218.69","188,107,575.91","269,458,890.35","71,854,179.92","179,075,748.02","250,252,552.03","384,991,707.62","83,819,167.92","200,026,148.30","326,982,550.87","473,193,704.24","88,625,538.73","197,337,697.81","361,800,450.42","552,291,675.40","59,226,090.34","206,870,997.01","310,717,171.11","445,281,769.94","66,486,789.38","211,437,492.74","343,979,933.27","486,304,957.19","145,881,129.64","240,924,981.26","392,105,555.01","484,220,372.48","73,784,165.32","268,912,611.79"
投资活动产生的现金流量净额,"-18,744,771.17","-22,500,507.07","-11,317,585.14","-14,715,289.92","-16,505,334.21","-32,517,196.70","-7,162,474.27","-24,853,617.60","-59,248,175.22","-93,768,220.18","-21,111,309.63","-42,549,602.02","-94,105,355.71","-94,953,095.58","-11,221,380.67","-41,963,380.09","-172,800,138.53","-438,887,139.14","-22,654,258.83","52,049,600.71","4,335,919.24","-412,986,462.34","-49,971,548.01","-35,507,402.92","-68,512,373.94","-203,576,994.28","-27,266,411.27","-347,130,445.91","-479,479,317.61","-551,780,312.83","428,510,327.34","476,192,417.71"
购买商品、接受劳务支付的现金,"169,197,958.23","99,060,804.53","149,062,097.23","96,502,121.93","131,933,006.98","168,386,236.07","55,004,750.65","102,485,988.13","150,198,759.36","218,510,536.26","70,303,315.12","142,948,519.89","227,587,879.96","300,451,131.18","74,037,961.20","149,689,718.60","217,897,471.24","307,638,211.40","62,287,331.22","111,431,633.56","189,547,010.35","253,185,399.29","43,629,572.80","94,105,154.24","127,216,958.77","218,696,249.16","71,927,198.03","154,262,169.06","220,070,122.86","300,394,072.54","80,057,820.98","140,059,022.13"
吸收投资收到的现金,,,,,,"284,379,000.00",,,,,,,,,,,"568,699,993.22","568,699,993.22",,"1,280,000.00","18,040,000.00","593,491,998.97","6,760,000.00","6,760,000.00","6,760,000.00","6,760,000.00",,,,,,
