科目,2007年1-6月,2007年度,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"22,345,802.31","51,410,958.25","29,772,023.39","43,938,168.64","60,084,642.15","10,340,126.07","26,558,478.35","37,651,639.28","55,551,619.20","11,888,493.11","27,680,699.22","43,774,653.03","50,095,426.69","7,550,108.13","18,439,246.09","27,235,906.85","34,344,845.72","2,540,994.14","8,756,993.58","13,189,105.23","15,539,202.49","4,392,914.32","13,981,221.63","24,497,826.40","30,483,382.88","12,284,753.47","23,062,045.89","29,119,708.52","42,241,506.08","14,683,711.22","29,542,837.43","43,115,536.41","59,190,505.24","12,533,590.01","26,359,104.77","40,429,782.03","56,556,911.13","13,493,820.83","24,232,402.92","37,324,745.79","52,938,206.29","9,264,354.58"
三、利润总额,"24,972,882.20","80,523,211.84","36,631,630.48","53,748,003.11","54,350,922.53","15,308,888.35","26,436,100.98","60,801,955.10","71,504,711.87","25,756,674.25","47,953,951.84","88,003,946.79","125,420,192.95","30,451,257.14","60,629,461.17","88,136,580.20","110,831,405.67","15,608,403.63","37,317,432.84","-12,384,816.78","-74,377,839.40","-9,393,819.26","-14,158,868.28","-15,502,570.45","9,975,136.34","-7,554,879.10","-10,727,815.15","-23,901,941.72","6,245,061.99","-8,346,637.15","2,580,227.46","1,463,207.52","-3,432,833.86","-10,180,008.82","-18,291,657.09","-23,342,602.24","-185,605,053.19","-1,976,391.47","-2,816,377.55","-15,984,349.28","-574,264,624.90","-6,468,594.65"
资产减值损失,,"-3,429,727.25",,,"1,859,581.99",,"2,400,864.59","5,327,741.41","4,754,703.44",,"-398,978.19","-398,978.19","-176,503.69",,"-4,412,727.59","-4,412,727.59","8,609,090.94","-9,207,225.58","-9,804,509.00","-17,816,696.33","24,278,216.66","-5,082,952.46","-12,230,459.98","-27,677,861.42","-1,237,127.42","-6,670,224.75","-6,318,440.64","-7,145,299.59","29,125,257.98",,"1,227,978.83","-664,048.98","35,135,567.42",,"-670,676.12","9,760,232.11","104,887,440.75",,"6,551,594.80","847,440.67","587,306,676.77",
减:所得税,"5,361,969.16","23,907,402.77","6,195,525.83","9,613,071.08","3,963,204.98","1,854,073.20","535,209.60","4,899,202.19","5,788,659.07","3,404,979.32","5,840,189.82","9,026,731.47","15,639,918.99","3,552,017.31","9,013,739.21","13,263,214.60","16,811,484.81","1,933,837.14","5,226,000.68","2,103,900.99","7,711,507.70","638,225.52","2,041,847.38","3,183,249.61","1,827,880.74","462,989.09","756,577.54","999,497.53","14,823,434.69","163,035.27","175,073.21","517,983.19","39,221.48","1,379,403.13","2,214,783.10","5,800,829.89","6,741,983.90","826,754.29","693,422.35","888,961.63","889,092.59","297,660.03"
加:公允价值变动净收益,,,,,,,,,,,,,"2,377,067.17",,"1,590,405.99","2,388,465.02","-2,645,868.44",,"268,801.27","268,801.27",,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,,,,"740,468.16",,,"-6,594.91","-6,594.91","-156,594.91",,,,,,,,"2,882,870.88",,,,"9,975,844.59","3,221,494.38","6,433,840.76","15,086,772.19","15,962,685.67","1,448,518.47","1,448,518.47","1,448,518.47","9,599,761.54",,"4,941.52","-8,162,618.22","-749,683.46",,"749,683.46","749,683.46","-1,699,665.53","12,602.74","17,850,580.33","17,853,649.89","16,637,695.51",
四、净利润,"19,610,913.04","56,615,809.07","30,436,104.65","44,134,932.03","50,387,717.55","13,454,815.15","25,900,891.38","55,902,752.91","65,716,052.80","22,351,694.93","42,113,762.02","78,977,215.32","109,780,273.96","26,899,239.83","51,615,721.96","74,873,365.60","94,019,920.86","13,674,566.49","32,091,432.16","-14,488,717.77","-82,089,347.10","-10,032,044.78","-16,200,715.66","-18,685,820.06","8,147,255.60","-8,017,868.19","-11,484,392.69","-24,901,439.25","-8,578,372.70","-8,509,672.42","2,405,154.25","945,224.33","-3,472,055.34","-11,559,411.95","-20,506,440.19","-29,143,432.13","-192,347,037.09","-2,803,145.76","-3,509,799.90","-16,873,310.91","-575,153,717.49","-6,766,254.68"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,,,,,,,"1,448,518.47",,,"9,599,761.54",,,"-8,162,618.22","-749,683.46",,,"749,683.46","-2,449,348.99",,,,"-609,658.26",
归属于母公司所有者的净利润,"18,823,639.85","54,436,250.92","28,078,699.13","40,956,341.28","47,178,410.64","12,178,385.59","22,970,757.53","43,573,736.17","53,463,782.53","18,511,170.44","33,979,521.09","57,786,421.61","77,443,000.31","20,010,321.89","40,777,466.57","58,519,211.29","79,228,543.77","10,040,042.78","31,760,812.75","-9,016,284.57","-55,539,146.06","-9,356,753.34","-13,101,117.33","-14,592,796.79","14,923,662.53","-6,872,298.14","-9,183,328.73","-19,711,409.31","11,575,814.28","-9,365,345.58","4,722,591.65","4,452,493.45","15,302,484.99","-10,723,179.07","-18,739,416.20","-27,149,748.32","-185,607,784.16","-2,398,844.25","-2,701,866.44","-14,766,415.30","-567,593,106.64","-6,457,667.03"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,"787,273.19","2,179,558.15","2,357,405.52","3,178,590.75","3,209,306.91","1,276,429.56","2,930,133.85","12,329,016.74","12,252,270.27","3,840,524.49","8,134,240.93","21,190,793.71","32,337,273.65","6,888,917.94","10,838,255.39","16,354,154.31","14,791,377.09","3,634,523.71","330,619.41","-5,472,433.20","-26,550,201.04","-675,291.44","-3,099,598.33","-4,093,023.27","-6,776,406.93","-1,145,570.05","-2,301,063.96","-5,190,029.94","-20,154,186.98","855,673.16","-2,317,437.40","-3,507,269.12","-18,774,540.33","-836,232.88","-1,767,023.99","-1,993,683.81","-6,739,252.93","-404,301.51","-807,933.46","-2,106,895.61","-7,560,610.85","-308,587.65"
