科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"416,589,752.80","438,664,526.91","620,147,609.61","142,384,654.78","340,695,721.32","517,338,487.07","720,154,023.23","120,392,497.41","338,261,970.94","555,358,859.96","805,682,644.65","254,569,378.78","526,650,724.16","768,572,305.00","819,424,838.38","273,860,027.41","548,830,632.11"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,"36,480,000.00","36,480,000.00","19,916,990.79",,"21,929,995.52",,"157,467,405.08","15,821,935.83","17,421,935.83"
收到的税费返还,"1,804,742.73","5,310,479.16","6,127,624.20","2,878,876.11","4,469,798.82","5,892,180.04","7,865,883.93","2,317,822.61","2,920,369.60","6,042,284.02","5,886,611.75","1,288,187.68","2,547,416.26","4,332,616.57","6,932,432.75","2,380,901.45","4,574,363.04"
支付其他与投资活动有关的现金,,,,,,,,"1,250,000.00",,,"2,344,560.00",,,"96,415.05",,,
收到其他与经营活动有关的现金,"2,284,179.95","7,563,303.88","14,740,928.62","12,631,376.97","15,852,141.61","26,076,657.79","24,948,809.99","16,377,160.71","16,726,472.95","21,323,372.31","18,933,577.40","11,995,653.49","44,624,550.08","26,625,930.84","28,173,735.09","16,840,152.60","31,511,737.13"
投资活动现金流出小计,"10,281,066.55","41,145,172.64","38,660,074.84","10,935,939.19","301,027,035.93","282,796,645.36","878,156,291.40","26,980,859.75","118,174,855.40","160,275,491.82","1,006,801,829.07","164,653,255.77","434,466,113.46","701,227,349.28","864,078,240.73","139,463,796.03","232,173,599.88"
经营活动现金流入小计,"420,678,675.48","451,538,309.95","641,016,162.43","157,894,907.86","361,017,661.75","549,307,324.90","752,968,717.15","139,087,480.73","357,908,813.49","582,724,516.29","830,502,833.80","267,853,219.95","573,822,690.50","799,530,852.41","854,531,006.22","293,081,081.46","584,916,732.28"
投资活动产生的现金流量净额,"-8,591,352.81","-37,930,148.14","-37,512,372.12","-10,883,937.19","-300,703,422.29","-277,015,976.26","-331,879,078.63","14,940,169.41","-27,921,687.01","509,423.73","-44,089,143.48","-25,060,828.12","-87,787,753.93","-168,424,181.08","-200,161,930.94","-44,921,998.10","-47,929,246.99"
购买商品、接受劳务支付的现金,"215,323,214.26","260,576,732.71","333,962,389.17","61,222,555.76","216,944,305.13","326,179,254.45","452,846,214.16","43,586,454.29","188,191,107.57","308,099,094.37","494,011,392.62","154,830,073.12","337,263,274.38","455,057,598.00","376,465,349.29","157,980,898.63","324,283,630.92"
吸收投资收到的现金,,"4,000,000.00",,"337,462,000.00","342,473,513.16","342,473,513.16","337,462,000.00",,"46,974,572.81","50,795,226.45","51,920,800.00",,"8,748,650.00","8,748,650.00","8,748,650.00","12,880,000.00","13,280,000.00"
支付给职工以及为职工支付的现金,"65,859,886.67","72,751,304.32","88,421,347.32","32,096,024.66","58,299,336.59","82,404,446.08","108,471,102.15","31,913,311.81","63,864,401.76","98,563,041.63","142,022,959.35","42,216,530.30","81,525,111.95","121,647,079.56","168,577,004.75","59,161,977.57","103,166,377.51"
取得借款收到的现金,"113,914,642.00","112,831,200.00","108,275,830.00","20,000,000.00","32,000,000.00","41,000,000.00","41,000,000.00","3,000,000.00","3,000,000.00","6,000,000.00","6,000,000.00","3,000,000.00","133,000,000.00","133,000,000.00","140,000,000.00",,"95,000,000.00"
支付的各项税费,"32,891,387.62","34,606,856.34","45,798,491.82","13,639,642.06","29,246,967.14","41,849,137.60","52,904,513.64","15,107,384.34","24,500,827.12","39,878,989.78","70,062,533.36","24,960,862.12","41,326,158.96","61,521,737.37","82,401,793.47","20,840,468.41","42,780,847.20"
收到其他与筹资活动有关的现金,,"18,850,000.00","23,400,000.00",,,"11,693,113.20","15,053,100.00",,,,,,,,,,
支付其他与经营活动有关的现金,"30,352,888.37","39,336,914.91","58,919,935.98","18,571,204.10","32,937,357.25","49,319,043.43","48,724,492.84","25,777,204.07","40,428,857.95","67,461,781.03","75,150,996.44","16,290,818.76","63,782,357.41","66,139,763.63","79,439,608.13","28,606,491.77","63,038,024.15"
筹资活动现金流入小计,"113,914,642.00","135,681,200.00","131,675,830.00","357,462,000.00","374,473,513.16","395,166,626.36","393,515,100.00","3,000,000.00","49,974,572.81","56,795,226.45","57,920,800.00","3,000,000.00","141,748,650.00","141,748,650.00","148,748,650.00","12,880,000.00","108,280,000.00"
经营活动现金流出小计,"344,427,376.92","407,271,808.28","527,102,164.29","125,529,426.58","337,427,966.11","499,751,881.56","662,946,322.79","116,384,354.51","316,985,194.40","514,002,906.81","781,247,881.77","238,298,284.30","523,896,902.70","704,366,178.56","706,883,755.64","266,589,836.38","533,268,879.78"
偿还债务支付的现金,"175,694,992.00","111,797,200.00","136,980,830.00","40,900,000.00","72,900,000.00","84,900,000.00","84,900,000.00","9,000,000.00","9,000,000.00","12,000,000.00","12,000,000.00","3,000,000.00","5,900,000.00","6,000,000.00","3,000,000.00",,"75,000,000.00"
经营活动产生的现金流量净额,"76,251,298.56","44,266,501.67","113,913,998.14","32,365,481.28","23,589,695.64","49,555,443.34","90,022,394.36","22,703,126.22","40,923,619.09","68,721,609.48","49,254,952.03","29,554,935.65","49,925,787.80","95,164,673.85","147,647,250.58","26,491,245.08","51,647,852.50"
分配股利、利润或偿还利息支付的现金,"7,154,206.83","4,451,666.37","24,598,084.74","840,826.43","1,046,708.53","1,211,642.73","1,292,663.56","24,101.25","27,354,868.76","27,311,900.00","27,424,523.15","32,733.76","33,172,438.68","54,663,418.70","39,914,762.28","2,859,630.51","43,745,433.94"
收回投资收到的现金,,,,,,,"539,000,000.00","40,000,000.00","85,000,000.00","151,000,000.00","952,191,544.57","137,803,875.96","339,577,861.00","508,648,916.55","655,990,722.84","93,493,920.30","181,745,038.90"
支付其他与筹资活动有关的现金,"14,110,605.65","19,224,442.24","11,276,014.36","10,778,113.20","735,621.25","12,452,037.75","11,452,037.75",,,"77,986.27","17,150,756.20",,,,"21,969,483.34","27,661.72","2,046,510.00"
取得投资收益收到的现金,,,,,"58,972.60","4,246,931.50","4,868,109.58","1,850,231.28","2,941,467.19","7,467,935.19","7,300,700.18","1,404,047.10","3,536,255.49","19,830,568.10","4,280,248.10","932,877.63","1,053,291.12"
筹资活动现金流出小计,"196,959,804.48","135,473,308.61","172,854,929.10","52,518,939.63","74,682,329.78","98,563,680.48","97,644,701.31","9,024,101.25","36,354,868.76","39,389,886.27","56,575,279.35","3,032,733.76","39,072,438.68","60,663,418.70","64,884,245.62","2,887,292.23","120,791,943.94"
处置固定资产、无形资产和其他长期资产收回的现金净额,"309,713.74","2,775,024.50","1,147,702.72","52,002.00","264,641.04","1,533,737.60","1,554,103.19","70,797.88","2,311,701.20","2,316,980.36","320,440.84","384,504.59","3,564,243.04","4,323,683.55","662,238.85","115,000.00","1,446,022.87"
筹资活动产生的现金流量净额,"-83,045,162.48","207,891.39","-41,179,099.10","304,943,060.37","299,791,183.38","296,602,945.88","295,870,398.69","-6,024,101.25","13,619,704.05","17,405,340.18","1,345,520.65","-32,733.76","102,676,211.32","81,085,231.30","83,864,404.38","9,992,707.77","-12,511,943.94"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-137,575.85","-1,198,979.80","-4,102,048.89","-3,875,992.18","-2,573,787.51","-674,019.33","-625,518.41","1,668,354.15","2,273,192.53","2,948,151.98","3,183,185.92","73,874.16","2,211,344.36","2,143,516.17","1,545,026.90","-1,011,644.42","-1,066,951.01"
收到其他与投资活动有关的现金,"1,380,000.00","440,000.00",,,,,"855,000.00",,,,"2,900,000.00",,,,"2,983,100.00",,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"1,689,713.74","3,215,024.50","1,147,702.72","52,002.00","323,613.64","5,780,669.10","546,277,212.77","41,921,029.16","90,253,168.39","160,784,915.55","962,712,685.59","139,592,427.65","346,678,359.53","532,803,168.20","663,916,309.79","94,541,797.93","184,244,352.89"
五、现金及现金等价物净增加额,"-15,522,792.58","5,345,265.12","31,120,478.03","322,548,612.28","20,103,669.22","68,468,393.63","53,388,196.01","33,287,548.53","28,894,828.66","89,584,525.37","9,694,515.12","4,535,247.93","67,025,589.55","9,969,240.24","32,894,750.92","-9,449,689.67","-9,860,289.44"
购建固定资产、无形资产和其他长期资产支付的现金,"10,281,066.55","41,145,172.64","36,660,074.84","10,935,939.19","31,027,035.93","48,796,645.36","87,156,291.40","25,730,859.75","62,994,855.40","105,095,491.82","134,138,056.22","41,048,183.70","61,481,065.22","80,875,520.44","120,039,994.63","33,166,148.10","53,496,021.88"
期初现金及现金等价物余额,"28,037,371.34","12,514,578.76","17,859,843.88","48,980,321.91","48,980,321.91","48,980,321.91","48,980,321.91","102,368,517.92","119,894,531.91","119,894,531.91","102,368,517.92","112,063,033.04","112,063,033.04","112,063,033.04","112,063,033.04","144,957,783.96","144,957,783.96"
投资支付的现金,,,"2,000,000.00",,"270,000,000.00","234,000,000.00","791,000,000.00",,"18,700,000.00","18,700,000.00","850,402,222.06","123,605,072.07","351,055,052.72","620,255,413.79","586,570,841.02","90,475,712.10","161,255,642.17"
期末现金及现金等价物余额,"12,514,578.76","17,859,843.88","48,980,321.91","371,528,934.19","69,083,991.13","117,448,715.54","102,368,517.92","135,656,066.45","148,789,360.57","209,479,057.28","112,063,033.04","116,598,280.97","179,088,622.59","122,032,273.28","144,957,783.96","135,508,094.29","135,097,494.52"
