科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"272,516,362.99","314,904,505.32","322,732,507.44","256,951,615.78","340,154,578.17","70,866,038.63","185,297,200.32","318,082,741.92","388,310,412.31","68,800,710.26","174,156,040.26","405,645,649.22","962,554,623.86","269,336,686.71","612,950,063.26","1,239,697,256.43","2,241,227,887.01","592,561,079.24"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,"7,449,905.89","-35,535,531.94","1,537,572.14","28,900,000.00","2,500,000.00","120,327,814.18","64,377,062.12",
收到的税费返还,"2,223,145.42",,,,,,,,,,,,"13,164.56","1,847,545.34","2,338,143.59","2,659,856.40","3,006,286.82","487,351.03"
支付其他与投资活动有关的现金,,,,"658,252.43","658,252.43",,,,"100,179,563.11",,,"28,600,000.00",,"33,500,000.00","38,700,000.00","45,000,000.00",,
收到其他与经营活动有关的现金,"20,951,401.64","25,685,155.36","39,201,897.79","41,106,272.44","59,069,207.06","17,239,439.40","21,389,197.07","35,603,951.89","37,832,533.37","7,664,544.77","22,383,404.69","31,803,023.42","78,033,432.00","31,501,752.12","36,585,181.68","116,827,956.58","85,555,400.44","101,931,289.56"
投资活动现金流出小计,"111,863,410.32","204,889,476.85","31,212,267.20","40,581,378.81","71,002,702.46","15,872,311.18","46,310,261.58","71,862,827.51","222,877,473.08","27,373,677.90","46,625,046.92","95,959,022.56","282,235,543.50","153,910,777.71","428,541,614.87","808,775,887.54","933,807,714.60","164,120,795.72"
经营活动现金流入小计,"295,690,910.05","340,589,660.68","361,934,405.23","298,057,888.22","399,223,785.23","88,105,478.03","206,686,397.39","353,686,693.81","426,142,945.68","76,465,255.03","196,539,444.95","437,448,672.64","1,040,601,220.42","302,685,984.17","651,873,388.53","1,359,185,069.41","2,329,789,574.27","694,979,719.83"
投资活动产生的现金流量净额,"-111,863,410.32","-198,702,598.85","178,055,470.52","-40,200,959.81","-70,676,478.46","-15,872,311.18","-45,554,121.58","-70,976,687.51","-216,635,077.53","-23,020,777.90","-40,635,346.92","-44,422,193.49","-216,861,903.97","-152,855,182.35","-323,675,161.47","-750,665,603.55","-828,071,084.06","-164,115,207.72"
购买商品、接受劳务支付的现金,"102,151,253.58","127,326,129.79","139,304,618.25","88,482,891.84","130,202,110.98","30,230,361.90","63,186,588.58","101,827,337.14","141,020,996.17","25,757,176.44","64,496,365.00","113,754,087.87","371,646,345.50","259,278,227.08","504,698,005.70","815,908,732.55","1,436,142,852.63","468,606,185.41"
吸收投资收到的现金,,,,,,"261,044,928.00","261,044,928.00","261,044,928.00","261,044,928.00",,,,"984,999,969.89",,"69,097,000.00","80,097,000.00","86,152,400.00",
