科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"128,945,762.39","163,402,558.30","221,294,055.47","50,878,133.96","141,823,625.24","212,756,716.84","21,348,726.84","39,922,961.80","150,290,970.28","236,696,693.04","50,426,902.07","90,353,988.47","315,848,375.93","427,300,400.93","97,019,008.95","145,437,096.17","297,782,667.79","418,659,896.48","78,512,690.81","166,428,274.06","371,349,298.67","638,233,262.91","122,998,082.62","292,092,123.20","542,107,771.76","921,628,462.87","143,752,632.16","282,294,239.34","519,541,087.76","840,062,911.66","127,536,646.98"
取得子公司及其他营业单位支付的现金净额,"1,360,000.00","5,000,000.00",,,,,,"14,000,000.00",,"67,918,653.19",,"52,498,445.28","21,700,663.48","5,755,790.67","49,475,000.00","49,475,000.00","74,475,000.00","38,000,000.00","23,701,982.13",,,"1,534,758.10","89,318,386.32","536,380,000.00","739,880,000.00","1,018,722,873.94","40,000,000.00","394,000,000.00","394,000,000.00","261,500,000.00",
收到的税费返还,"6,942,841.24","9,632,787.62","11,752,425.52","2,135,375.24","8,510,244.30","11,709,599.64","1,627,693.21","4,212,860.78","13,392,667.67","12,063,439.66","1,017,945.10","5,424,264.30","15,828,092.40","21,403,344.98","6,541,880.57","9,912,568.20","18,760,957.17","21,293,412.90","1,958,941.79","3,582,348.85","13,577,955.62","17,046,036.27","3,814,597.71","7,701,708.22","18,413,657.66","23,463,883.08","2,792,259.37","6,385,984.74","17,390,596.28","24,989,910.63","3,061,432.81"
支付其他与投资活动有关的现金,"626,970.26",,,,"43,850.00","344,336,597.00",,,"30,990,000.00","6,000,000.00","7,000,000.00",,,"3,000,000.00",,,,,,"37,000,000.00","45,000,000.00","2,017,779,000.00","79,381,000.00","178,281,000.00","193,481,000.00","11,543,080,000.00","199,000,000.00","266,000,000.00","444,000,000.00","8,410,083,492.52","915,610,000.00"
收到其他与经营活动有关的现金,"2,210,559.05","5,923,431.32","7,288,561.90","687,509.89","28,919,426.58","23,032,806.16","2,978,184.83","3,166,021.13","3,999,843.22","11,575,994.69","2,747,332.62","2,294,843.75","24,857,114.58","28,978,160.69","10,572,595.03","18,494,957.20","16,190,247.41","29,419,388.84","2,737,327.16","5,763,627.70","16,620,451.21","19,473,261.93","29,820,458.88","27,440,476.67","29,380,197.39","49,050,590.67","16,027,747.71","9,188,472.84","23,881,764.36","30,384,441.27","27,045,699.08"
投资活动现金流出小计,"15,632,429.25","28,534,910.21","39,121,395.03","16,444,282.08","18,641,780.72","384,263,628.09","99,800,434.37","176,029,697.39","223,617,568.37","426,432,832.49","13,396,201.62","65,275,844.68","68,831,751.58","102,259,611.96","70,403,063.83","73,354,296.01","101,841,507.22","254,648,573.27","31,812,570.20","205,683,691.31","252,434,537.75","2,266,030,755.23","242,517,705.51","920,097,744.43","1,146,582,226.93","12,806,776,471.07","318,789,302.66","787,259,497.95","969,778,332.97","8,737,787,871.02","919,203,077.16"
经营活动现金流入小计,"138,099,162.68","178,958,777.24","240,335,042.89","53,701,019.09","179,253,296.12","247,499,122.64","25,954,604.88","47,301,843.71","167,683,481.17","260,336,127.39","54,192,179.79","98,073,096.52","356,533,582.91","477,681,906.60","114,133,484.55","173,844,621.57","332,733,872.37","469,372,698.22","83,208,959.76","175,774,250.61","401,547,705.50","674,752,561.11","156,633,139.21","327,234,308.09","589,901,626.81","994,142,936.62","162,572,639.24","297,868,696.92","560,813,448.40","895,437,263.56","157,643,778.87"
投资活动产生的现金流量净额,"-15,626,539.25","-26,521,775.25","-36,094,824.84","-16,395,832.08","-18,641,780.72","-384,237,138.78","75,232,273.25","2,253,441.46","131,099,626.49","-93,135,579.47","99,123,931.72","40,046,587.67","90,032,669.65","196,144,818.26","-24,358,480.49","-25,027,082.16","-26,776,211.88","-54,776,579.20","-18,020,549.70","-185,937,207.59","-232,252,145.80","-2,083,152,014.47","-214,757,948.76","-513,379,157.48","-716,793,801.95","-821,872,284.46","119,865,440.88","482,701,952.37","20,659,985.61","-60,188,930.29","-400,243,138.41"
购买商品、接受劳务支付的现金,"77,500,774.52","106,066,357.54","117,626,921.31","33,849,804.50","84,947,482.03","119,475,206.89","15,816,278.52","35,746,563.01","84,712,372.81","129,631,152.07","50,350,660.57","68,067,095.71","246,924,000.97","343,764,234.15","75,837,442.27","116,053,577.97","210,595,643.46","254,467,205.39","68,171,389.83","136,263,020.58","253,809,150.24","402,230,666.02","64,194,862.60","185,367,703.21","338,444,696.95","530,997,999.75","107,555,581.82","257,644,681.06","403,626,166.74","490,913,666.09","95,855,375.77"
吸收投资收到的现金,"27,600,000.00",,,,"426,281,272.90","427,531,272.90",,,"38,200,000.00","23,200,000.00",,,,,,"358,893,915.80","358,893,915.80","358,893,915.80",,,"2,074,232,046.66","2,076,735,971.20",,,,,,,,,
