科目,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"29,906,088.88","28,971,978.09","37,888,777.82","46,021,394.47","653,420,467.71","634,743,750.60","582,348,629.40","559,524,356.32","512,119,592.73","486,022,945.45","483,903,594.31","426,488,997.40","420,019,041.01","398,270,230.23","350,243,617.31","329,941,018.13","346,503,747.54","229,138,860.82","162,953,607.42","156,635,516.06","151,347,455.15","148,713,466.76","81,232,479.14","60,261,655.93","68,181,894.34","51,384,124.22","107,035,178.54","73,880,420.43","112,721,403.30","56,256,234.48","70,264,345.93","67,731,777.68","109,174,172.32","140,263,940.33","41,694,333.81","7,512,034.65","7,653,575.70","9,488,754.75","5,126,169.45","5,483,176.38","6,352,401.30","6,854,120.90"
短期借款,"20,000,000.00",,,,,,,,,,,,,,,,,"20,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00","5,000,000.00","20,000,000.00","20,000,000.00","15,000,000.00",,,"88,000,000.00","102,598,000.00","202,598,000.00","205,600,000.00","255,600,000.00","296,000,000.00","295,000,000.00","584,998,000.00","524,998,000.00","514,500,000.00","514,400,000.00","515,175,000.00","513,550,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"4,908,184.40","9,197,155.60","14,478,801.25","16,092,170.00","14,343,245.70","20,633,652.17","5,259,424.00","13,071,996.00","19,221,914.00","24,431,548.00","8,619,100.00","20,483,310.28","42,770,061.50","47,149,724.30","30,626,823.08","26,955,151.28","32,378,506.73","43,377,713.03","47,331,646.30","50,914,893.97","59,985,548.54","74,212,879.96","66,733,417.22","78,762,467.34","82,759,890.22","90,203,933.75","88,970,686.68",,"11,047,899.00","1,850,000.00","3,000,000.00",,"300,000.00","2,000,000.00","20,200,000.00",,"2,906,294.00","4,749,816.62","1,729,816.62","1,729,816.62","306,524.75",
应付票据,,"2,000,000.00","9,000,000.00","7,000,000.00",,,,,,"5,350,000.00","5,350,000.00","3,859,800.00","9,859,800.00","14,100,000.00","15,406,500.00","17,696,500.00","20,090,000.00","12,700,000.00","12,000,000.00","17,000,000.00","20,690,000.00","20,340,000.00","27,911,000.00","36,151,000.00","23,310,000.00","22,900,000.00","24,572,300.00","41,587,000.00","70,294,019.40","42,019,019.40","73,770,000.00","60,000,000.00","51,246,000.00","93,461,000.00","51,244,600.00","17,802,886.08","11,473,286.08","12,167,165.29","31,473,286.08",,,
应收账款,"81,879,378.67","89,090,276.50","109,745,667.64","107,348,902.90","121,307,378.89","137,815,942.07","154,070,331.75","142,665,533.44","156,336,301.70","156,170,584.99","174,352,461.55","164,547,721.73","178,100,671.14","182,543,960.45","205,426,707.57","217,552,780.22","238,842,300.64","295,663,184.05","327,689,439.50","334,917,195.87","341,553,664.78","336,809,343.27","352,738,179.55","382,246,522.01","391,150,240.70","388,851,410.91","396,596,990.39","126,607,157.24","182,201,245.25","185,172,561.01","328,128,544.42","405,059,323.04","704,257,022.38","870,516,633.55","681,428,287.25","688,758,617.70","977,629,111.45","945,422,045.00","841,293,633.73","794,661,364.78","992,082,603.05",
应付账款,"18,526,165.62","26,120,109.25","26,209,692.52","15,653,880.51","16,906,021.75","16,356,259.62","20,370,594.20","14,771,883.28","22,428,731.12","23,179,095.43","27,426,700.62","20,148,454.25","27,782,170.47","26,974,345.96","27,033,246.63","29,865,732.43","39,061,152.25","54,437,512.54","64,681,861.04","62,708,723.48","59,566,819.85","55,766,471.19","44,747,808.12","59,268,840.86","47,823,243.71","40,934,561.33","45,577,814.81","147,221,995.48","194,261,289.30","149,747,783.83","304,064,521.76","499,232,366.86","695,605,887.48","561,689,813.88","689,632,493.18","793,176,612.34","538,089,406.18","533,012,272.02","588,039,658.66",,"341,930,300.52",
预付款项,"635,176.70","6,440,146.47","5,016,455.82","720,457.03","1,670,363.52","5,778,076.69","8,384,920.31","30,362,785.01","56,220,470.15","53,883,734.34","52,597,476.77","66,081,210.75","23,316,887.95","16,675,129.03","18,067,103.95","18,750,237.30","9,094,187.75","10,870,290.36","13,063,375.09","4,836,792.71","4,936,309.36","8,238,999.46","6,531,422.41","5,496,274.30","11,104,388.91","6,132,615.52","3,397,159.01","11,529,732.89","14,559,582.60","31,493,257.47","25,943,179.99","44,567,769.70","12,736,657.35","61,264,480.77","90,886,060.13","72,405,831.04","145,035,279.75","178,775,405.28","194,104,500.49","215,300,179.40","70,580,065.51","67,139,849.37"
预收款项,"646,700.00","5,095,391.00","6,890,483.00","6,341,928.00","7,012,218.90","3,898,198.90","5,363,076.90","7,574,789.43","7,938,750.00","10,237,050.00","13,022,044.77","10,039,121.00","8,189,521.00","13,985,677.00","16,678,485.98","16,371,056.34","6,607,557.98","14,740,091.98","14,347,075.91","19,492,990.74","7,509,536.40","9,771,092.80","8,444,940.80","10,892,050.40","5,890,147.80","6,986,116.80","9,419,390.80","4,936,740.34","4,444,089.81","4,145,925.03","9,598,199.32","7,655,408.83","6,417,237.93","10,792,980.52","7,112,609.84","7,617,259.25","3,930,290.40","5,076,006.89","5,825,937.47","7,774,464.49","4,638,475.27","4,427,072.49"
其他应收款,"5,453,939.99","5,153,633.43","5,887,609.93","7,931,920.72","5,937,399.43","7,621,923.69","8,304,150.15","10,342,574.21","13,030,716.98","14,153,917.81","16,715,389.74","16,126,839.13","15,039,465.27","17,961,221.40","20,673,265.80","22,194,125.75","20,287,601.35","32,491,145.08","25,246,597.30","27,382,767.69","17,737,922.43","22,247,759.46","17,872,567.54","23,416,192.00","11,446,088.62","14,297,440.42","13,053,348.15","25,635,127.52","16,556,717.35","48,638,403.03","45,021,196.80","72,525,776.85","54,281,589.91","58,653,722.91","85,981,908.22","131,283,644.11","148,694,682.25","200,709,484.58","162,437,937.85","176,312,951.05","50,176,244.00","50,732,351.52"
应付职工薪酬,"2,164,511.62","2,566,380.27","5,673,761.62","7,734,890.66","2,451,318.52","4,899,283.81","7,109,172.30","9,241,290.29","2,562,074.89","4,900,156.95","7,488,437.18","8,733,270.73","3,846,427.89","3,886,256.65","6,082,975.98","7,844,031.59","3,033,920.89","4,495,183.84","7,781,848.44","11,770,995.24","3,300,739.06","3,640,624.09","4,129,054.70","4,107,603.64","3,230,392.51","1,791,942.47","2,660,510.97","-4,618.52","3,976,054.91","832,041.81","742,000.00","283,812.06","7,102,499.94","82,601.18","3,159,857.19","3,730,263.98","8,919,219.22","7,884,472.98","12,626,020.66","12,068,027.70","14,633,986.50","8,741,341.73"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"4,579,896.88","2,925,977.98","5,026,561.22","3,560,617.03","6,708,123.00","7,461,156.49","4,556,608.25","2,945,703.54","2,483,395.44","269,985.05","2,322,999.11","3,740,017.29","7,617,994.01","3,944,251.35","5,579,878.51","389,967.54","9,501,352.28","15,914,007.45","4,803,621.07","4,397,516.75","6,732,191.86","3,739,802.51","-340,589.59","3,380,445.67","6,611,334.97","1,769,903.08","-2,666,082.55","34,214,337.37","22,723,860.68","9,676,167.41","23,766,850.19","23,914,096.06","32,589,549.02","-37,349,609.78","-32,028,486.05","-3,065,348.93","57,320,734.43","62,308,977.40","56,558,509.96","25,470,756.67","48,157,451.59","47,673,543.02"
应收利息,,,,,"826,849.48","4,078,099.48","7,006,391.15","10,223,891.15","8,741,391.15","10,833,891.15","13,613,891.15","15,018,891.15",,"1,312,500.00","2,625,000.00","3,937,500.00",,,,,"2,552,719.75",,,,"2,043,610.96","2,867,360.96",,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21,487,572.66",
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,797,380.42","7,392,053.62","519,120.00","519,120.00","25,873,928.30","19,483,749.30","19,483,749.30","19,483,749.30","45,584,287.26",,"45,584,287.26",
存货,"16,431,975.38","32,728,826.28","36,915,877.12","32,940,828.77","29,542,609.16","26,750,197.44","29,119,326.25","30,965,143.93","34,266,745.88","35,038,221.05","40,220,160.76","44,053,235.97","47,283,127.84","60,569,656.79","61,706,595.24","65,735,102.57","62,132,224.01","83,156,857.05","93,427,557.62","103,027,206.28","85,824,949.56","75,911,805.88","82,600,387.25","76,023,497.39","48,479,335.89","52,847,850.13","49,427,455.72","587,819,960.88","563,142,874.14","526,300,369.44","696,865,044.42","952,459,039.58","985,087,248.65","805,837,858.62","1,231,223,619.09","1,361,002,066.19","1,071,828,733.21","952,436,588.96","969,096,588.41","998,979,480.47","390,391,084.39","393,431,376.16"
其他应付款,"3,728,607.84","3,693,436.59","6,348,093.72","5,941,894.24","8,116,035.07","6,317,296.63","8,377,467.27","10,222,196.43","13,000,194.09","12,544,989.02","11,629,928.97","8,915,313.61","13,542,756.63","12,729,780.03","12,209,647.93","10,136,485.64","15,455,737.74","12,794,016.49","10,923,754.02","11,053,190.73","13,624,535.21","14,105,469.28","11,444,215.57","12,015,711.73","5,215,320.34","5,650,331.23","7,707,652.23","109,530,195.73","35,772,498.62","159,909,399.52","228,240,772.47","236,819,622.40","307,666,181.80","295,051,449.35","270,411,656.08","288,098,533.30","419,735,658.96","406,189,238.63","282,859,102.61","346,506,266.11","146,468,713.39","132,241,282.95"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,"800,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35,000,000.00","45,000,000.00","105,000,000.00","105,000,000.00","154,400,000.00","153,950,000.00","154,000,000.00","154,000,000.00"
其他流动资产,,,,,,,,,,,"500,000.00","200,000.00",,,,,,,,,,,"40,000,000.00","45,000,000.00","40,000,000.00","40,000,000.00",,,,,,,,,,"28,099,880.17","38,967,539.58","32,988,027.36","114,309,526.61","41,876,848.27","39,291,326.19","78,553,625.10"
其他流动负债,,,,,,,,,,,,,,,,,,,,,,,,,"42,880.83",,,,,,,,,,,,,,,"6,837,837.84",,
流动资产合计,"139,214,744.02","171,582,016.37","209,933,189.58","211,055,673.89","827,048,313.89","837,421,642.14","794,493,173.01","797,156,280.06","799,937,132.59","781,334,842.79","790,522,074.28","753,000,206.41","726,529,254.71","724,482,422.20","689,369,112.95","685,065,915.25","709,238,568.02","694,698,050.39","669,712,223.23","677,714,372.58","663,938,569.57","666,134,254.79","647,708,453.11","671,206,608.97","655,165,449.64","646,584,735.91","658,480,818.49","825,472,398.96","900,229,721.64","849,710,825.43","1,169,222,311.56","1,542,343,686.85","1,865,836,690.61","1,938,536,636.18","2,151,414,208.50","2,289,062,073.86","2,392,715,215.94","2,324,570,122.55","2,288,098,173.16","2,234,343,816.97","1,549,180,249.19","1,520,963,894.67"
流动负债合计,"49,645,881.96","42,401,295.09","59,148,592.08","46,233,210.44","41,193,717.24","38,932,195.45","45,776,918.92","44,755,862.97","48,413,145.54","56,481,276.45","67,240,110.65","55,435,976.88","70,838,670.00","75,620,310.99","82,990,735.03","82,303,773.54","93,749,721.14","135,080,812.30","134,538,160.48","146,423,416.94","131,423,822.38","127,363,459.87","116,336,429.60","130,815,652.30","112,123,320.16","100,032,854.91","102,271,586.26","337,485,650.40","331,471,812.72","454,330,337.00","760,577,724.16","1,037,895,359.83","1,306,746,476.17","1,179,847,355.15","1,346,406,658.54","1,466,843,955.32","1,748,950,344.57","1,676,119,882.51","1,691,866,802.70","1,651,695,348.13","1,225,003,927.27","1,209,926,789.02"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,"21,000,000.00","21,000,000.00","21,000,000.00","21,000,000.00","21,000,000.00","21,000,000.00","21,000,000.00","21,000,000.00","21,000,000.00","21,000,000.00","21,000,000.00","21,000,000.00","21,000,000.00","21,000,000.00",,,,
长期借款,,,,,,,,,,,,,,,,,,"10,000,000.00",,,,,,,,,,,,,,,,"190,000,000.00","155,000,000.00","110,000,000.00","50,000,000.00","50,000,000.00",,,,
持有至到期投资,,,,,,,,,,"21,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,"21,000,000.00","21,000,000.00","21,000,000.00","21,000,000.00","21,000,000.00","21,000,000.00","21,000,000.00","21,000,000.00","21,000,000.00","21,000,000.00","21,000,000.00","21,000,000.00","21,000,000.00","21,000,000.00",,,,,,,,,,,,,,,,"12,000,000.00",,
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"47,969,829.25","47,969,829.25"
固定资产,"16,394,332.12","16,765,797.13","16,976,326.37","16,595,210.32","16,267,534.05","15,999,515.98","27,292,119.47","29,388,050.90","45,517,873.43","66,935,487.97","66,945,229.40","67,628,420.42","96,860,479.20","96,838,883.95","96,379,564.62","173,776,785.17","170,810,104.10","203,438,314.57","199,727,591.66","260,874,997.68","260,044,631.72","256,568,274.07","252,486,290.73","247,869,248.36","245,900,131.03","242,306,334.39","235,499,271.12","11,638,649.87","11,876,250.10","13,930,217.28","13,544,513.30","16,616,148.85","22,905,840.53","17,607,943.10","22,273,973.26","21,196,190.63","21,354,361.97","20,617,547.56","21,342,446.19","20,405,645.92","19,532,155.33","18,724,174.60"
递延所得税负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,874,812.50","1,874,812.50","1,770,656.25","1,718,578.12","1,666,500.00","1,614,421.87","1,562,343.75","1,510,265.62","1,458,187.50","1,406,109.37"
在建工程,,"1,506,715.00","9,167,823.00","10,190,129.66","13,436,882.91","15,179,084.56","17,247,413.48","20,294,443.21","25,047,276.97","22,984,088.65","36,013,523.99","49,274,464.22","75,887,366.55","94,173,179.26","98,715,712.45","31,188,520.84","42,326,987.81","49,307,363.91","50,650,128.73","411,348.51","590,960.77","2,544,210.93","2,840,174.93","2,862,846.53","348,332.40","365,531.40","365,531.40",,,,,"696,622.43","1,190,236.51","1,415,301.63",,,,,,,,
其他非流动负债,,,,,,,,,"2,043,986.18","2,043,986.18","2,043,986.18","2,043,986.18","2,001,105.35","2,001,105.35","2,001,105.35","2,001,105.35","10,958,224.52","10,958,224.52","10,958,224.52","10,958,224.52","10,915,343.69","10,915,343.69","10,915,343.69","10,915,343.69","10,829,582.03",,,,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,,,,,,,,,"2,043,986.18","2,043,986.18","2,043,986.18","2,043,986.18","2,001,105.35","2,001,105.35","2,001,105.35","2,001,105.35","10,958,224.52","20,958,224.52","10,958,224.52","10,958,224.52","10,915,343.69","10,915,343.69","10,915,343.69","10,915,343.69","10,829,582.03","7,947,462.86","7,722,462.86",,,,,,"1,874,812.50","191,874,812.50","156,770,656.25","111,718,578.12","51,666,500.00","51,614,421.87","1,562,343.75","1,510,265.62","49,428,016.75","49,375,938.62"
固定资产清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
负债合计,"49,645,881.96","42,401,295.09","59,148,592.08","46,233,210.44","41,193,717.24","38,932,195.45","45,776,918.92","44,755,862.97","50,457,131.72","58,525,262.63","69,284,096.83","57,479,963.06","72,839,775.35","77,621,416.34","84,991,840.38","84,304,878.89","104,707,945.66","156,039,036.82","145,496,385.00","157,381,641.46","142,339,166.07","138,278,803.56","127,251,773.29","141,730,995.99","122,952,902.19","107,980,317.77","109,994,049.12","337,485,650.40","331,471,812.72","454,330,337.00","760,577,724.16","1,037,895,359.83","1,308,621,288.67","1,371,722,167.65","1,503,177,314.79","1,578,562,533.44","1,800,616,844.57","1,727,734,304.38","1,693,429,146.45","1,653,205,613.75","1,274,431,944.02","1,259,302,727.64"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"61,760,000.00","61,760,000.00","61,760,000.00","61,760,000.00","82,760,000.00","82,760,000.00","82,760,000.00","82,760,000.00","82,760,000.00","82,760,000.00","82,760,000.00","82,760,000.00","82,760,000.00","82,760,000.00","82,760,000.00","82,760,000.00","82,760,000.00","82,760,000.00","107,588,000.00","107,588,000.00","107,588,000.00","107,588,000.00","107,588,000.00","107,588,000.00","107,588,000.00","107,588,000.00","107,588,000.00","120,171,310.00","120,171,310.00","120,171,310.00","120,171,310.00","120,171,310.00","120,171,310.00","120,171,310.00","120,171,310.00","120,171,310.00","120,171,310.00","120,171,310.00","120,171,310.00","120,171,310.00","120,171,310.00","120,171,310.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
