科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
三、利润总额,"74,972,024.03","90,499,516.19","59,807,801.70","143,907,646.51","64,117,268.20","121,421,403.35","152,491,984.22","10,886,903.01","61,870,292.97","121,139,046.58","145,326,019.21","10,946,030.01","56,078,463.91","88,789,349.86","87,530,970.47","-1,547,514.38","43,711,802.41","90,462,815.09","136,016,865.76","2,891,868.98","48,845,797.08","76,708,392.60","81,447,713.17","1,840,147.94","19,551,440.17","28,518,312.75","63,138,880.40","1,172,031.63","8,206,313.36","16,529,526.11","30,387,901.97","-5,757,306.20","-39,697,127.22","-64,620,951.56","46,775,986.56"
资产减值损失,"3,870,106.99","6,082,735.58","4,726,467.99","6,661,706.41","5,280,988.23","7,756,307.48","7,120,275.20",,"4,795,542.46","5,110,794.83","10,005,832.47",,"939,133.69","1,209,264.57","14,560,141.38",,"4,662,546.72","7,478,842.70","20,964,730.88","1,486,581.85","-282,354.98","2,933,019.16","25,127,524.59","1,300,110.45","7,638,059.61","23,446,380.10","23,366,467.20","1,546,018.03","7,395,804.02","28,256,206.47","40,190,695.91","13,559,964.99","78,026,012.78","145,911,457.39","118,240,562.52"
减:所得税,"10,609,427.67","13,095,203.50","11,998,655.35","24,091,655.83","12,582,755.67","19,484,313.81","26,509,456.31","2,579,066.63","10,089,776.70","18,183,984.30","24,073,540.06","2,619,102.16","11,454,546.41","15,812,549.43","16,851,414.82","783,740.56","5,517,477.86","15,184,473.78","24,233,644.26","2,925,535.50","11,693,626.21","15,664,782.00","19,892,773.16","1,995,377.23","5,442,246.30","8,671,964.60","16,205,232.69","2,759,911.02","8,308,405.60","7,950,397.71","7,369,200.91","1,382,630.48","4,600,922.57","8,136,105.26","30,320,103.45"
加:公允价值变动净收益,"294,349.98","-1,069,260.00","72,860.00","349,300.00","-181,520.00","-17,260.00","-24,690.00","103,060.00","-4,980.00","-91,310.00","-192,550.00","-25,120.00","-49,840.00","-71,440.00","-45,290.00","56,760.00","-78,150.00","-31,120.00","-74,390.00","11,270.00","11,720.00","179,640.00","178,740.00","78,600.00","134,800.00","194,200.00","162,400.00","10,200.00","10,500.00","48,000.00","9,300.00","37,500.00","31,500.00","25,500.00","-53,400.00"
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,"19,344,979.06","14,208,846.49","7,848,363.09","7,856,616.39","44,728.08","28,571.77","51,850.89",19.17,"21,027.24","21,064.56","21,751.75",38.34,"11,818.34","19,133.40","26,814.92",,"12,440.68","18,595.88","19,335.10",56.62,"4,686.82","11,689.11","12,386,938.71","6,056,200.00","12,449,326.15","18,351,455.29","20,161,834.50","4,322,064.97","699,206.40","3,025,759.15","12,128,342.12","2,690,532.73","6,977,617.97","13,448,850.20","19,788,427.09"
四、净利润,"64,362,596.36","77,404,312.69","47,809,146.35","119,815,990.68","51,534,512.53","101,937,089.54","125,982,527.91","8,307,836.38","51,780,516.27","102,955,062.28","121,252,479.15","8,326,927.85","44,623,917.50","72,976,800.43","70,679,555.65","-2,331,254.94","38,194,324.55","75,278,341.31","111,783,221.50","-33,666.52","37,152,170.87","61,043,610.60","61,554,940.01","-155,229.29","14,109,193.87","19,846,348.15","46,933,647.71","-1,587,879.39","-102,092.24","8,579,128.40","23,018,701.06","-7,139,936.68","-44,298,049.79","-72,757,056.82","16,455,883.11"
其中:对联营企业和合营企业的投资权益,,,,,,,"237,932.14",,,,,,,,,,,,,,,,"-3,369,187.03",,,,"-4,043,393.33",,,,"-1,385,716.51",,,,"-680,033.14"
归属于母公司所有者的净利润,"60,742,072.24","74,244,736.17","47,078,334.38","117,013,388.53","50,516,554.94","100,291,732.43","122,595,223.04","8,604,204.94","50,561,336.22","102,642,054.83","119,769,451.82","8,365,139.51","44,422,083.99","74,200,479.21","75,903,333.72","-1,932,289.42","38,098,184.22","77,158,959.87","113,442,251.69","842,582.13","38,361,111.15","62,618,479.11","57,715,971.53","668,990.17","16,177,578.75","24,012,833.72","48,551,751.97","-1,304,452.57","571,877.96","7,964,500.10","21,207,282.01","-6,096,784.53","-42,827,950.05","-70,513,768.86","19,267,646.17"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,-0.02,,,,,,,,,,,,,,,,,
少数股东损益,"3,620,524.12","3,159,576.52","730,811.97","2,802,602.15","1,017,957.59","1,645,357.11","3,387,304.87","-296,368.56","1,219,180.05","313,007.45","1,483,027.33","-38,211.66","201,833.51","-1,223,678.78","-5,223,778.07","-398,965.52","96,140.33","-1,880,618.56","-1,659,030.19","-876,248.65","-1,208,940.28","-1,574,868.51","3,838,968.48","-824,219.46","-2,068,384.88","-4,166,485.57","-1,618,104.26","-283,426.82","-673,970.20","614,628.30","1,811,419.05","-1,043,152.15","-1,470,099.74","-2,243,287.96","-2,811,763.06"
