科目,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"32,182,642,650.64","52,464,918,821.20","115,931,947,827.39","34,602,079,338.47","77,413,688,478.84","117,771,342,910.12","142,346,653,101.19","15,848,800,075.63","32,843,152,199.92","52,745,846,501.63","70,250,270,513.25","21,430,107,119.14","46,921,577,497.50","77,434,958,140.93","96,876,149,240.07","20,976,803,263.01","47,416,410,123.38","73,654,443,940.11","95,685,087,687.19","21,504,075,919.61","49,120,401,384.73","77,931,815,893.69","95,196,278,646.85","23,407,513,844.90","40,117,999,349.97","68,131,107,177.55","75,180,477,627.59","14,056,379,513.28","30,216,111,783.83","47,411,787,078.90","67,150,347,641.03","15,681,313,789.95","29,782,633,178.19","44,067,265,220.87","58,608,348,945.20","14,553,445,652.90","28,687,136,426.37","42,133,348,867.37","70,515,850,884.41","20,766,769,785.79","43,177,571,408.01","67,155,891,941.77","91,262,907,054.13","22,146,487,130.72"
取得子公司及其他营业单位支付的现金净额,,,"12,728,496,667.82",,"195,967,425.93","194,054,993.47","82,961,629.51",,"29,424,761.43","29,424,761.43","312,564,095.97",,"6,980,074.42","6,980,074.42",,,"205,237,314.74","205,237,314.74","2,526,803.22",,,,,,"199,313,558.96",,"199,313,558.96",,,,,,,,,,,,,,,,"2,039,458,617.15",
收到的税费返还,"34,546,388.03","50,921,569.12","117,195,171.53","8,336,655.60","54,444,060.87","55,931,693.23","64,152,287.65","47,665,375.83","112,083,990.13","178,078,898.94","217,399,458.40","28,522,616.14","33,236,038.93","87,484,724.11","85,617,280.42","29,179,459.54","43,001,593.40","107,172,393.95","83,800,164.66","53,824,863.00","158,988,702.60","291,595,871.72","380,175,109.50","59,780,653.32","201,266,891.03","306,339,055.09","420,340,718.04","99,656,145.85","297,352,701.24","433,991,724.25","648,773,554.54","126,895,771.72","306,777,589.33","403,667,078.33","543,702,118.43","92,220,406.26","218,799,061.61","362,056,409.81","493,963,141.24","132,031,318.64","381,375,988.44","838,906,702.45","1,020,370,020.17","367,678,417.77"
支付其他与投资活动有关的现金,"20,000.00","20,000.00","23,414,547.54","6,133,132.69","648,003,447.46","4,325,699.28","532,999,237.80","60,488,321.00","2,135,960,960.98","2,611,078,882.34","3,039,655,767.19","91,728,559.85","15,492,174.97","21,442,538.52","245,701,526.81",,"39,612,332.62","61,545,704.87","94,786,910.12",,,"179,900,000.00",,,"2,820,000.00","2,820,716.60","622,520,000.00",,"2,860.00","622,962,860.00","575,274,095.67","12,897,550.87","12,997,031.01","17,624,263.24","15,381,959.33","446,687.58","1,061,053.34","1,088,364.61","1,229,786.15","8,653,931.39","34,273,093.82","41,847,111.63","42,024,913.63",
收到其他与经营活动有关的现金,"10,186,959,768.47","17,157,577,889.21","23,712,452,767.19","7,579,140,480.61","15,643,003,294.17","22,962,271,745.46","21,543,608,485.95","4,166,373,506.23","9,249,074,900.34","18,244,716,151.53","22,087,959,257.17","6,228,575,992.18","12,895,061,196.01","19,320,659,477.23","24,884,332,473.23","6,517,760,791.52","13,796,923,842.66","19,453,523,967.59","22,545,304,907.75","6,301,792,657.70","14,376,631,775.58","22,644,930,237.62","27,572,554,741.71","6,601,157,765.27","11,259,378,695.51","11,637,909,391.93","16,160,077,938.06","1,234,228,615.92","2,506,760,945.45","5,776,001,942.53","6,177,395,770.54","775,706,912.37","6,289,886,476.09","7,096,487,870.44","6,531,059,224.63","814,358,484.38","1,928,682,853.27","2,146,459,901.43","6,895,503,119.74","1,647,135,329.15","3,078,191,785.65","5,012,095,388.49","6,925,534,429.07","1,722,312,473.50"
投资活动现金流出小计,"3,750,435,264.04","6,805,031,371.12","29,524,945,515.20","6,449,013,029.46","19,690,566,001.38","23,152,754,405.95","29,457,590,400.37","3,504,827,872.70","6,868,682,239.56","10,880,195,953.90","14,894,980,148.19","1,876,683,128.92","7,759,367,314.19","10,825,911,586.40","12,597,125,427.57","2,402,543,961.54","4,437,053,161.09","6,716,054,498.92","8,853,673,420.13","1,161,015,688.79","5,070,442,492.99","8,102,092,188.88","11,912,961,144.27","3,487,130,207.66","6,307,312,007.48","16,370,798,158.88","23,185,494,621.15","3,889,163,769.26","11,749,620,542.85","14,063,908,419.64","15,359,270,561.38","826,321,963.89","4,327,290,605.72","5,799,412,141.03","10,568,354,875.71","2,418,632,469.17","3,423,116,744.26","4,844,175,526.70","7,128,419,384.78","1,643,351,691.89","8,696,657,958.03","11,439,145,850.05","16,589,167,557.04","2,792,440,842.89"
经营活动现金流入小计,"42,404,148,807.14","69,673,418,279.53","139,761,595,766.11","42,189,556,474.68","93,111,135,833.88","140,789,546,348.81","163,954,413,874.79","20,062,838,957.69","42,204,311,090.39","71,168,641,552.10","92,555,629,228.82","27,687,205,727.46","59,849,874,732.44","96,843,102,342.27","121,846,098,993.72","27,523,743,514.07","61,256,335,559.44","93,215,140,301.65","118,314,192,759.60","27,859,693,440.31","63,656,021,862.91","100,868,342,003.03","123,149,008,498.06","30,068,452,263.49","51,578,644,936.51","80,075,355,624.57","91,760,896,283.69","15,390,264,275.05","33,020,225,430.52","53,621,780,745.68","73,976,516,966.11","16,583,916,474.04","36,379,297,243.61","51,567,420,169.64","65,683,110,288.26","15,460,024,543.54","30,834,618,341.25","44,641,865,178.61","77,905,317,145.39","22,545,936,433.58","46,637,139,182.10","73,006,894,032.71","99,208,811,503.37","24,236,478,021.99"
投资活动产生的现金流量净额,"-2,199,716,402.78","-4,727,670,116.94","-19,251,786,869.56","-5,301,977,174.62","-16,569,901,546.81","-15,897,699,693.39","-20,835,650,970.68","-2,951,745,298.05","-5,277,350,736.83","-8,288,189,702.44","-11,093,810,914.07","-1,529,991,243.58","-6,844,799,967.72","-9,385,721,280.48","-11,039,094,566.16","-1,791,303,244.01","-2,118,161,287.31","-3,651,265,862.78","-5,513,867,095.97","-742,423,917.85","-3,608,077,579.41","-5,753,571,548.71","-9,250,557,819.02","-2,981,627,788.13","1,850,496,731.06","-3,659,307,311.48","833,409,939.10","817,453,182.25","-557,661,240.84","-1,180,224,383.51","-779,660,901.67","-484,217,162.44","-3,486,151,248.92","-3,862,283,962.38","-6,949,266,943.29","9,550,444,028.00","7,403,732,764.49","6,230,293,423.97","4,986,406,299.84","-1,626,725,155.02","-8,289,879,655.15","-10,683,165,475.73","-15,233,053,673.35","-2,583,035,692.47"
购买商品、接受劳务支付的现金,"29,003,981,555.06","46,052,262,778.79","84,574,380,322.83","24,428,344,764.60","54,690,161,343.24","84,698,897,327.77","105,705,617,156.76","18,078,806,376.41","35,171,394,797.17","54,145,591,344.67","67,796,516,669.22","18,950,892,560.98","38,716,114,242.43","63,790,470,060.56","77,060,056,694.58","19,614,112,391.32","43,036,989,686.73","68,859,135,582.66","92,433,461,384.55","21,687,603,227.65","46,964,438,235.92","75,954,319,168.75","92,210,975,935.73","24,877,367,021.94","39,725,739,423.35","66,070,567,158.43","70,903,689,102.25","12,521,380,415.66","25,830,779,559.42","41,591,223,195.01","56,533,020,315.93","12,400,400,177.66","25,461,140,300.83","38,158,631,186.27","49,261,889,046.15","12,130,907,814.99","25,018,674,883.29","37,732,504,900.50","63,278,029,259.25","19,369,458,918.39","37,085,467,784.60","58,200,426,946.40","77,330,911,443.14","19,057,610,604.57"
吸收投资收到的现金,"15,046,798,398.90","15,081,859,392.25","28,202,459,425.74",,"2,711,773.51","2,697,238.44","130,574,129.46","300,000.00","160,908,035.70","10,166,988,720.80","372,268,417.20",,"4,259,991,052.71","4,267,926,718.80","4,131,142,272.87","2,971,621.59","22,361,282.84","26,924,206.81","141,078,904.50",,"1,200,000.00","1,200,000.00","1,200,000.00","69,204,196.21","69,204,196.21","100,775,239.78","103,264,143.21","25,500,000.00","25,500,000.00","25,500,000.00","25,500,000.00",,"286,264,460.72","286,421,600.72","271,509,480.10","56,416,887.66","56,183,963.00","57,300,426.21","57,871,370.23",,"27,486.23","681,149,000.14","967,309,402.32",
