科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"336,778,682.49","408,238,194.38","405,349,448.07","280,465,038.91","413,158,648.17","590,033,157.99","83,754,843.11","222,090,547.61","345,616,152.09","535,391,207.50","173,829,483.83","344,060,790.62","534,967,672.88","836,450,887.90","258,653,115.34","472,301,097.05","848,046,638.09"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,"284,765,283.56",,"83,720,000.00","83,720,000.00","61,761,651.48","42,254,832.13","161,649,947.12","161,219,147.62"
收到的税费返还,,,,,,,"859,168.51",,,,"1,564,501.63",,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,"497,950,000.00",,,"1,000,000.00"
收到其他与经营活动有关的现金,"8,250,386.65","23,078,663.80","10,704,395.74","2,852,588.26","4,483,942.96","6,562,792.42","5,913,517.19","6,003,835.88","14,817,676.61","93,056,246.35","5,269,630.93","78,879,408.71","80,578,699.65","24,588,726.46","19,272,819.75","22,295,267.71","38,084,558.06"
投资活动现金流出小计,"55,259,863.46","47,061,059.55","52,836,962.79","54,433,728.26","84,391,046.42","111,526,834.19","47,801,676.20","77,207,115.11","103,062,829.34","399,245,864.80","21,883,854.10","116,339,303.87","128,495,688.27","625,311,087.09","100,225,303.96","251,899,902.77","264,252,458.05"
经营活动现金流入小计,"345,029,069.14","431,316,858.18","416,053,843.81","283,317,627.17","417,642,591.13","596,595,950.41","90,527,528.81","228,094,383.49","360,433,828.70","628,447,453.85","180,663,616.39","422,940,199.33","615,546,372.53","861,039,614.36","277,925,935.09","494,596,364.76","886,131,196.15"
投资活动产生的现金流量净额,"-5,983,359.48","-3,238,026.27","-52,836,962.79","-53,043,471.43","-82,962,546.87","-110,098,334.64","-47,801,676.20","-77,207,115.11","-102,916,760.25","-386,092,795.71","-21,864,483.22","-114,319,932.99","-126,476,317.39","-614,741,050.15","-10,181,236.99","104,744,068.04","-117,265,266.41"
购买商品、接受劳务支付的现金,"143,889,776.33","174,489,876.94","132,334,817.26","120,114,303.60","250,653,749.44","278,724,020.79","74,633,123.82","155,719,309.20","222,197,137.34","295,376,216.06","111,856,435.87","176,025,694.82","254,668,190.19","369,483,408.60","151,626,536.04","290,798,109.09","440,780,747.98"
吸收投资收到的现金,"13,115,355.44","603,000.00","2,290,000.00",,,"429,072,500.00",,"44,366,400.00","44,366,400.00","44,366,400.00",,"4,425,600.00","569,372,685.20","582,897,585.20",,,
支付给职工以及为职工支付的现金,"82,842,542.97","109,502,731.05","128,255,021.32","104,474,669.39","134,781,723.80","159,987,315.78","91,360,675.94","115,037,447.15","147,438,385.74","181,084,023.20","118,322,919.36","149,665,934.79","191,794,232.18","246,702,405.83","154,112,384.83","216,751,962.63","297,083,358.73"
取得借款收到的现金,,,,,,,,,,"245,180,000.00",,"30,000,000.00","30,000,000.00","30,000,000.00",,,
支付的各项税费,"38,454,457.29","28,447,374.32","37,648,277.10","15,593,332.31","26,141,613.85","37,338,257.60","9,955,396.86","15,687,115.46","23,362,865.52","31,737,954.08","62,774,128.88","73,972,782.36","82,936,487.09","105,414,294.36","24,564,899.47","46,255,835.69","60,680,196.04"
收到其他与筹资活动有关的现金,,,,,,,"307,134.98",,,,,,,,,,
支付其他与经营活动有关的现金,"22,387,204.92","13,472,717.84","21,362,643.41","11,142,108.26","-28,633,475.78","30,279,674.79","17,747,931.94","17,430,089.22","15,026,339.25","64,803,972.76","197,430,126.16","212,465,677.39","365,635,413.53","45,788,992.08","25,365,896.27","63,345,759.77","38,170,481.38"
筹资活动现金流入小计,"13,115,355.44","603,000.00","2,290,000.00",,,"429,072,500.00","307,134.98","44,366,400.00","44,366,400.00","289,546,400.00",,"34,425,600.00","599,372,685.20","612,897,585.20",,,
经营活动现金流出小计,"287,573,981.51","325,912,700.15","319,600,759.09","251,324,413.56","382,943,611.31","506,329,268.96","193,697,128.56","303,873,961.03","408,024,727.85","573,002,166.10","490,383,610.27","612,130,089.36","895,034,322.99","767,389,100.87","355,669,716.61","617,151,667.18","836,714,784.13"
偿还债务支付的现金,,,,,,,,,,,,,"275,180,000.00","275,180,000.00",,,
经营活动产生的现金流量净额,"57,455,087.63","105,404,158.03","96,453,084.72","31,993,213.61","34,698,979.82","90,266,681.45","-103,169,599.75","-75,779,577.54","-47,590,899.15","55,445,287.75","-309,719,993.88","-189,189,890.03","-279,487,950.46","93,650,513.49","-77,743,781.52","-122,555,302.42","49,416,412.02"
分配股利、利润或偿还利息支付的现金,"47,835,896.55","20,725,000.00","31,675,000.00","50,000,000.00","51,675,000.00","51,675,000.00",,"38,512,500.00","38,512,500.00","39,177,215.88","2,694,607.23","23,491,237.75","41,662,326.24","47,962,566.39",,"36,995,003.70","36,995,003.70"
收回投资收到的现金,"32,435,766.22","43,526,184.00",,,,,,,,"8,000,000.00",,,,"3,200,000.00","1,630,000.00","1,630,000.00","3,958,092.39"
支付其他与筹资活动有关的现金,"2,505,522.36","133,065.98",,,,"2,199,000.00","9,320,694.00","9,528,433.00","9,528,433.00",,,,"319,291.83","18,610,091.83",,,
取得投资收益收到的现金,"2,037,000.00","240,140.00",,,,,,,,"4,000,000.00",,"2,000,000.00","2,000,000.00","7,161,444.71","3,614,066.97","17,971,965.44","21,963,393.88"
筹资活动现金流出小计,"50,341,418.91","20,858,065.98","31,675,000.00","50,000,000.00","51,675,000.00","53,874,000.00","9,320,694.00","48,040,933.00","48,040,933.00","39,177,215.88","2,694,607.23","23,491,237.75","317,161,618.07","341,752,658.22",,"36,995,003.70","36,995,003.70"
处置固定资产、无形资产和其他长期资产收回的现金净额,"210,000.00","56,709.28",,"16,000.00","54,242.72","54,242.72",,,"146,069.09","153,069.09","19,370.88","19,370.88","19,370.88","208,592.23",,"42,005.37","55,705.37"
筹资活动产生的现金流量净额,"-37,226,063.47","-20,255,065.98","-29,385,000.00","-50,000,000.00","-51,675,000.00","375,198,500.00","-9,013,559.02","-3,674,533.00","-3,674,533.00","250,369,184.12","-2,694,607.23","10,934,362.25","282,211,067.13","271,144,926.98",,"-36,995,003.70","-36,995,003.70"
处置子公司及其他营业单位收到的现金净额,"14,593,737.76",,,,,,,,,"1,000,000.00",,,,,,,
四、汇率变动对现金的影响,"-8,284.80","30,004.73",179.47,0.12,0.12,0.05,,,"-17,958.23","-19,745.40",-480.09,-515.79,"-1,026.79","-3,770.26","-2,675.04","-3,165.26","-13,444.58"
收到其他与投资活动有关的现金,,,,"1,374,256.83","1,374,256.83","1,374,256.83",,,,,,,,,"84,800,000.00","337,000,000.00","121,010,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"49,276,503.98","43,823,033.28",,"1,390,256.83","1,428,499.55","1,428,499.55",,,"146,069.09","13,153,069.09","19,370.88","2,019,370.88","2,019,370.88","10,570,036.94","90,044,066.97","356,643,970.81","146,987,191.64"
五、现金及现金等价物净增加额,"14,237,379.88","81,941,070.51","14,231,301.40","-71,050,257.70","-99,938,566.93","355,366,846.86","-159,984,834.97","-156,661,225.65","-154,200,150.63","-80,298,069.24","-334,279,564.42","-292,575,976.56","-123,754,227.51","-249,949,379.94","-87,927,693.55","-54,809,403.34","-104,857,302.67"
购建固定资产、无形资产和其他长期资产支付的现金,"29,259,863.46","47,061,059.55","52,836,962.79","54,433,728.26","82,761,046.42","109,896,834.19","47,801,676.20","77,207,115.11","103,062,829.34","114,480,581.24","21,883,854.10","27,519,303.87","35,175,688.27","51,499,435.61","53,970,471.83","66,249,955.65","72,423,310.43"
期初现金及现金等价物余额,"71,385,784.34","85,623,164.22","167,564,234.73","181,795,536.13","181,795,536.13","181,795,536.13","537,162,382.99","537,162,382.99","537,162,382.99","537,162,382.99","456,864,313.75","456,864,313.75","456,864,313.75","456,864,313.75","206,914,933.81","206,914,933.81","206,994,134.31"
投资支付的现金,"26,000,000.00",,,,"1,630,000.00","1,630,000.00",,,,,,"5,100,000.00","9,600,000.00","14,100,000.00","4,000,000.00","24,000,000.00","29,610,000.00"
期末现金及现金等价物余额,"85,623,164.22","167,564,234.73","181,795,536.13","110,745,278.43","81,856,969.20","537,162,382.99","377,177,548.02","380,501,157.34","382,962,232.36","456,864,313.75","122,584,749.33","164,288,337.19","333,110,086.24","206,914,933.81","118,987,240.26","152,105,530.47","102,136,831.64"
