科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"247,218,117.52","481,321,879.56","478,943,103.15","210,322,149.34","326,175,936.53","545,163,164.42","109,524,326.87","260,120,543.37","536,677,399.79","914,379,740.77","342,068,208.69","572,609,666.28","1,023,968,399.58","1,284,044,916.40","241,427,110.04","467,522,300.00","744,010,662.02","1,050,379,682.43","268,559,300.12","600,546,952.96","1,006,389,421.49","1,530,769,174.05","345,042,473.88","737,303,648.96","1,191,156,807.87","1,899,448,841.06","457,211,666.29","1,081,213,720.95","1,595,478,254.96","2,748,325,365.43","399,586,462.13","953,423,514.90","1,582,844,610.19","2,561,205,292.38"
取得子公司及其他营业单位支付的现金净额,,,"91,737,715.75",,,,,,,,,,,,,,,,,,,,"121,630,395.68","125,641,450.77","125,641,440.77","125,641,440.77","20,445,000.00","13,992,872.08","13,992,872.08","96,546,553.09","27,690,938.35","15,490,938.35","15,490,938.35","17,653,094.82"
收到的税费返还,"12,553,013.98","32,050,037.66","44,741,445.53","6,278,370.17","6,742,383.21","8,811,368.94","44,232.31","1,509,098.63","24,260,967.44","51,652,205.42","19,121,436.86","88,030,642.56","151,355,783.82","159,376,465.14","5,106,289.01","22,537,192.26","36,552,711.51","52,398,825.99","22,001,868.06","43,489,890.95","80,535,228.71","89,854,128.22","22,139,649.23","48,575,860.81","74,133,906.88","124,186,467.67","49,339,926.75","82,384,874.75","135,587,083.57","165,619,739.96","33,163,773.93","68,328,304.42","112,071,615.83","150,867,003.93"
支付其他与投资活动有关的现金,,"32,578,000.00","10,419,144.00","200,000.00","200,000.00","300,000.00","605,876.35","605,876.35","605,876.35","300,000.00",,,,"500,000.00",,,,"140,000.00",,,,"1,205,000.00",,,,,,,,"44,002,200.00",,,,"31,800,224.95"
收到其他与经营活动有关的现金,"561,500.00","36,000.00","1,528,735.00","434,368.00","745,403.79","3,081,368.00","4,802,846.73","9,182,648.42","114,262,738.02","2,169,000.00","21,608,593.63","28,444,671.93","55,315,277.50","31,222,653.76","3,207,659.32","15,376,912.23","21,891,309.61","31,539,384.97","4,653,769.77","5,986,489.77","9,129,091.84","24,844,232.28","4,831,312.27","605,337,544.73","714,419,152.10","7,607,430.06","32,782,563.17","58,377,514.90","199,305,255.37","81,625,226.30","20,637,207.24","103,170,537.33","201,309,090.58","41,557,775.79"
投资活动现金流出小计,"40,914,196.34","137,049,025.05","181,322,130.98","50,603,991.57","107,553,630.98","104,306,210.00","14,660,878.25","23,118,664.03","29,598,049.09","47,830,442.49","25,334,271.22","155,519,885.05","307,399,777.90","394,892,473.54","65,491,316.82","221,055,688.44","1,071,266,576.34","1,614,645,105.93","530,150,746.83","954,650,873.33","1,303,546,497.63","1,793,175,899.09","445,970,398.65","1,748,677,650.27","2,916,712,967.25","5,157,992,812.75","1,186,734,335.02","2,006,232,766.77","3,480,298,388.95","5,761,981,344.02","2,436,149,900.99","4,705,605,294.37","7,003,907,084.56","8,579,805,176.26"
经营活动现金流入小计,"260,332,631.50","513,407,917.22","525,213,283.68","217,034,887.51","333,663,723.53","557,055,901.36","114,371,405.91","270,812,290.42","675,201,105.25","968,200,946.19","382,798,239.18","689,084,980.77","1,230,639,460.90","1,474,644,035.30","249,741,058.37","505,436,404.49","802,454,683.14","1,134,317,893.39","295,214,937.95","650,023,333.68","1,096,053,742.04","1,645,467,534.55","372,013,435.38","1,391,217,054.50","1,979,709,866.85","2,042,297,733.43","539,334,156.21","1,221,976,110.60","1,930,370,593.90","3,007,087,308.53","453,387,443.30","1,124,922,356.65","1,896,225,316.60","2,753,630,072.10"
投资活动产生的现金流量净额,"-19,628,666.92","-135,394,099.52","-136,146,935.86","-46,733,511.21","-103,618,891.55","-102,611,216.88","-14,659,016.44","-23,038,454.03","-29,517,839.09","-40,929,840.34","-25,292,646.22","-155,519,885.05","-307,399,777.90","-390,755,512.65","-65,491,316.82","-221,055,688.44","-930,817,497.17","-908,042,925.94","-73,970,028.04","-78,087,693.94","76,832,525.30","-8,937,210.77","289,226,728.68","-362,829,796.74","-956,275,689.04","-1,364,804,280.47","89,833,839.90","105,004,687.03","-174,767,282.39","-1,374,772,848.74","-449,795,618.68","-568,307,445.06","-1,026,059,162.71","-1,447,752,738.02"
购买商品、接受劳务支付的现金,"169,349,228.31","547,478,624.11","328,202,786.94","76,894,940.66","120,217,187.90","375,108,232.30","138,203,178.62","400,104,591.96","742,432,035.50","1,019,492,110.31","199,892,303.44","581,030,408.87","938,778,978.55","1,019,125,383.04","211,145,848.24","467,790,458.30","677,313,803.98","818,912,777.27","264,395,374.16","584,480,099.51","960,283,027.15","1,221,493,737.51","260,756,555.85","651,343,838.02","873,983,750.35","1,303,177,538.65","412,666,417.67","763,055,997.52","1,138,430,304.94","2,016,667,868.02","454,887,897.37","1,012,331,501.15","1,550,001,904.61","2,375,895,977.01"
吸收投资收到的现金,"21,001,360.00","82,319,540.00","66,000,000.00",,,"1,238,800,000.00",,,,,,,,,,,,,,,,,"50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00",,,,"2,365,405,281.44","27,802,200.00","27,802,200.00","27,807,200.00","27,802,200.00"
支付给职工以及为职工支付的现金,"5,623,765.16","8,293,373.99","17,701,113.49","11,747,568.66","19,085,334.46","25,814,803.21","7,316,936.14","13,451,534.90","23,176,725.46","50,263,444.72","9,440,081.93","17,779,010.73","26,528,523.68","73,415,297.19","15,446,755.36","34,223,892.74","77,551,812.57","128,132,377.46","22,903,083.24","52,187,896.31","67,041,535.80","163,897,282.62","21,741,048.81","42,750,792.98","65,584,926.81","214,655,104.56","44,183,731.02","82,215,337.75","116,824,180.96","200,331,634.25","59,734,654.56","108,411,139.36","153,743,436.93","294,320,504.27"
取得借款收到的现金,"87,755,135.00","359,460,254.00","472,133,179.00","153,153,400.00","291,000,000.00","379,093,919.65","20,000,000.00","158,965,280.00","213,016,794.66","423,306,556.05","18,882,900.00","227,281,303.02","381,329,066.29","433,606,448.19","127,249,198.22","389,924,524.51","799,292,047.59","1,258,726,328.10","221,117,563.00","388,515,945.20","647,395,161.73","771,975,945.44","118,450,800.00","979,852,982.95","1,185,045,233.75","1,903,142,920.31","220,000,000.00","443,064,480.00","435,257,993.92","472,652,546.07","58,809,825.81","819,595,706.30","961,596,410.98","1,504,715,411.99"
支付的各项税费,"359,292.65","6,334,191.41","16,382,127.88","9,154,303.20","19,523,574.41","23,322,691.67","8,097,772.93","12,219,681.22","18,910,837.19","26,151,466.94","12,316,598.69","21,465,621.89","38,858,749.02","60,378,758.17","21,195,015.03","24,710,470.03","63,883,433.39","56,524,661.76","21,750,954.34","45,692,343.29","61,864,482.94","48,257,278.55","23,597,517.79","51,848,051.30","85,802,863.36","132,650,085.72","43,983,031.08","80,911,269.24","141,254,410.65","144,643,969.24","43,576,277.01","93,558,805.30","125,568,854.15","130,466,305.87"
收到其他与筹资活动有关的现金,,"280,707.00","1,752,424.00","7,388,000.00","8,888,000.00","44,776,423.78",,,"15,913,977.83","8,221,104.72","1,326,331.00","1,326,331.00","2,423,209.00","2,423,209.00",,,,"1,986,746.00","1,091,598.00",,,"1,420,778.00",,"3,011,970.72","943,011,970.72","1,203,011,970.72",,"10,321,999.34","25,321,999.34","10,321,999.34","20,931,128.92","29,940,904.07","10,418,165.23","64,228,336.23"
