科目,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
现金及存放同业款项,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
短期借款,,,,,,"124,584,590.59","194,741,933.08","193,422,578.18","235,675,854.29","240,742,499.92","248,947,070.46","246,012,747.62","175,650,415.68","377,142,383.66","380,916,811.49","444,053,594.38","723,715,707.09","1,117,772,601.75","1,069,082,500.00","1,285,907,000.00","5,996,197,000.00","1,950,996,400.00","973,664,163.12","896,010,344.00","1,629,731,574.80","2,757,144,123.20","4,203,399,244.80","4,863,873,848.17","4,906,911,328.70","5,606,703,948.83","4,546,115,883.00"
货币资金,"59,198,723,250.84","64,696,117,674.63","56,422,650,214.50","48,148,721,138.41","50,300,646,473.17","41,328,772,016.06","44,478,731,635.12","38,578,722,643.19","41,100,047,653.83","36,944,016,807.40","39,374,912,894.52","36,840,615,310.70","37,633,432,508.34","38,828,863,942.90","33,723,773,064.44","32,003,625,127.56","35,024,609,539.65","38,677,802,110.70","48,833,053,259.30","67,680,499,800.97","106,514,527,838.13","205,664,191,664.09","153,674,144,705.16","106,572,461,584.60","108,788,960,600.31","97,891,255,261.12","81,293,712,891.32","80,448,432,300.74","70,151,023,892.24","70,335,694,353.65","62,710,002,576.67"
其中：质押借款,,,,,,"124,584,590.59","194,741,933.08","193,422,578.18","235,675,854.29","240,742,499.92","248,947,070.46","246,012,747.62","175,650,415.68","377,142,383.66","380,916,811.49",,,,,,,,,,,,,,,,
其中：客户资金存款,"54,029,867,868.67","61,544,959,155.14","52,335,573,150.79","45,391,262,818.66","46,949,795,452.67","38,663,246,885.58","33,298,748,792.81","29,744,827,735.79","31,992,042,624.13","27,668,599,773.76","25,072,813,243.59","27,345,507,840.04","29,455,476,686.62","27,445,031,333.14","26,762,187,117.93","25,227,415,214.50","27,559,365,323.42","31,190,217,245.06","42,538,016,659.69","48,995,919,302.22","92,134,513,282.35","164,613,169,033.35","108,997,158,197.20","88,640,516,613.43","95,502,461,710.62","88,411,157,011.86","68,304,511,706.71","67,251,310,435.85","61,202,769,680.20","60,800,049,968.12","54,418,479,461.94"
拆入资金,,,,,,"1,000,000,000.00","1,000,000,000.00",,"1,378,000,000.00","2,700,000,000.00","4,678,000,000.00","3,340,000,000.00","1,370,000,000.00","300,000,000.00","1,750,000,000.00","5,300,000,000.00","2,700,000,000.00","4,500,000,000.00","6,523,000,000.00","1,123,000,000.00","2,360,000,000.00","1,500,000,000.00","1,700,000,000.00","1,750,000,000.00","2,500,000,000.00","5,731,580,715.95","14,310,340,673.37","10,606,394,791.74","10,584,793,560.93","10,952,921,361.15","13,229,025,389.59"
存放中央银行款项,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,"469,635,401.78","511,163,929.37","490,948,306.43","481,053,807.82","20,231,154.60","17,689,665.74","14,106,043.88","495,110,218.26","764,409,090.33",,,,,,"1,385,939,040.58","2,129,920,185.09","5,506,095,387.34","1,543,223,996.05","1,444,655,905.68","1,961,036,154.85"
结算备付金,"28,127,688,680.24","4,565,814,144.82","4,243,114,381.78","21,819,343,550.68","2,230,306,224.92","3,403,975,581.70","3,094,798,395.58","4,651,817,547.97","6,227,569,527.37","5,338,217,125.68","4,243,552,345.33","5,018,165,209.68","4,584,940,363.68","5,040,393,761.19","4,457,151,396.59","5,656,267,311.04","6,219,070,786.58","5,389,360,853.89","7,243,650,078.85","22,624,796,462.35","11,625,847,684.85","26,693,106,426.41","16,762,104,963.43","31,222,060,527.00","12,624,403,882.46","12,102,524,821.40","21,323,731,565.68","21,742,626,195.25","17,096,663,642.79","18,616,183,040.94","16,880,567,948.14"
衍生金融负债,,,,,,,,,,,,"209,331.58","105,908.83","11,440,564.80","16,289,014.63","79,490,135.80","39,263,600.90","44,490,267.43","109,281,616.37","87,303,818.97","110,796,680.66","293,571,437.01","239,416,673.51","309,453,798.13","262,326,239.92","264,104,349.12","200,945,703.96","692,012,018.00","715,041,478.74","539,966,587.77","411,861,917.87"
其中：客户备付金,"27,887,175,754.02","4,440,853,512.55","3,964,213,560.23","21,656,496,836.63","2,065,915,633.51",,,,,,,,,,,,,,,,,,,,,"7,991,313,513.34","15,194,503,324.56","17,871,298,436.09","13,324,436,633.19","13,499,206,586.07","11,653,674,086.99"
卖出回购金融资产款,"3,549,664,631.21","3,757,553,331.75","4,401,919,504.67","2,996,117,960.68","4,637,301,568.24","3,779,394,998.34","5,681,122,717.28","7,718,397,929.63","7,351,451,876.97","7,353,896,289.39","7,711,810,000.00","8,850,471,411.56","8,531,505,082.97","10,324,336,670.07","13,967,722,377.03","19,399,796,740.24","19,656,294,935.01","17,739,833,944.54","22,556,852,551.97","54,767,726,387.03","71,151,837,582.88","91,661,667,571.29","66,010,954,748.05","85,395,760,813.65","73,276,193,479.54","68,695,462,352.78","66,491,217,142.15","50,549,266,202.80","58,575,689,486.26","78,372,005,694.05","60,837,570,887.61"
贵金属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吸收存款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
拆出资金,,,,,,,,,,,,,,,,,,,,"1,000,000,000.00",,,,,,,,,,,"2,000,000,000.00"
代理买卖证券款,"84,062,102,727.65","67,872,817,723.24","58,541,862,891.55","69,128,560,398.80","51,655,814,893.01","43,880,654,043.13","37,742,539,852.01","35,553,085,094.05","39,401,996,807.24","34,226,245,100.59","30,855,108,013.14","34,287,577,030.41","34,095,407,095.60","33,067,934,372.74","32,111,977,112.08","31,609,230,528.70","33,826,238,419.54","36,872,204,804.35","47,578,456,323.29","71,465,562,643.43","104,512,560,785.64","189,088,202,937.16","122,669,648,673.56","118,137,085,071.05","108,839,749,184.27","99,183,585,795.07","84,370,497,706.02","85,726,525,276.71","77,882,312,793.54","76,557,883,833.09","67,401,033,759.68"
交易性金融资产,"9,373,018,770.98","9,060,577,213.88","9,883,938,900.94","11,316,704,542.27","8,910,512,847.96","9,248,976,583.51","12,112,063,569.97","12,870,468,955.54","13,458,457,144.90","15,691,729,142.36","10,814,463,624.32","21,787,560,446.40","19,468,035,669.56","20,198,010,830.06","20,240,782,952.43","23,610,259,497.84","20,360,543,699.25","23,813,675,370.36","23,586,481,134.07","26,996,501,834.36","38,193,269,567.06","61,545,812,635.16","84,037,936,682.07","83,912,239,939.55","83,062,054,191.03","80,045,196,543.74","78,814,005,611.75","61,766,808,847.96","69,429,441,872.37","76,810,290,877.17","71,865,671,520.21"
代理承销证券款,,,,"63,040,000.00","34,520,000.00",,,,"27,747,100.00","54,936,000.00",,,,,,,"228,713.06",,,,"10,000,000.00","36,000,000.00",,"350,000,000.00","693,999,993.44",,"442,880,000.00",,,"48,100,000.00","918,000,000.00"
