科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"202,757,030.83","220,257,007.49","287,381,716.76","69,036,793.71","137,385,072.88","193,275,962.25","258,959,686.21","51,295,348.22","102,927,118.45","148,883,818.40","228,220,129.30","50,552,176.35","102,512,093.95","147,831,693.30","227,054,716.19","53,838,696.72","101,518,829.60","145,132,223.92","212,091,175.71","30,621,963.93","78,664,694.90","109,542,437.51","133,806,759.02","30,688,083.25","73,186,851.53","147,208,815.04","223,729,929.71"
二、营业利润,"18,811,519.24","26,344,719.37","39,036,979.30","4,626,998.56","13,612,194.26","17,402,844.95","26,333,667.16","6,456,081.14","8,142,278.85","7,961,211.49","15,762,021.19","764,197.20","-1,315,197.25","-4,558,211.06","-7,092,077.97","801,263.09","854,553.31","846,589.23","-16,837,876.82","-1,261,395.19","-7,966,100.56","-10,976,835.72","-29,899,725.21","-5,610,010.97","-9,407,945.96","-6,455,136.46","5,667,604.66"
减:营业成本,"151,352,981.29","146,253,554.17","205,853,841.71","52,871,677.98","100,355,612.75","139,925,793.83","189,927,460.42","35,671,549.60","76,532,796.11","113,898,101.66","173,143,816.78","40,898,895.26","82,643,916.58","120,275,483.68","189,494,261.18","46,404,725.82","83,605,851.83","117,547,051.27","185,547,110.18","24,246,300.48","67,947,443.51","11,328,412.51","118,880,914.94","26,007,440.74","59,684,934.35","116,515,328.84","172,534,550.28"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,835,266.21","2,576,860.85","3,044,342.10","1,083,067.23","1,513,692.77","1,825,608.62","1,827,943.46","21,327.14","21,327.14","194,708.31","354,656.93","254,133.19","1,007,125.08","1,007,125.08","1,031,502.78","15,378.66","15,378.66","436,852.49","975,819.45","200,402.58","663,614.48","772,709.11","870,401.68","324,494.53","578,842.76","1,056,786.54","1,204,064.00"
营业外收入,"4,217,960.03","8,494,682.02","4,518,310.00","3,000,000.00","5,109,900.00","8,110,040.00","10,994,040.00",,"7,135,000.00","11,764,750.00","12,722,695.00","3,707,800.00","22,267,877.43","22,268,497.43","22,421,247.43",500.00,"3,377.95","565,977.95","2,929,332.95","2,550.00","130,150.00","130,410.00","602,210.00","1,000.00","1,191,100.00","1,198,100.00","35,600.00"
销售费用,"1,328,640.77","7,983,907.03","2,229,066.12","374,506.40","934,214.50","1,566,099.25","2,133,030.19","553,081.15","981,391.89","1,582,240.95","2,167,456.05","471,243.20","971,178.07","1,529,148.46","2,460,982.22","637,922.71","1,243,934.93","1,819,002.33","2,844,396.03","592,492.25","1,520,599.64","2,344,319.33","3,239,879.36","729,475.87","1,433,750.02","2,065,303.17","2,633,094.70"
减:营业外支出,"40,000.00","64,760.00",,,,"150,000.00","150,000.00","40,000.00","40,000.00","40,000.00","66,049.49",,175.91,175.91,"5,516.87",,,,"13,727.12",,,,"54,390.04",,,,"10,818.25"
管理费用,"29,705,694.05","36,120,439.33","37,778,325.63","7,852,421.44","17,341,226.39","27,495,983.52","36,626,958.54","8,255,264.01","16,872,636.91","25,569,979.44","37,093,913.47","8,624,606.20","21,384,509.46","30,853,761.79","42,450,698.97","9,138,938.63","19,869,577.15","27,159,454.51","39,689,139.65","8,972,330.56","20,115,316.38","29,624,546.78","41,026,548.98","9,834,604.67","20,392,933.63","31,266,531.22","47,304,609.51"
其中:非流动资产处置净损失,,,,,,,,,,,"6,049.49",,,,"5,340.96",,,,"13,727.12",,,,"54,390.04",,,,
