科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"3,653,501.66","35,001,054.97","80,673,382.94","58,978,624.88","71,983,558.17","105,591,043.77","24,646,470.01","53,521,693.90","93,140,901.26","152,770,711.03","44,177,354.51","103,689,527.52","176,925,201.69","266,328,306.41","68,033,128.40","142,003,742.45","242,040,865.31","358,653,033.86","111,022,771.83","231,703,818.81","416,666,589.38","684,192,796.61","213,226,154.68","432,910,163.00","753,382,270.10","1,087,597,582.35","416,801,152.64","767,744,116.04","1,256,688,486.46","1,794,274,179.69","430,707,353.66","835,979,058.54","1,267,049,445.10","1,893,457,831.56"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,"54,769,734.52","70,769,734.52","70,769,734.52",,,,,"162,511,333.00","170,140,293.00","183,127,436.78","194,087,436.78","12,731,434.45","101,042,378.66","135,039,992.93","48,542,378.66","96,230,894.75","186,230,894.75","387,741,973.54","468,330,120.81",,"112,824,547.10","112,824,547.10",
收到的税费返还,,"918,038.80","1,355,399.81","270,737.45","1,809,882.06","2,342,129.86","349,064.41","349,064.41","349,064.41","2,005,163.19",,,,"983,731.40","953,884.51","953,884.51","1,862,862.16","2,160,437.05","295,342.49","375,342.49","395,342.49","1,006,681.78",,"64,204.44","185,871.00","583,047.46","2,266,957.52","2,820,063.75","3,859,366.33","4,500,242.88","861,862.71","1,120,950.18","2,590,780.15","29,343,024.96"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,"50,000.00","480,000.00","480,000.00",,,,,
收到其他与经营活动有关的现金,"402,014.17","637,006.67","2,847,541.90","4,204,188.16","5,384,942.31","8,239,533.68","4,929,751.67","6,475,294.14","16,309,866.05","25,164,785.22","3,073,065.36","11,855,600.25","20,046,260.30","24,582,864.84","7,711,574.15","11,369,343.33","23,709,784.24","30,212,041.72","45,115,799.37","48,624,527.93","76,653,623.53","66,381,985.49","7,326,202.27","23,493,541.42","34,139,643.27","35,683,523.71","20,922,776.22","35,006,699.06","159,194,821.77","106,538,016.38","83,901,727.83","32,555,161.25","83,001,263.29","60,385,858.26"
投资活动现金流出小计,"429,503.00","3,257,884.00","14,580,938.01","6,696,352.94","10,535,065.39","12,674,398.50","3,551,635.36","3,011,673.00","5,080,222.05","11,175,064.00","2,728,801.75","60,142,284.28","81,521,670.46","90,020,249.98","7,298,267.53","7,184,176.75","20,695,163.92","359,059,540.26","165,095,478.42","176,836,070.50","301,415,075.91","1,677,443,615.33","15,217,191.37","121,153,404.88","320,725,969.29","1,350,737,584.97","107,212,647.21","222,032,293.12","480,584,805.10","586,979,803.12","30,657,840.05","150,085,124.10","158,452,456.63","40,841,815.23"
经营活动现金流入小计,"4,055,515.83","36,556,100.44","84,876,324.65","63,453,550.49","79,178,382.54","116,172,707.31","29,925,286.09","60,346,052.45","109,799,831.72","179,940,659.44","47,250,419.87","115,545,127.77","196,971,461.99","291,894,902.65","76,698,587.06","154,326,970.29","267,613,511.71","391,025,512.63","156,433,913.69","280,703,689.23","493,715,555.40","751,581,463.88","220,552,356.95","456,467,908.86","787,707,784.37","1,123,864,153.52","439,990,886.38","805,570,878.85","1,419,742,674.56","1,905,312,438.95","515,470,944.20","869,655,169.97","1,352,641,488.54","1,983,186,714.78"
投资活动产生的现金流量净额,"-429,503.00","-3,257,884.00","-14,311,336.02","-6,696,352.94","-10,535,065.39","-12,674,398.50","-3,551,635.36","-3,011,673.00","-5,080,222.05","-11,175,064.00","-2,728,801.75","-59,943,231.17","-81,322,617.35","-89,820,696.87","-7,298,267.53","-7,184,176.75","-20,698,523.02","-90,158,347.44","-138,312,040.24","-75,049,017.97","-196,338,673.06","-633,210,501.22","144,299,831.59","84,370,249.44","-115,198,299.34","-31,432.70","-107,211,147.21","-222,029,663.12","-480,529,645.79","-573,077,900.92","46,811,210.85","-72,615,103.20","-80,982,435.73","38,365,397.54"
购买商品、接受劳务支付的现金,"211,371.91","1,600,104.84","3,742,873.74","3,052,409.84","4,796,419.97","5,374,696.23","1,907,342.42","4,516,751.66","7,015,995.61","5,705,132.65","5,252,975.01","7,955,772.79","14,337,152.28","22,843,381.80","13,680,044.30","14,248,933.12","28,096,220.70","46,162,165.61","26,201,914.07","48,184,131.07","77,274,768.00","129,796,317.87","40,424,245.83","89,086,769.31","151,423,421.25","179,764,495.95","61,776,710.30","169,550,413.50","301,665,028.64","449,329,625.26","104,222,447.28","189,880,879.22","292,171,322.01","489,861,703.29"
吸收投资收到的现金,"490,000.00","9,000,000.00","875,350.00",,"601,700,000.00","601,700,000.00",,,,,,,,,,,,,,,,,,"30,823,709.22","40,122,721.18","45,601,711.16","359,143,436.25","363,528,785.05","407,712,254.25","414,557,858.76","2,350,478.06","2,350,478.06","66,946,273.86","68,470,531.26"
