科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"3,930,038,498.97","4,995,812,205.13","5,317,231,063.62","2,432,225,572.13","3,653,833,573.82","5,273,537,033.08","981,684,410.54","2,151,528,048.10","3,235,824,473.57","4,257,972,695.61","963,135,472.81","2,337,015,673.10","3,667,802,497.71","4,704,452,040.57","1,005,362,675.27","2,514,062,907.97","3,883,086,497.85","5,185,777,990.35","1,074,316,023.48","2,668,640,840.46","4,306,780,231.32","5,303,643,328.46","1,253,792,234.86","3,167,109,281.81","4,827,968,273.48","6,423,692,976.03","1,412,243,182.14"
取得子公司及其他营业单位支付的现金净额,"30,911,542.52","482,347,713.70",,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"58,689,054.31","100,403,709.30","73,929,989.30","21,988,523.61","41,896,840.46","53,520,000.53","11,915,908.75","32,951,866.69","65,237,771.53","65,893,208.59","23,014,385.50","34,433,198.88","55,910,920.79","64,940,774.75","25,817,012.05","25,560,890.32","84,631,966.50","103,107,988.25","21,115,941.01","32,285,920.52","34,903,345.89","158,924,437.08","28,015,647.88","50,715,038.91","51,157,506.73","135,169,649.95","7,777,330.87"
支付其他与投资活动有关的现金,"455,842,995.47","47,625,499.17","96,914,978.91","196,792,324.77","664,044,355.63","557,324,510.31","44,519,127.68","44,519,127.68","63,204,513.68","1,000,000.00","169,520.92",,"56,032,420.00",,,,,,,,,,,,,"299,348,057.10",
收到其他与经营活动有关的现金,"34,385,870.56","63,745,892.18","158,421,260.60","40,306,949.29","266,002,420.92","85,420,040.42","51,494,079.19","110,442,519.98","120,497,844.23","56,342,605.52","26,734,350.95","58,162,060.66","87,129,684.33","87,362,319.73","15,922,887.49","45,430,509.03","101,451,801.94","79,375,621.50","26,333,560.18","27,458,329.62","34,913,116.71","17,673,420.19","12,431,548.00","31,237,598.95","31,408,080.23","57,365,494.83","12,860,139.60"
投资活动现金流出小计,"863,439,243.74","953,476,304.52","979,193,414.22","1,267,432,447.40","2,587,075,566.28","4,152,029,881.71","161,094,252.14","7,764,714,198.23","14,654,864,042.83","18,309,371,778.66","4,356,283,185.24","7,272,201,072.24","9,072,395,302.36","9,924,176,935.31","2,147,846,699.72","4,613,902,398.09","7,696,184,748.04","9,296,096,324.06","472,634,831.04","1,163,731,393.26","3,959,712,652.15","5,137,252,299.34","1,575,307,958.10","3,391,654,460.22","5,263,274,011.91","6,901,216,018.55","1,931,052,399.58"
经营活动现金流入小计,"4,023,113,423.84","5,159,961,806.61","5,549,582,313.52","2,494,521,045.03","3,961,732,835.20","5,412,477,074.03","1,045,094,398.48","2,294,922,434.77","3,421,560,089.33","4,380,208,509.72","1,012,884,209.26","2,429,610,932.64","3,810,843,102.83","4,856,755,135.05","1,047,102,574.81","2,585,054,307.32","4,069,170,266.29","5,368,261,600.10","1,121,765,524.67","2,728,385,090.60","4,376,596,693.92","5,480,241,185.73","1,294,239,430.74","3,249,061,919.67","4,910,533,860.44","6,616,228,120.81","1,432,880,652.61"
投资活动产生的现金流量净额,"174,891,708.15","-52,240,589.69","-797,891,748.54","-345,018,457.39","-499,209,621.84","-2,621,268,072.32","355,372,651.75","556,291,109.67","364,719,671.99","-783,487,729.46","372,879,451.41","-107,009,752.62","-166,713,082.20","-268,509,173.90","341,005,316.78","325,763,887.24","186,729,538.85","353,737,005.03","30,169,966.05","210,465,875.34","-610,597,511.78","-929,596,244.48","-286,053,029.04","-589,363,281.01","-428,806,039.80","-931,398,212.10","-182,600,379.49"
购买商品、接受劳务支付的现金,"3,321,708,651.77","3,807,324,274.53","3,889,213,757.58","1,288,790,477.17","2,245,663,167.49","3,097,424,608.77","1,137,144,541.99","1,655,763,595.45","2,232,269,951.39","2,680,640,300.04","834,820,633.88","1,822,282,376.94","3,114,382,192.77","3,781,301,655.47","1,006,327,113.33","2,117,379,423.97","3,009,662,702.43","3,901,904,844.06","876,660,829.42","1,549,161,055.37","2,442,108,446.46","2,695,790,614.91","1,379,591,046.71","2,583,545,318.61","3,844,273,203.25","4,917,639,389.36","1,299,187,926.91"
吸收投资收到的现金,"147,224,339.81","420,000,000.00",,"1,990,000,000.00","1,990,000,000.00","1,990,000,000.00",,,,,,,,,,,,,,,,,,,,,
